blind_id,problem,ax1_dataset,ax2_handling,ax3_analysis,ax4_correctness,ax5_figures,ax6_honesty,ax7_verdict,dandiset,subject_session,stated_any_limitation,confidence,notes
R1812BB,orientation,,,,,,,,,,,,
R2FB4CF,placefields,,,,,,,,,,,,
R58E302,placefields,,,,,,,,,,,,
R5AFAA8,auditory,,,,,,,,,,,,
R635BF8,reach,,,,,,,,,,,,
R6FAB08,orientation,,,,,,,,,,,,
R77611D,theta,,,,,,,,,,,,
RABF59A,theta,,,,,,,,,,,,
RB77C3C,theta,,,,,,,,,,,,
RBAC9E7,orientation,,,,,,,,,,,,
RC011E7,auditory,,,,,,,,,,,,
RDA75E8,placefields,,,,,,,,,,,,
RDBD0DB,reach,,,,,,,,,,,,
RE08149,auditory,,,,,,,,,,,,
RFC24C6,reach,,,,,,,,,,,,
