unit_id,baseline_rate_hz,peak_zscore,best_freq_hz,responsive,rate_2000Hz,rate_4000Hz,rate_8000Hz,rate_16000Hz,rate_32000Hz
0,6.38915,0.25017968,8000.0,False,7.482108,6.2739725,9.126608,6.7159166,5.9973044
1,14.364174,0.20499443,8000.0,False,16.135328,14.0,16.872038,14.855608,14.312669
2,4.753592,0.080252305,8000.0,False,4.931685,5.0,5.362221,4.6205506,4.218329
3,1.5590171,0.7621634,8000.0,False,3.3962264,1.7260274,4.779959,2.3371391,1.4420485
4,9.769034,1.3835447,8000.0,False,17.6838,9.479452,24.333107,13.3378105,9.730458
5,0.45387405,0.22179912,8000.0,False,0.76772934,0.369863,0.98849016,0.564137,0.29649594
6,0.42433193,0.029884132,32000.0,False,0.36434612,0.42465752,0.21665539,0.30893216,0.49865228
7,5.203438,0.06736511,32000.0,False,4.6714377,5.2465754,4.3060255,4.8488917,5.8625336
8,1.415335,-0.004173421,4000.0,False,1.0540013,1.3972603,0.6228842,0.96709204,1.2668464
9,2.4869075,-0.008624311,32000.0,False,1.8737801,2.410959,1.3134732,2.2162526,2.425876
10,2.7568147,0.0067164693,4000.0,False,2.4333117,2.7945206,1.5842925,2.0685024,2.560647
11,0.30482075,-0.00437437,16000.0,False,0.23422252,0.2739726,0.09478673,0.29550034,0.2425876
12,15.09064,0.028725876,4000.0,False,14.729994,15.479452,13.500339,15.0436535,15.026955
13,8.868001,0.042508967,4000.0,False,8.093689,9.260274,7.1767097,8.703828,8.975741
14,1.6369008,0.04963488,4000.0,False,1.7436565,1.8630137,1.2593094,1.7461383,1.4824798
15,2.9568954,0.052680373,8000.0,False,3.057905,2.9726028,3.3039947,2.753526,3.2075472
16,0.32227743,0.038838223,4000.0,False,0.2732596,0.41095892,0.1760325,0.26863667,0.33692724
17,13.590708,0.009895037,4000.0,False,11.216656,13.739726,9.641165,12.209537,12.87062
18,5.2477508,1.3453673,8000.0,False,11.307742,5.150685,17.427217,8.233714,5.552561
