topic	rep	status	cost_usd	num_turns	duration_ms	ipynb	png_count	py_count
auditory	01	ok	2.18271125	33	892044	1	6	1
auditory	02	ok	1.25707025	24	246498	1	6	1
auditory	03	ok	1.7555649999999998	32	379749	1	9	2
orientation	01	ok	2.4005652499999997	40	686164	1	8	1
orientation	02	ok	2.43461775	40	490273	1	5	1
orientation	03	ok	1.8838202499999999	34	541440	1	5	3
placefields	01	ok	1.9626192499999993	28	433985	1	6	1
placefields	02	ok	3.8386544999999996	51	803152	1	5	1
placefields	03	ok	2.20940625	34	433774	1	5	1
reach	01	ok	4.423140249999999	71	1314601	1	7	3
reach	02	ok	2.2305355000000002	34	529134	1	7	1
reach	03	ok	1.4688822499999998	26	394653	1	6	3
theta	01	ok	2.6600712500000006	39	578461	1	5	1
theta	02	ok	2.8678652500000013	43	544218	1	6	1
theta	03	ok	4.243742500000001	64	904143	1	7	1
