unit,dir,n_spikes,x_lo,x_hi,peak_rate,slope_rad_per_field,phi0,rho,p
7,R,377,0.1,0.576,11.61278670339822,-7.103769308297239,1.0520113028780314,-0.18993500496813198,0.0
21,L,91,0.38,0.604,6.803126211487224,1.8994069183603908,1.2839985369182334,0.21647112813376493,0.07
23,R,367,1.136,1.5,23.68444822679056,-3.047973192512817,-0.5198228907037683,0.2617748375783764,0.0
27,R,384,0.1,0.46399999999999997,13.948216430088063,-3.7768226881456486,-0.15690553139720506,0.2851259918547024,0.0
39,R,422,0.1,0.38,20.739383581075472,-3.755459858101238,-0.7571864457580746,0.4396004731511511,0.0
51,L,195,0.604,0.8559999999999999,15.920556520923686,-1.8793007253774145,-2.867032249203697,0.4840528475440834,0.0
52,R,252,0.6599999999999999,1.108,10.587836888894207,-5.479565906391317,-0.11492363638532274,0.16375082444970152,0.0
57,L,512,1.22,1.5,35.8474706491898,-2.4026900614654734,-2.874261008281198,0.36453959050386764,0.0
58,L,145,0.4079999999999999,0.7439999999999999,8.686136561943588,-3.6034067736674933,-0.8810209977141097,0.5951385846433072,0.0
82,L,208,0.46399999999999997,0.9119999999999999,9.329171535602384,-1.7052564923685398,-0.9009884223906957,0.3600846454604606,0.0
94,L,43,0.492,0.8839999999999999,2.315825538759526,-1.2729733432345838,-1.193968912254694,0.5049671378813956,0.055
101,L,323,0.1,0.43599999999999994,19.21416021876055,-0.6974335690969332,-1.4575002341019436,0.27076853453267896,0.15
109,R,74,1.136,1.5,4.884194860317456,-4.515096961739251,-0.0747489611558516,-0.004884195968229622,0.0
113,L,674,0.1,0.8559999999999999,18.49207504090054,-2.7463802977681966,-0.24224490906472637,0.17365138301387648,0.0
114,L,210,1.164,1.5,12.515170485140503,-3.0052475324239962,-1.6210564096166482,0.26920074183235687,0.0
143,L,58,0.492,0.7719999999999999,4.030232759179002,1.4017786420317668,0.24682854121251607,0.4336585449238976,0.03
145,L,400,1.052,1.444,22.169633382030487,-3.2169908772759483,-0.7900830697832169,0.5401712362209105,0.0
161,L,87,0.38,0.604,6.556681123951947,0.46684066832344223,0.44320243765521694,0.2718863329913075,0.37
173,L,351,0.46399999999999997,0.828,19.18818243211467,-3.346424494603848,-1.09156127067195,0.6049426601687303,0.0
175,R,428,0.1,0.38,19.559711119542825,-3.0165572659769193,-1.0809774217501074,0.3760044287124303,0.0
177,R,247,0.6599999999999999,1.0799999999999998,10.852089323971088,-1.8824423180310041,-1.3157530329429912,0.39487470246339745,0.0
179,L,634,0.9959999999999999,1.388,36.39722827992681,-3.7862474661064183,-1.0939424588324163,0.40618499699724053,0.0
182,L,639,0.828,1.276,31.46157940177938,-4.078415582890269,-0.6817663729278803,0.2524629021690167,0.0
186,R,61,1.024,1.472,3.1621372994447965,-3.3231767089672832,-1.951230196151682,0.2896050917005679,0.005
215,L,278,1.164,1.5,16.011462795479666,-1.4633538580421257,-2.765781381389591,0.2552097329542747,0.02
216,R,134,0.4079999999999999,0.7439999999999999,6.490595470699807,1.212026445754942,0.75746041895169,0.36369292063042247,0.075
219,L,34,1.276,1.5,2.9736543716987502,-2.0847608849221873,-1.7187006514180738,0.5794341705533258,0.0
220,R,146,0.9959999999999999,1.5,6.83161859736552,11.640229100080902,-2.0598706658065074,-0.0890977273907617,0.0
225,R,33,0.352,0.576,2.260501288917762,-0.2971946650295947,-1.0611990556788387,0.48857382837501706,0.41
229,L,95,0.5479999999999999,0.8839999999999999,5.878170497210532,-2.6439643772611694,-2.2072205434414687,0.426321620898314,0.0
238,L,231,0.6319999999999999,0.9679999999999999,14.220252496893174,-2.94555727200579,-1.2028238512717901,0.4978252287950196,0.0
242,L,63,0.352,0.576,4.915157548133547,-1.7278759594743864,3.0273758513461035,0.5441975163671837,0.005
263,L,69,0.212,0.492,4.59991450709991,-1.7925927681383362,-2.415313253931416,0.5806717828079718,0.005
