unit,n_spikes,base_rate,wilcoxon_p,kw_p,tone_responsive,frequency_tuned,best_frequency,mean_rate,rate_2000,rate_4000,rate_8000,rate_16000,rate_32000,session
0,47726,0.0,0.0,3.046043785231007e-10,True,True,8000.0,7.18543210890317,6.9701103807515805,6.911007306264223,8.727749002798118,6.597621787495205,6.720672067206721,LA11_ses-2
1,65552,0.0,0.0,3.012110197870499e-133,True,True,8000.0,11.637216545281252,11.323328785811732,8.108755539585578,20.25361671727094,10.663598005370158,7.836783678367836,LA11_ses-2
2,61889,0.0,0.0,1.7987590935455376e-76,True,True,8000.0,10.667537981036368,9.90946297904006,8.575877350580908,16.110019646365423,9.717427438946425,9.024902490249024,LA11_ses-2
3,69314,0.0,0.0,0.0021399900067209125,True,True,8000.0,9.47553474981984,9.773037331018232,9.438256078572284,9.989879145085432,8.51553509781358,9.66096609660966,LA11_ses-2
4,67840,0.0,0.0,2.479740256503285e-221,True,True,8000.0,13.136848578221294,12.179089668857745,8.4800574919152,25.992736798237782,10.727528449047435,8.304830483048304,LA11_ses-2
5,6540,0.0,3.2300357312703044e-69,0.014239762697023926,True,True,32000.0,0.822238271404242,0.8433585514076646,0.7785363516588814,0.5358099660653688,0.9333844776882751,1.02010201020102,LA11_ses-2
6,23593,0.0,3.251061094804435e-256,5.011112956034662e-23,True,True,8000.0,3.5060834266638436,3.0881805779486546,3.233920229967661,5.3342858843841165,2.8257256105357373,3.048304830483048,LA11_ses-2
7,7292,0.0,2.261448987744195e-57,0.3316563101202044,True,False,4000.0,0.8523752425876403,0.7937492248542726,1.030063480656366,0.7739477287610883,0.7160209691855262,0.9480948094809482,LA11_ses-2
8,66518,0.0,0.0,0.007639243884017979,True,True,4000.0,9.025434617869266,9.338955723676051,9.737693136902623,7.8704530570935285,9.551208285385501,8.62886288628863,LA11_ses-2
9,8379,0.0,3.017916467473887e-79,0.17372736518580206,True,False,32000.0,0.9671196006032945,0.9673818677911448,1.089950892322434,0.7144132880871584,0.9717427438946427,1.0921092109210921,LA11_ses-2
10,62002,0.0,0.0,5.959342663279673e-06,True,True,32000.0,7.861556297836811,7.503410641200546,8.38423763324949,6.6559504673453596,7.99130545965989,8.772877287728774,LA11_ses-2
11,87868,0.0,0.0,4.721773247649123e-104,True,True,8000.0,14.483501926642134,14.399107032122037,10.959396334890405,21.68244329344526,13.783403656821378,11.593159315931594,LA11_ses-2
12,14176,0.0,6.28737179076495e-103,0.15996315980890952,True,False,4000.0,1.7792530969799096,1.8479474141138534,1.8924422086477422,1.416919688039531,1.8667689553765503,1.872187218721872,LA11_ses-2
13,55914,0.0,0.0,2.4074419185709148e-17,True,True,8000.0,7.936658551647549,7.937492248542727,7.426039046592406,9.632672501041853,7.390359289093467,7.296729672967297,LA11_ses-2
14,60330,0.0,0.0,0.531263708034334,True,False,32000.0,7.882218251244916,7.677043284137418,7.677566175589892,7.965708162171816,7.773941951157141,8.316831683168317,LA11_ses-2
15,27478,0.0,5.188618653052354e-125,7.318078483632508e-05,True,True,32000.0,3.2270770043719366,3.5098598536524865,3.473469876631932,2.0360778710484015,3.3115969824830587,3.8043804380438044,LA11_ses-2
16,74560,0.0,0.0,0.0775395611027708,True,False,4000.0,9.38602478793171,9.376162718591095,10.240747394897593,8.227659701137108,9.052550824702724,10.033003300330032,LA11_ses-2
17,3015,0.0,3.951639863233183e-17,0.39553775047276507,True,False,4000.0,0.31239652732625406,0.33486295423539625,0.47909929332854234,0.16669643388700364,0.2812939521800281,0.3000300030003,LA11_ses-2
18,11414,0.0,5.421046380279388e-61,0.04966570286328063,True,True,2000.0,1.4037200383416542,1.5750961180701972,1.4971852916516948,0.9525510507828778,1.457614115841964,1.5361536153615363,LA11_ses-2
19,98274,0.0,0.0,2.1101060455802197e-11,True,True,2000.0,12.134592910100915,13.02244822026541,12.899748472871003,9.656486277311425,12.313003452243958,12.781278127812781,LA11_ses-2
20,20663,0.0,3.9290107181215545e-92,0.00013115355827830448,True,True,2000.0,2.3992782436965663,2.753317623713258,2.682956042639837,1.416919688039531,2.454929037207518,2.6882688268826884,LA11_ses-2
21,3954,0.0,1.1039147044903148e-27,0.13787749611830089,True,False,2000.0,0.41604247901624003,0.5333002604489644,0.49107677566175595,0.2738584271000774,0.4219409282700422,0.36003600360036003,LA11_ses-2
22,11015,0.0,4.0733844651393048e-56,0.0010041410004204968,True,True,32000.0,1.3492676067250593,1.4758774649634132,1.3534555036531322,0.7025063999523724,1.5343306482546988,1.6801680168016802,LA11_ses-2
23,27666,0.0,4.3796076126618385e-133,0.01593985236832838,True,True,32000.0,3.4336882685150436,3.5470668485675305,3.6890645586297763,2.381377626957195,3.554532668456719,3.9963996399639963,LA11_ses-2
24,11568,0.0,1.045612945778866e-58,0.0003047017684770594,True,True,2000.0,1.245652514419119,1.500682128240109,1.4253203976524134,0.7025063999523724,1.0996036312492008,1.5001500150015001,LA11_ses-2
25,9228,0.0,8.808836341875662e-50,0.015464236318252115,True,True,4000.0,1.010358627995499,1.0045888627061887,1.2935680919870645,0.5953444067392988,0.946170566423731,1.2121212121212122,LA11_ses-2
26,14794,0.0,9.202343794590998e-89,0.006453958359527692,True,True,32000.0,1.859274567958994,1.8975567406672456,2.1080368906455864,1.2502232541525273,1.892341132847462,2.1482148214821484,LA11_ses-2
27,139126,0.0,0.0,0.0028747426501710403,True,True,16000.0,18.332576341530142,17.908966885774525,18.27763804048389,18.562838602131333,18.73161999744278,18.181818181818183,LA11_ses-2
28,34770,0.0,1.1270295825333832e-256,2.2961618497493894e-08,True,True,16000.0,4.402755797065856,4.278804415230063,4.934722721283986,2.9171875930225637,4.986574606827771,4.896489648964897,LA11_ses-2
29,83072,0.0,0.0,4.732857287947263e-49,True,True,8000.0,12.137046220800093,11.881433709537394,9.977242783566895,16.300529856521997,12.313003452243958,10.213021302130212,LA11_ses-2
30,28494,0.0,1.730846435294867e-235,1.4529154104597291e-06,True,True,32000.0,3.747735354175736,3.795113481334491,4.036411546292969,2.57188783711377,4.0148318629331285,4.32043204320432,LA11_ses-2
31,44427,0.0,9.137595315533776e-268,7.730721204758764e-09,True,True,2000.0,5.80943562274773,6.560833436686097,6.3121331896035455,3.78639042686194,5.9071729957805905,6.480648064806481,LA11_ses-2
32,8306,0.0,2.760306327891596e-57,0.7681388759938552,True,False,32000.0,1.184095032457709,1.2278308321964528,1.1857707509881423,1.0239923795915937,1.1507479861910241,1.332133213321332,LA11_ses-2
