unit,cell_type,n_run,n_slow,n_fast,M_slow,M_fast
1,excitatory,1143,1048,93,0.07879331193274568,0.13205803351591264
2,inhibitory,30000,21711,8263,0.13075203366866495,0.0686185903010172
6,excitatory,163,105,57,0.47639640890352164,0.7324028332987687
7,excitatory,3326,2393,932,0.08263847004589628,0.06184393987010174
9,excitatory,1304,780,519,0.06497059542482685,0.20659308180647312
11,excitatory,1027,710,314,0.11763587502759987,0.16241995152774374
12,excitatory,2323,1222,1098,0.015384211006471606,0.14243249650047152
13,excitatory,1103,931,172,0.13515351038078383,0.28859794051657794
16,excitatory,2480,1720,760,0.10646318042373235,0.10756787863028655
18,inhibitory,34205,22437,11717,0.3264116704009711,0.3363803657054681
20,inhibitory,17473,15102,2340,0.06268152758454895,0.013565668170395319
21,excitatory,1270,1031,228,0.09699945186052777,0.17566252486113232
23,excitatory,1473,532,936,0.14120446740993173,0.01906840110279306
27,excitatory,2623,1702,921,0.165351878383878,0.15921883106585694
29,excitatory,2204,930,1273,0.07996817191911898,0.1771728052849288
33,excitatory,3274,2184,1087,0.08889205171602446,0.24959493188255466
39,excitatory,3572,1891,1680,0.08416763124483526,0.1581188116781423
41,excitatory,773,500,273,0.056045223337397185,0.07400376357069519
43,excitatory,507,448,59,0.22206021453519248,0.47029834210521787
48,inhibitory,21077,16028,5011,0.2744083573080705,0.29702500847911417
49,inhibitory,13680,9959,3710,0.16925981661780823,0.16775422656195163
50,excitatory,2189,710,1479,0.1284210019155448,0.1461354955711235
51,excitatory,1837,1182,655,0.16727576260798074,0.17366899647156073
52,excitatory,2672,1599,1058,0.015258979278017138,0.021819925345232163
53,excitatory,537,410,126,0.1299212568721615,0.22114375740953474
54,excitatory,2400,1779,617,0.11255079026637453,0.08069829911868075
55,excitatory,4066,2827,1239,0.03228855346628865,0.07493310332744192
56,excitatory,1150,833,317,0.03717469501386681,0.30934841404749164
57,excitatory,2501,1253,1248,0.10082539055082818,0.14015189959631505
58,excitatory,742,471,271,0.18298540737058092,0.23877069343389837
70,excitatory,1420,1277,143,0.10253434625150593,0.175525617846869
74,excitatory,576,478,98,0.15429529957885507,0.011471281184438936
76,excitatory,1688,1315,366,0.06513000080684621,0.06284940734987898
78,excitatory,234,190,44,0.03245236586038619,0.1224072840741117
79,excitatory,805,675,130,0.13852712452867444,0.19980545628233204
82,excitatory,1875,1223,648,0.01850391574403071,0.253509148480279
83,inhibitory,5189,4613,574,0.4686727235306385,0.5578840774304183
86,excitatory,546,403,142,0.027144588863848178,0.03195905553271098
87,excitatory,171,136,34,0.09336482527933951,0.20661839087007758
89,excitatory,146,104,41,0.14855356073588347,0.36384837484203497
92,excitatory,2533,2070,463,0.1894407458583765,0.022699325650829136
