unit,n_spk,M,mu,p_rayleigh,cell_type,M_real_same_n,M_null_median,p_shuffle
1,1143,0.07204633724713506,1.6505463928174697,0.002650674364038792,excitatory,0.07204633724713506,0.02553296486195026,0.0033222591362126247
2,30000,0.11259506775230284,2.785810263193522,6.683534555202341e-166,inhibitory,0.10515637030636966,0.021048199277752432,0.0033222591362126247
6,163,0.5681661932409786,0.1333541345262616,1.4063067851775287e-23,excitatory,0.5681661932409787,0.06663128285088629,0.0033222591362126247
7,3326,0.07648879477244475,-2.02440722674771,3.5409109095661132e-09,excitatory,0.07177392465519615,0.021660165012310863,0.0033222591362126247
9,1304,0.10801774760807498,-2.480514969610773,2.4675860817718315e-07,excitatory,0.10801774760807496,0.023624320116627615,0.0033222591362126247
11,1027,0.12544352798879535,-2.502415688443567,9.580482004998491e-08,excitatory,0.12544352798879538,0.025877142805550226,0.0033222591362126247
12,2323,0.0588002401865965,0.2584628700254741,0.0003249956580852925,excitatory,0.053733620807729504,0.019970074508954768,0.009966777408637873
13,1103,0.1562082375045971,-2.2699601462450985,2.047671440397752e-12,excitatory,0.1562082375045971,0.023634788326993117,0.0033222591362126247
16,2480,0.10627256258004011,-2.506925226044749,6.854048274916621e-13,excitatory,0.10687434336284202,0.018985937644264227,0.0033222591362126247
18,34205,0.32759868302343326,1.6706211389629109,0.0,inhibitory,0.34084577720777937,0.017430280326824105,0.0033222591362126247
20,17473,0.055113486525120145,0.21904968648963266,8.916180750066882e-24,inhibitory,0.08577625089125474,0.020207346407830774,0.0033222591362126247
21,1270,0.1086305914667598,-2.071530490812548,3.0997665118219155e-07,excitatory,0.10863059146675978,0.02410868626917754,0.0033222591362126247
22,258,0.231992354878983,-0.2628641655261036,9.32238827549559e-07,excitatory,0.23199235487898298,0.05384384384102865,0.0033222591362126247
23,1473,0.05760573869960187,-2.831021797857325,0.007536221678907632,excitatory,0.057605738699601866,0.023221561370954026,0.013289036544850499
27,2623,0.16289110352849184,-2.7079725498005174,5.946108268971252e-31,excitatory,0.1477541158809139,0.018842606674801587,0.0033222591362126247
28,186,0.08268471571672079,-2.7078680650000004,0.2803720601419337,excitatory,0.08268471571672079,0.06521581673848897,0.30564784053156147
29,2204,0.1073201376705897,0.32714519716035134,9.451792243635363e-12,excitatory,0.09759156305140931,0.019784804276875373,0.0033222591362126247
33,3274,0.14142356970654307,-2.4027744277900616,3.643402320147108e-29,excitatory,0.15392141594586597,0.019543586696348793,0.0033222591362126247
39,3572,0.1188678114436019,2.497396019294963,1.2045377459032288e-22,excitatory,0.12175747002367686,0.020070341976193916,0.0033222591362126247
41,773,0.06224883473333059,-2.5245876618363674,0.05002105960986374,excitatory,0.06224883473333057,0.03147227247614298,0.053156146179401995
43,507,0.24184658210018956,-1.981519724162496,1.3221949377271235e-13,excitatory,0.24184658210018958,0.03705224727703329,0.0033222591362126247
48,21077,0.27997935828695686,1.5262681174741075,0.0,inhibitory,0.2658501881259758,0.020044538001319414,0.0033222591362126247
49,13680,0.1646736442628842,1.5509734667814135,7.78834491325465e-162,inhibitory,0.18581128871000688,0.020228509366605276,0.0033222591362126247
50,2189,0.10456698389451746,-2.6882063379180994,4.028337470530957e-11,excitatory,0.10401553379022069,0.017517692886399542,0.0033222591362126247
51,1837,0.07553909524982884,-2.6469110866167216,2.8030802257596904e-05,excitatory,0.07553909524982882,0.0215827213723686,0.0033222591362126247
52,2672,0.014181618518724569,1.9997088182208738,0.5842723174798803,excitatory,0.010303566827027334,0.019455365549388856,0.8438538205980066
53,537,0.14897185007626074,-2.98870830164083,6.6730555076497075e-06,excitatory,0.14897185007626076,0.038079706710039254,0.0033222591362126247
54,2400,0.10477455732834996,-3.103470845194119,3.612941439955252e-12,excitatory,0.10446247984110855,0.020579248975193642,0.0033222591362126247
55,4066,0.030362272499784588,0.6862340618213006,0.02355743902030013,excitatory,0.02252259521599997,0.020809176603480195,0.4485049833887043
56,1150,0.11218664557527237,0.965133956258319,5.177776353456175e-07,excitatory,0.11218664557527237,0.025478601646798722,0.0033222591362126247
57,2501,0.09811428117771012,2.6106183986247182,3.500056751984338e-11,excitatory,0.08786402326181669,0.020133319527726994,0.0033222591362126247
58,742,0.200502559568355,-2.9957765141960793,1.1098880173602894e-13,excitatory,0.200502559568355,0.0324174312430309,0.0033222591362126247
59,233,0.14438794478772976,2.0639739794023004,0.007769451463555046,excitatory,0.1443879447877298,0.0604964457002897,0.006644518272425249
70,1420,0.10878173782512902,2.8824946909219733,5.038751515962964e-08,excitatory,0.10878173782512902,0.02209896769474584,0.0033222591362126247
74,576,0.12949965630587434,-2.7342390209701963,6.380922877660829e-05,excitatory,0.12949965630587432,0.03597633209185695,0.0033222591362126247
76,1688,0.0585296584782428,3.0635711724802444,0.0030806430675428707,excitatory,0.058529658478242805,0.02098200558808514,0.0033222591362126247
78,234,0.04438216439184733,-0.672534005387171,0.6306982722274489,excitatory,0.04438216439184733,0.0544807715883282,0.6245847176079734
79,805,0.14814895417007662,-2.449368574193578,2.122193202681973e-08,excitatory,0.14814895417007662,0.03278278917713538,0.0033222591362126247
82,1875,0.0917168428070849,-2.3892557341209706,1.4128861804673807e-07,excitatory,0.0917168428070849,0.020338620183833533,0.0033222591362126247
83,5189,0.4748986708257805,-2.577661640995809,0.0,inhibitory,0.4776326317488541,0.019614532175368602,0.0033222591362126247
84,317,0.07931997940975459,0.9251033198030912,0.13608767316261977,excitatory,0.07931997940975462,0.04814320731260542,0.15282392026578073
86,546,0.022933411907421934,1.7311902134407837,0.7503886591955488,excitatory,0.022933411907421927,0.03783888921377693,0.7906976744186046
87,171,0.11527646510947775,2.597786022802388,0.10306850210921747,excitatory,0.11527646510947774,0.06572082250438505,0.12624584717607973
89,146,0.19362799224172078,1.9237836874012515,0.004195248475728599,excitatory,0.19362799224172075,0.06855343154464988,0.0033222591362126247
90,171,0.023289262432333948,-1.9169498578987347,0.9114225609094616,excitatory,0.023289262432333955,0.06562469995972046,0.9036544850498339
92,2533,0.15442694149280628,-2.3484131259300596,5.8335364709213925e-27,excitatory,0.15062419097582624,0.02036984241645095,0.0033222591362126247
93,1125,0.15282253374909752,-1.2817276206797263,3.884341384883854e-12,excitatory,0.15282253374909752,0.025790065104223832,0.0033222591362126247
94,803,0.17132933979715162,-2.359345571084417,5.797232535601043e-11,excitatory,0.1713293397971516,0.03186808544141291,0.0033222591362126247
95,2715,0.012778349938025978,-0.7243848063420324,0.641900413372804,excitatory,0.012956475171694928,0.020917720356985227,0.7441860465116279
96,691,0.09289319605613475,-2.152239600662816,0.0025728532070187033,excitatory,0.09289319605613475,0.032397180480167806,0.009966777408637873
97,51361,0.14556857665136738,1.7036324905671416,0.0,inhibitory,0.15336280854847226,0.020505962530588208,0.0033222591362126247
