session,subject,units,trials,driven,freq_tuned,pct_driven,pct_tuned,median_selectivity
LA11_ses-1,LA11,235,7447,105,96,44.680851063829785,40.85106382978723,0.6040948043895803
LA11_ses-2,LA11,132,7448,57,56,43.18181818181818,42.42424242424242,0.7366936921810512
LA11_ses-3,LA11,107,7448,43,43,40.18691588785047,40.18691588785047,0.5827934167417606
LA11_ses-4,LA11,73,7448,34,32,46.57534246575342,43.83561643835616,0.5757770312276995
LA12_ses-1,LA12,131,7448,49,49,37.404580152671755,37.404580152671755,0.7491748812836642
LA12_ses-2,LA12,134,7451,70,70,52.23880597014925,52.23880597014925,0.6993176325142162
LA12_ses-3,LA12,115,7450,49,46,42.608695652173914,40.0,0.67140617723702
LA12_ses-4,LA12,50,6711,28,25,56.00000000000001,50.0,0.7396982447485224
LA3_ses-3,LA3,35,5588,14,12,40.0,34.285714285714285,0.6762513014726359
LA8_ses-1,LA8,192,7449,94,80,48.95833333333333,41.66666666666667,0.7986144160964205
LA8_ses-2,LA8,159,5589,58,56,36.477987421383645,35.22012578616352,0.8340544936087207
LA9_ses-1,LA9,86,7449,46,37,53.48837209302325,43.02325581395349,0.6994961126108775
LA9_ses-3,LA9,30,7449,18,17,60.0,56.666666666666664,0.5408703882949023
LA9_ses-4,LA9,47,7449,29,27,61.702127659574465,57.446808510638306,0.5455760916907415
LA9_ses-5,LA9,38,7448,22,18,57.89473684210527,47.368421052631575,0.8134391026366012
