session,subject,n_trials,n_freq,f_min,f_max,intensities,n_led,n_no_led,trials_per_freq_no_led,n_units,n_good,location
AK190207A_tones1,AK190207A,180,10,4000.000000000001,80000.0,"(70.0,)",90,90,9,124,29, 
AK190207A_tones2,AK190207A,180,10,4000.000000000001,80000.0,"(70.0,)",90,90,9,137,33, 
AK190207C_tones1,AK190207C,180,10,4000.000000000001,80000.0,"(70.0,)",90,90,9,110,32, 
AK190208_tones1,AK190208,180,10,4000.000000000001,80000.0,"(70.0,)",90,90,9,167,30, 
AK190502A_tones1,AK190502A,180,10,4000.000000000001,80000.0,"(70.0,)",90,90,9,131,31, 
AK190502A_tones2,AK190502A,180,10,4000.000000000001,80000.0,"(70.0,)",90,90,9,159,28, 
AK190502B_tones1,AK190502B,180,10,4000.000000000001,80000.0,"(70.0,)",90,90,9,148,36, 
AK190506_tones1,AK190506,180,10,4000.000000000001,80000.0,"(70.0,)",90,90,9,157,28, 
AK190508_tones1,AK190508,180,10,4000.000000000001,80000.0,"(70.0,)",90,90,9,129,14, 
AK210825B_tones1,AK210825B,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,241,25, 
AK210826_tones1,AK210826,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,285,56, 
AK211103B_tones1,AK211103B,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,89,7, 
AK211117_tones1,AK211117,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,170,19, 
AK211222_tones1,AK211222,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,150,34, 
AK220630_tones1,AK220630,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,307,36, 
AK221130_tones1,AK221130,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,343,49, 
AK230127_tones1,AK230127,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,183,22, 
AK230201_tones1,AK230201,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,263,39, 
HK190220_tones1,HK190220,504,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,504,28,127,35, 
HK190525_tones1,HK190525,180,10,4000.000000000001,80000.0,"(70.0,)",90,90,9,198,55, 
HK190624_tones1,HK190624,180,10,4000.000000000001,80000.0,"(70.0,)",90,90,9,172,48, 
HK190625_tones1,HK190625,180,10,4000.000000000001,80000.0,"(70.0,)",90,90,9,134,30, 
HK210212_tones1,HK210212,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,113,19, 
HK220729_tones1,HK220729,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,200,44, 
HK220729_tones2,HK220729,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,117,39, 
HK220816_tones1,HK220816,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,188,44, 
HK230224_tones1,HK230224,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,209,57, 
HK230225_tones1,HK230225,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,220,61, 
HK230405_tones1,HK230405,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,141,32, 
HK230724_tones1,HK230724,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,472,71, 
HK230902_tones1,HK230902,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,335,97, 
HK230904_tones1,HK230904,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,290,136, 
HK230916_tones1,HK230916,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,255,47, 
HK231121_tones1,HK231121,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,403,121, 
HK231122_tones1,HK231122,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,262,73, 
HK231207_tones1,HK231207,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,314,92, 
KO220727B_tones1,KO220727B,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,87,39, 
KO220804B_tones1,KO220804B,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,93,50, 
KO220804B_tones2,KO220804B,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,54,32, 
KO230215_tones1,KO230215,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,64,24, 
KO230406_tones1,KO230406,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,59,24, 
KO230421B_tones1,KO230421B,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,50,18, 
KO230827B_tones1,KO230827B,648,18,4000.000000000001,80000.0,"(10.0, 30.0, 50.0, 70.0)",0,648,36,268,73, 
