path,asset_id,gb,n_qc,VISp,VISl,VISal,VISrl,VISam,VISpm,LGd,LP,CA1,DG,cortex,thal,hipp
sub-707296975_ses-721123822.nwb,224b57e5-c9a3-46ef-85db-966713f3ccbe,1.74,452,42,27,37,46,41,0,0,69,74,41,193,80,125
sub-719828686_ses-754312389.nwb,5a58bf3d-a1b9-444b-8ab0-ef5478aa42a6,1.86,516,106,14,33,44,65,25,27,0,136,48,287,27,199
sub-740268983_ses-759883607.nwb,c9fc315f-5145-45a3-8183-3ad8fe499c4d,1.86,516,67,0,46,0,58,56,24,0,88,15,227,24,106
sub-757329617_ses-773418906.nwb,17a5432b-7193-42dd-a9ae-e9e8b3fef19c,1.93,575,41,0,177,40,19,0,0,0,76,54,277,0,146
sub-739783158_ses-760345702.nwb,47634abd-db85-48f5-9c33-01887a59d3bc,1.96,521,76,51,57,0,55,45,37,17,94,27,284,54,153
sub-744915196_ses-762602078.nwb,cea32745-0d1a-4884-b06f-158d830bcbf3,2.02,553,80,0,0,65,53,0,0,28,107,6,198,33,118
sub-722882751_ses-743475441.nwb,522e8054-34ca-4579-ae80-350d0b24e0f4,2.12,567,47,19,0,73,55,0,42,131,21,13,194,173,39
sub-716813540_ses-739448407.nwb,c7f32379-adce-4961-9211-d07790be9cab,2.16,647,19,37,0,71,58,0,0,0,0,0,185,0,0
sub-718643564_ses-737581020.nwb,106e84a7-1c41-43f1-a675-7df17e4aba69,2.18,589,45,23,0,70,0,15,0,0,0,0,153,0,0
sub-735109599_ses-758798717.nwb,de872cf2-942d-4695-88b1-f7f89cb764fd,2.2,606,47,0,82,0,51,23,0,39,117,43,203,39,160
sub-730760263_ses-755434585.nwb,edf10182-5a4c-454f-ad23-47987a5ca256,2.24,678,82,41,42,52,96,66,44,27,46,18,379,71,73
sub-769360771_ses-791319847.nwb,3adbba7c-3feb-468b-9829-33fcaa27aacd,2.32,581,97,57,46,59,50,22,8,10,91,32,331,36,157
sub-730756767_ses-757970808.nwb,dfc3db15-066a-4a07-b615-a4d7e85c44e1,2.38,812,87,0,62,54,73,0,46,58,134,39,276,104,177
sub-742602884_ses-763673393.nwb,8a17b967-2aa9-4d6a-812c-92b62cf799d7,2.54,652,74,36,0,45,77,0,78,3,138,33,232,97,205
sub-776061236_ses-797828357.nwb,0d8cb49c-8354-4081-8acb-257821aa8413,2.55,629,87,58,25,11,70,55,0,70,53,32,306,70,114
sub-726170927_ses-746083955.nwb,2e6df882-f31a-440b-a572-ba717a95bf80,2.56,607,14,23,34,40,0,116,34,0,7,0,227,34,13
