,gOSI,OSI,pref_ori,gDSI,DSI,pref_dir,anova_F,anova_p,gOSI_p,gOSI_null_mean,peak_rate,mean_rate,area,session,responsive
sub-699733573_ses-715093703_950911873,0.15585525765420002,0.3379499345472987,173.77412470505223,,,,14.520117104416371,3.622243625163896e-14,0.001996007984031936,0.030960678305037515,1.9900864309642725,1.254931167990262,VISp,sub-699733573_ses-715093703,True
sub-699733573_ses-715093703_950911880,0.059535318529232994,0.1297769334936709,0.9141108189330142,,,,15.99360035713555,1.097569059867807e-15,0.001996007984031936,0.008893250898314662,11.998206656209367,10.218356631923577,VISp,sub-699733573_ses-715093703,True
sub-699733573_ses-715093703_950911932,0.11244096564298116,0.23158610446897177,3.151244694507805,,,,35.64978936824976,4.62726599586347e-36,0.001996007984031936,0.01096733153314916,8.12928337172177,6.4101061664338195,VISp,sub-699733573_ses-715093703,True
sub-699733573_ses-715093703_950911986,0.047937793923489624,0.18087565430505972,171.774678240991,,,,1.9853239041414628,0.07751349388896493,0.15568862275449102,0.0311285548959856,0.9394162159406872,0.8363768991654074,VISp,sub-699733573_ses-715093703,False
sub-699733573_ses-715093703_950912018,0.05004264382121821,0.10899550606200589,88.60594405146524,,,,25.075561567559436,4.297896630709537e-25,0.001996007984031936,0.00591450895539968,18.518363344233254,16.921404852567807,VISp,sub-699733573_ses-715093703,True
sub-699733573_ses-715093703_950912065,0.06293476496712103,0.16048557865442348,98.08323277464353,,,,11.889849422282063,1.8105644699309836e-11,0.001996007984031936,0.013479356930651281,5.929070432624485,4.75891052060383,VISp,sub-699733573_ses-715093703,True
sub-699733573_ses-715093703_950912109,0.12270393967350086,0.2883383105744613,88.93353428543111,,,,14.177322097505971,8.1596696566044e-14,0.001996007984031936,0.018970700901267273,6.213361946027783,4.712854940044561,VISp,sub-699733573_ses-715093703,True
sub-699733573_ses-715093703_950912164,0.09069880753242683,0.2575536116848706,5.4075975700313865,,,,32.30095830404424,1.36840116898272e-32,0.001996007984031936,0.011531273189675954,12.261899808618217,10.876944084400208,VISp,sub-699733573_ses-715093703,True
sub-699733573_ses-715093703_950912190,0.09034031357984244,0.17080094042863547,108.54549145334451,,,,57.628166151036034,1.0514434644390905e-58,0.001996007984031936,0.006865066705832208,7.853855380186996,6.776339003452864,VISp,sub-699733573_ses-715093703,True
sub-699733573_ses-715093703_950912214,0.1733748768426397,0.2575784767254849,173.1537906055032,,,,55.92010087709478,5.905899765754855e-57,0.001996007984031936,0.01306006798812014,7.715832029765458,5.900501656221638,VISp,sub-699733573_ses-715093703,True
sub-699733573_ses-715093703_950912226,0.1456320849454865,0.3084924666676093,5.141217385393551,,,,83.8676951579599,2.4948860458718167e-85,0.001996007984031936,0.009600160989647994,9.521924393215505,7.249959556427474,VISp,sub-699733573_ses-715093703,True
