session,unit,direction,lo,hi,peak_pos,width,peak_rate,si,n_spikes,mrl,slope,phi0,rho,p,n
Achilles_10252013,5,right,0.0,44.0,22.0,44.0,8.193968322202242,0.6889633300670042,191,0.29960630423222046,-3.066194429903638,5.352605876641755,-0.3020299505981839,3.1540678908426045e-05,191
Achilles_10252013,13,right,104.0,160.0,138.0,56.0,27.15675127212262,1.5533738551930263,510,0.14122677956312651,-4.259999638267759,5.711876280109519,-0.2293839850963116,1.5488536364571814e-07,510
Achilles_10252013,14,right,0.0,56.0,34.0,56.0,15.64476114322384,0.8079369415410309,510,0.16731292857823957,-5.303008399259571,6.270492369836043,-0.1586217059960646,0.0005296706916664284,510
Achilles_10252013,17,right,64.0,140.0,90.0,76.0,13.878336650506377,0.6896705540152808,361,0.3428576492222804,-5.01398187512931,5.725222221639646,-0.38535109678884066,3.5000891074332685e-12,361
Achilles_10252013,18,right,8.0,44.0,26.0,36.0,24.350529003367086,0.9890007291413132,474,0.17701556636817908,-4.838052686528282,5.312729663177272,-0.5725895042025841,0.0,474
Achilles_10252013,23,right,24.0,64.0,38.0,40.0,5.140478466438233,0.945462082462039,90,0.1574194321445714,-10.103361973944775,5.911980110013226,-0.49875910721683814,4.454967127864862e-06,90
Achilles_10252013,24,right,0.0,48.0,22.0,48.0,16.825626633925204,1.0405427101381295,526,0.156755203741978,-5.16477832250162,4.7724130740454545,-0.3819206054284147,0.0,526
Achilles_10252013,25,right,60.0,128.0,86.0,68.0,11.626144216745736,0.7928261564440524,286,0.05718572471021095,-6.635043684381643,6.096559030818353,-0.04550300852307733,0.4167329911162425,286
Achilles_10252013,30,right,84.0,152.0,126.0,68.0,11.066831987496757,0.6179741793943749,220,0.12276063590014245,-6.521946348852411,5.874838317841573,-0.4273656301774315,4.2885339723852667e-10,220
Achilles_10252013,39,right,28.0,96.0,50.0,68.0,8.268097573077041,0.8733943620568136,248,0.27348168259873745,-4.800353574685204,5.883983689945751,-0.2548762103118808,7.232585418259774e-05,248
Achilles_10252013,54,right,92.0,160.0,138.0,68.0,3.2558527802956188,0.6074676718933946,50,0.0847892658566664,12.000883936713011,1.5525347250761152,0.13146454510065075,0.36093427168619097,50
Achilles_10252013,56,right,108.0,160.0,142.0,52.0,5.164904303605009,1.6183310756114193,78,0.08731645371310467,-6.609910943152925,0.4280022566546676,0.3646422678702251,0.0018902143231755986,78
Achilles_10252013,60,right,4.0,60.0,22.0,56.0,15.494767776796532,0.7619342401901128,415,0.1015417721290219,-11.2343353292371,6.212771489970636,-0.43767592386288157,0.0,415
Achilles_10252013,89,right,0.0,44.0,22.0,44.0,21.746731756779326,1.2373387003101075,571,0.21373380002211323,-4.310265120725195,5.584387296093538,-0.5108201535191926,0.0,571
Achilles_10252013,90,right,0.0,72.0,18.0,72.0,26.535310347635253,0.5596656254744904,1146,0.11208448454166409,-12.566370614359172,5.701210278777579,0.06593195765794352,0.024578019544778895,1146
Achilles_10252013,91,right,56.0,124.0,82.0,68.0,11.598350927912906,1.0139426356241104,292,0.26362475678464853,-4.335397861953914,5.421910363043398,-0.28228140614987146,1.5980309444607599e-06,292
Achilles_10252013,93,right,12.0,40.0,26.0,28.0,12.143627823017482,0.6941375272391545,208,0.1618343519591853,-3.908141261065702,5.220246416286952,-0.28081592283276985,5.324448276189386e-05,208
Achilles_10252013,98,right,88.0,144.0,118.0,56.0,2.7798253255751204,1.1021880372975525,50,0.06736594365915838,-4.448495197483147,5.4268038773590215,-0.04158190764807839,0.7414413110884999,50
Achilles_10252013,106,right,112.0,160.0,134.0,48.0,3.1749209123487123,0.7896087633990766,56,0.12867684295724224,-2.0106192982974678,5.401082799476399,-0.14654536675121377,0.26865623986224163,56
Achilles_10252013,107,right,32.0,80.0,62.0,48.0,6.558786894054856,1.4847846628844006,138,0.3253470449701595,2.6138050877867074,5.475040623483179,0.07111321526591617,0.42890449123234786,138
Achilles_10252013,110,right,80.0,160.0,122.0,80.0,7.514145111426639,1.2606821969971707,183,0.10610352194623743,3.983539484751857,4.045046608769567,0.19201940674511694,0.008803415747641097,183
Achilles_10252013,112,right,0.0,44.0,22.0,44.0,2.143885852671604,0.6427445030517319,46,0.15587620365585492,-3.556282883863646,4.337827565434099,-0.3589646566247215,0.01633300355485523,46
Achilles_10252013,118,right,36.0,104.0,62.0,68.0,8.79334600729527,0.6434369849544503,242,0.18301723163462202,-3.970973114137498,5.7182784748155635,-0.10161884202145172,0.11244937553077361,242
Achilles_10252013,122,right,76.0,160.0,134.0,84.0,1.470607642293491,0.9980284182333483,41,0.17321071703470808,-2.8776988706882505,4.956395807021997,-0.1819617202510576,0.25852089974799997,41
Achilles_10252013,134,right,24.0,72.0,46.0,48.0,5.5188188044464965,0.790890158575148,122,0.15182451499744215,-1.6461945504810516,5.305351126556898,-0.028793961816019394,0.7524631726493913,122
Achilles_10252013,3,left,0.0,68.0,26.0,68.0,6.1162977556192155,0.5649824225933547,176,0.07109529987319849,-8.469733794078081,3.5837096989388804,-0.2547581137455701,0.000569881956706153,176
Achilles_10252013,13,left,36.0,72.0,50.0,36.0,5.932698865859126,0.8957803905701796,87,0.14122677956312651,-7.1502648795703685,6.033465852542753,-0.20755624687285926,0.04832775048014937,87
Achilles_10252013,14,left,12.0,84.0,62.0,72.0,11.570901391053367,0.6522026378446074,292,0.16731292857823957,1.9226547039969537,2.7172543777952978,0.1412401746600989,0.014734171262336337,292
Achilles_10252013,24,left,52.0,92.0,74.0,40.0,16.633990542276074,1.5352947523370253,233,0.156755203741978,-2.375044046113883,3.1513189897984843,-0.30264145022410516,5.863653001370039e-06,233
Achilles_10252013,31,left,32.0,84.0,54.0,52.0,8.443317606557892,1.0534301092134422,173,0.3107354160458553,-3.845309407993906,5.039913364421346,-0.5967627483070126,7.331912854624534e-13,173
Achilles_10252013,39,left,40.0,108.0,74.0,68.0,9.196109431291042,1.056552179191924,243,0.27348168259873745,-2.651504199629785,5.471922305429319,-0.28870830352963606,7.72380585645216e-06,243
Achilles_10252013,48,left,44.0,96.0,74.0,52.0,2.5461490507432094,0.9084773538847984,46,0.2688417227020022,-2.1362830044410583,4.977141083208219,-0.3333003216198668,0.042130263753227926,46
Achilles_10252013,53,left,0.0,64.0,30.0,64.0,20.015797509075274,0.9582178253783828,465,0.2575702813758709,-3.292389100962103,5.633456837274918,-0.12371053527741858,0.006652769422980986,465
Achilles_10252013,60,left,0.0,96.0,18.0,96.0,19.362002544034,0.6495120238077463,804,0.1015417721290219,-4.649557127312894,6.061615251720757,0.04366907634703744,0.21877276149388258,804
Achilles_10252013,61,left,112.0,160.0,142.0,48.0,13.101286749875735,1.351626322973981,300,0.11658865831420234,-3.93327400229442,4.727311266004783,-0.3901032871042656,3.470801424043657e-11,300
Achilles_10252013,62,left,0.0,48.0,30.0,48.0,8.956231196701683,0.7353489582829373,203,0.1659862139590084,-4.234866897039041,5.1287223891523706,0.0032953040945651515,0.9622601104639881,203
Achilles_10252013,64,left,40.0,120.0,90.0,80.0,18.24054390825951,0.8387528528557915,501,0.16616643163256797,-4.159468673352886,5.069128232060068,-0.18956874705108387,1.1893016282460422e-05,501
Achilles_10252013,67,left,12.0,76.0,34.0,64.0,27.836845873110136,0.7441629317476306,661,0.05942996828169036,-5.6046012940041905,6.011702480085989,-0.17415940543848366,4.126532314074893e-06,661
Achilles_10252013,73,left,28.0,104.0,58.0,76.0,23.85742070986038,0.774374517554635,630,0.04032096398164143,-6.056990636121121,6.049420035222981,-0.46839161953668845,0.0,630
Achilles_10252013,75,left,44.0,80.0,62.0,36.0,5.4619958469112495,1.4010191894782236,72,0.20324581581188464,4.611858015469816,4.332579587280641,0.2352803789921592,0.056975594416692754,72
Achilles_10252013,77,left,96.0,152.0,118.0,56.0,20.932475366525065,1.30309441589452,460,0.252815328557311,-4.461061568097506,5.53652399390409,-0.5623492403636859,0.0,460
Achilles_10252013,88,left,36.0,92.0,66.0,56.0,19.345436248057652,1.427424074647577,422,0.2983572127989981,-4.624424386084176,5.268536659587266,-0.6497075794368334,0.0,422
Achilles_10252013,93,left,88.0,148.0,118.0,60.0,35.90041199683938,0.991081236950318,783,0.1618343519591853,-5.039114616358028,5.383362316664811,-0.49373780330371264,0.0,783
Achilles_10252013,96,left,72.0,136.0,110.0,64.0,32.57963289474567,1.0291205128468883,744,0.09777538958103686,-4.976282763286233,5.554764628058343,-0.3281983087150813,0.0,744
Achilles_10252013,114,left,48.0,100.0,70.0,52.0,6.085759678354781,1.1049058274708994,117,0.15665855139434387,-3.4934510307918503,4.2162420728564625,-0.29108547236894566,0.001578352012857831,117
Achilles_10252013,117,left,48.0,108.0,82.0,60.0,14.359407744168614,1.259611998667185,307,0.2437890265891226,-4.347964232568273,5.3068671390304925,-0.5125959077951706,0.0,307
Achilles_10252013,118,left,40.0,108.0,74.0,68.0,13.493945193330147,0.6122371070965802,308,0.18301723163462202,-5.039114616358028,5.7859367676733635,-0.22063146219643626,0.00012943811246901582,308
