unit,cell_type,n_spikes,mrl,pref_phase,rayleigh_p,rate,entrained
2,inhibitory,5550,0.06975475480610067,136.49937349395668,1.8143998618112e-12,33.258821813629574,True
7,excitatory,717,0.10686845406945687,278.7409166167862,0.000272868474841463,4.296680223490524,True
9,excitatory,98,0.32856632108104344,283.2459578346572,1.9929973976839534e-05,0.5872728896821079,True
11,excitatory,239,0.3235789639929644,218.64188706004748,7.184379010122501e-12,1.432226741163508,True
12,excitatory,964,0.14948372267834448,12.589664151421411,3.9533374543742754e-10,5.776847608709714,True
13,excitatory,61,0.278234021540849,233.73777294114973,0.008424422038718078,0.3655474109245773,True
16,excitatory,712,0.10851642541761743,211.79156844997976,0.0002241324460715851,4.266717320955722,True
18,inhibitory,8104,0.35646581471731614,92.09981223407028,0.0,48.56387242840614,True
20,inhibitory,825,0.04484515469097721,206.12262894453113,0.19033376741965774,4.943878918242234,False
21,excitatory,109,0.056827490788891266,234.90566186868364,0.7042132236599004,0.6531912752586709,False
23,excitatory,575,0.23187877468731363,242.71509130401176,2.5107450476781796e-14,3.4457337915021635,True
27,excitatory,781,0.17201534936006194,212.55815921620436,7.852297636116223e-11,4.680205375935982,True
29,excitatory,1071,0.11422185167289904,39.30716112960481,8.214192595593027e-07,6.418053722954465,True
33,excitatory,656,0.33617554678756684,243.32441268204104,7.318288247484147e-34,3.9311328125659464,True
39,excitatory,1376,0.2023944524158352,179.83685462484564,1.8787134628063355e-25,8.245790777577351,True
41,excitatory,144,0.05458071941466611,291.4987005269731,0.6519312339817451,0.862931593002281,False
48,inhibitory,2714,0.31968326438380906,101.68330514683375,2.093242885078514e-124,16.26386349589021,True
49,inhibitory,2394,0.16690788446279173,70.1832171365259,6.87626833855632e-30,14.346237733662921,True
50,excitatory,1455,0.1691670958442154,190.97857508067568,6.190560750925421e-19,8.719204637627213,True
51,excitatory,671,0.22956012893385738,106.99526647011588,2.8009882462678376e-16,4.0210215201703505,True
52,excitatory,818,0.04739964757636813,51.13668226648918,0.15917815822913595,4.9019308546935125,False
53,excitatory,91,0.2853524637234293,210.0672656315769,0.0005399955299907201,0.5453248261333858,True
54,excitatory,329,0.11473822307256092,151.05308683518982,0.013050216169871093,1.9715589867899335,False
55,excitatory,1264,0.07919996346418487,112.67554301946555,0.0003569437995504136,7.5746217607977995,True
56,excitatory,339,0.38949665691272206,51.63519805016158,6.07720473566746e-24,2.0314847918595365,True
57,excitatory,1044,0.17476622057392607,105.81181633822527,1.1245750420768399e-14,6.256254049266537,True
58,excitatory,234,0.30840273843990007,184.07135459082846,1.3030755407898123e-10,1.4022638386287065,True
74,excitatory,74,0.12433755682651348,202.8812468872539,0.3195901800061557,0.44345095751506103,False
76,excitatory,116,0.07951558636127798,7.674200556019008,0.48121709245947636,0.695139338807393,False
79,excitatory,62,0.29070148137204543,230.96790273758558,0.004940252029976179,0.3715399914315376,True
82,excitatory,523,0.28398294650075695,237.9689372581713,2.0698824981443867e-19,3.1341196051402287,True
83,inhibitory,205,0.558722822425893,248.1968946162744,5.055897783503726e-31,1.2284790039268583,True
86,excitatory,66,0.1832100399566894,80.21019296107302,0.10891641201800753,0.39551031345937876,False
92,excitatory,321,0.32896248801162165,69.26010999636185,3.2168351795123597e-16,1.9236183427342513,True
94,excitatory,78,0.20736322764811305,229.95018396728585,0.03443298660093731,0.4674212795429022,False
97,inhibitory,8698,0.23720176835600806,72.56023730835751,2.4917494812466744e-216,52.12346524954055,True
98,excitatory,53,0.12402985247415425,87.69986899350303,0.4445146134326198,0.31760676686889505,False
101,excitatory,452,0.307912025799881,256.51688707084094,8.861501895358475e-20,2.7086463891460486,True
103,excitatory,165,0.13100939012541307,101.92238535438494,0.05868560730488642,0.9887757836484469,False
107,inhibitory,7703,0.30133607366156323,64.58900806386082,1.052292454565e-311,46.16084764511507,True
109,excitatory,102,0.18971146199996866,281.25721938726014,0.02506557129571277,0.611243211709949,False
112,excitatory,339,0.40329957974173647,231.2241137747101,1.076151905063066e-25,2.0314847918595365,True
113,excitatory,1168,0.09827825174218148,259.099137688102,1.2326338287768608e-05,6.999334032129612,True
114,excitatory,274,0.12787878373862102,152.1684333192977,0.011210279153914236,1.6419670589071178,False
116,excitatory,295,0.19492911983277664,238.3879646144285,1.239458962202367e-05,1.7678112495532838,True
117,excitatory,65,0.15479770208001112,176.01716673255495,0.2112127324498569,0.3895177329524185,False
118,excitatory,701,0.16644077075119404,229.72177976786784,3.2593892594258108e-09,4.200798935379159,True
123,excitatory,779,0.0658688909008632,276.60713492807463,0.034001362100327566,4.668220214922061,False
125,excitatory,571,0.15384829033349803,313.4880953402299,1.2604215125986521e-06,3.4217634694743224,True
129,excitatory,341,0.1625560627284467,258.66112271988237,0.00011650092050829769,2.043469952873457,True
135,inhibitory,2005,0.3218682082895532,230.9371447417889,2.230844556132405e-93,12.01512391645537,True
136,inhibitory,5674,0.48999577175194964,257.09905445727964,0.0,34.00190179649265,True
137,excitatory,735,0.04200125547105634,211.3721545743808,0.2735400477006577,4.404546672615809,False
140,inhibitory,3290,0.17121561716239553,75.25621466229742,6.443800038216011e-43,19.715589867899336,True
143,excitatory,127,0.18391813967709528,348.9910486771855,0.013359091151910092,0.7610577243839561,False
145,excitatory,494,0.26844204086045875,215.43279774355844,1.8509720866661146e-16,2.9603347704383802,True
146,excitatory,1299,0.13248712796527984,284.63146565040677,1.1418606844909846e-10,7.784362078541409,True
148,excitatory,262,0.5505624301361255,262.331860658668,3.0885147209887783e-38,1.5700560928235945,True
151,excitatory,100,0.12225593837209686,254.7433506353231,0.22475182758946144,0.5992580506960284,False
161,excitatory,199,0.16339896155932004,359.5045182606738,0.004817489095386359,1.1925235208850966,True
163,excitatory,265,0.14642443629378274,216.28835326633506,0.0033408149360753276,1.5880338343444753,True
