unit,direction,position,position + phase,position x phase,gain_phase,gain_interaction
173,L,-0.28818485140800476,-0.27940452098846436,-0.2537976801395416,0.008780330419540405,0.02560684084892273
58,L,-0.1804225891828537,-0.17487819492816925,-0.16590681672096252,0.005544394254684448,0.008971378207206726
39,R,-0.32026243209838867,-0.31556159257888794,-0.29684367775917053,0.004700839519500732,0.018717914819717407
145,L,-0.2991526126861572,-0.29210755228996277,-0.26730993390083313,0.007045060396194458,0.02479761838912964
137,L,-0.4506951868534088,-0.45236778259277344,-0.41802874207496643,-0.001672595739364624,0.03433904051780701
238,L,-0.23726892471313477,-0.23407892882823944,-0.22053977847099304,0.0031899958848953247,0.013539150357246399
113,R,-0.31112369894981384,-0.31076961755752563,-0.2955194413661957,0.000354081392288208,0.015250176191329956
50,R,-0.12230587005615234,-0.12488915771245956,-0.12445378303527832,-0.0025832876563072205,0.0004353746771812439
16,R,-0.12812812626361847,-0.12903988361358643,-0.12703807651996613,-0.0009117573499679565,0.0020018070936203003
179,L,-0.4885680079460144,-0.485269159078598,-0.4492485523223877,0.003298848867416382,0.03602060675621033
175,R,-0.27433180809020996,-0.26944297552108765,-0.25979503989219666,0.0048888325691223145,0.009647935628890991
57,R,-0.24866776168346405,-0.24948295950889587,-0.24495229125022888,-0.0008151978254318237,0.004530668258666992
7,L,-0.16531667113304138,-0.16609811782836914,-0.16168983280658722,-0.0007814466953277588,0.004408285021781921
114,L,-0.1754530519247055,-0.17626680433750153,-0.17641571164131165,-0.0008137524127960205,-0.00014890730381011963
118,R,-0.1523183435201645,-0.15248431265354156,-0.15021619200706482,-0.0001659691333770752,0.0022681206464767456
263,L,-0.1264214813709259,-0.12332457304000854,-0.12301009893417358,0.0030969083309173584,0.00031447410583496094
57,L,-0.46155253052711487,-0.4509342312812805,-0.4387807250022888,0.01061829924583435,0.0121535062789917
51,L,-0.19698944687843323,-0.19009745121002197,-0.184553861618042,0.006891995668411255,0.0055435895919799805
182,L,-0.47127944231033325,-0.4705880284309387,-0.43153834342956543,0.0006914138793945312,0.03904968500137329
51,R,-0.26257508993148804,-0.2604452669620514,-0.2556319534778595,0.0021298229694366455,0.0048133134841918945
