session,condition,acc,null_mean,null95,p,n
sub-92130c1b,all trials,0.533803794423182,0.49920110360852926,0.5257811591033352,0.024875621890547265,1213
sub-92130c1b,0% contrast,0.5103030303030303,0.5001104312354312,0.5767934149184148,0.4577114427860697,117
sub-92130c1b,block prior,0.5626519769119769,0.4975438520923521,0.52121284992785,0.004975124378109453,1123
sub-92130c1b,previous choice,0.5325079365079364,0.502331746031746,0.5814285714285715,0.3034825870646766,117
sub-70bf8cbd,all trials,0.5974870389663924,0.5006241365898971,0.5372071647791922,0.004975124378109453,522
sub-70bf8cbd,0% contrast,0.586,0.4956916666666666,0.6155833333333331,0.10945273631840796,58
sub-70bf8cbd,block prior,0.6581218333922471,0.5009214622363615,0.5437288794627076,0.004975124378109453,432
sub-70bf8cbd,previous choice,0.47533333333333333,0.49570119047619043,0.6316428571428571,0.5870646766169154,58
sub-9bebfe0b,all trials,0.5477919157728153,0.4999036387814313,0.5245119277885235,0.004975124378109453,842
sub-9bebfe0b,0% contrast,0.5964583333333333,0.5003927083333334,0.5774479166666666,0.03482587064676617,96
sub-9bebfe0b,block prior,0.6246186573784558,0.4988151589382062,0.5287145474905833,0.004975124378109453,752
sub-9bebfe0b,previous choice,0.5367216117216117,0.5017229853479853,0.6024679487179486,0.27860696517412936,96
sub-c6e8125f,all trials,0.5968548410311029,0.5003627894759568,0.5455377973920178,0.004975124378109453,641
sub-c6e8125f,0% contrast,0.6357142857142857,0.4942901785714286,0.5950793650793651,0.024875621890547265,77
sub-c6e8125f,block prior,0.7006288467929545,0.5013490611498836,0.5426117480890661,0.004975124378109453,551
sub-c6e8125f,previous choice,0.4964285714285714,0.4988754960317461,0.5945783730158731,0.5323383084577115,77
