start,stop,orientation,temporal_frequency
1587.522722141096,1589.524372141096,315.0,15.0
1590.5252181484657,1592.5268881484656,0.0,4.0
1593.5277321410958,1595.529392141096,315.0,4.0
1596.5302281484655,1598.5318981484656,90.0,15.0
1599.5327621410959,1601.5344121410958,270.0,15.0
1605.5377521410958,1607.5394221410959,45.0,8.0
1608.5402581484657,1610.5419281484656,180.0,8.0
1611.542812141096,1613.544422141096,180.0,1.0
1614.5452681484655,1616.5469381484656,0.0,15.0
1617.547852141096,1619.549492141096,0.0,4.0
1620.5502881484656,1622.5519581484655,270.0,8.0
1623.5527821410958,1625.554452141096,270.0,2.0
1626.5553081484657,1628.5569881484655,45.0,8.0
1629.5578021410959,1631.5595121410959,225.0,1.0
1632.5603181484655,1634.5619881484656,180.0,8.0
1635.562792141096,1637.5644621410959,90.0,15.0
1638.5653381484656,1640.5669981484655,225.0,2.0
1641.5678121410958,1643.5695121410959,315.0,1.0
1644.5703481484657,1646.5720281484655,135.0,4.0
1647.5728521410958,1649.574542141096,90.0,2.0
1650.5753681484655,1652.5770381484656,180.0,15.0
1653.577872141096,1655.5795221410958,0.0,8.0
1656.5803781484656,1658.5820481484657,135.0,8.0
1659.582882141096,1661.5845621410958,225.0,8.0
1662.5853881484657,1664.5870581484655,180.0,15.0
1665.5878721410959,1667.5895321410958,135.0,2.0
1668.5904081484655,1670.5920781484656,315.0,4.0
1671.592912141096,1673.5945521410958,135.0,8.0
1674.5954181484656,1676.5970881484657,315.0,4.0
1677.5978921410958,1679.5996121410958,45.0,1.0
1680.6004281484657,1682.6021081484655,180.0,8.0
1683.6029221410959,1685.6046421410958,90.0,1.0
1686.6054481484655,1688.6071181484656,0.0,4.0
1689.607942141096,1691.609652141096,135.0,1.0
1692.6104581484656,1694.6121381484656,225.0,8.0
1695.6129421410958,1697.614602141096,315.0,15.0
1698.6154781484656,1700.6171481484655,0.0,1.0
1701.617942141096,1703.619642141096,315.0,15.0
1704.6204881484655,1706.6221681484656,135.0,8.0
1707.622982141096,1709.624692141096,45.0,1.0
1713.628012141096,1715.629722141096,135.0,15.0
1716.6305181484656,1718.6321981484655,315.0,8.0
1719.6330221410958,1721.634752141096,225.0,15.0
1722.6355381484657,1724.6372081484656,315.0,8.0
1725.6380621410958,1727.639722141096,180.0,8.0
1731.643072141096,1733.6447221410958,135.0,15.0
1734.6455681484656,1736.6472281484655,90.0,1.0
1737.6480521410958,1739.6497421410959,135.0,4.0
1740.6505881484657,1742.6522581484655,135.0,15.0
1743.6530821410959,1745.654752141096,225.0,8.0
1746.6555981484655,1748.6572681484656,90.0,8.0
1749.658082141096,1751.6597721410958,270.0,4.0
1752.6606081484656,1754.6622681484655,0.0,2.0
1755.6630821410959,1757.6647921410959,225.0,1.0
1761.668112141096,1763.669802141096,225.0,1.0
1764.6706381484655,1766.6723081484656,270.0,15.0
1767.6731621410959,1769.6748021410958,45.0,4.0
1770.6756581484656,1772.6773281484657,90.0,1.0
1773.6782021410959,1775.6798521410958,180.0,1.0
1776.6806681484657,1778.6823381484655,45.0,15.0
1779.6831821410958,1781.6849021410958,315.0,4.0
1782.6856881484655,1784.6873581484656,90.0,2.0
1785.688162141096,1787.6898221410959,315.0,15.0
1788.6906881484656,1790.6923581484655,0.0,15.0
1791.6931821410958,1793.6948821410958,270.0,4.0
1794.6957081484657,1796.6973781484655,315.0,1.0
1797.6982321410958,1799.699882141096,90.0,4.0
1800.7007281484655,1802.7023781484652,180.0,4.0
1803.703282141096,1805.7048721410958,0.0,1.0
1806.7057381484656,1808.7074281484652,315.0,2.0
1809.7082921410959,1811.7099321410958,180.0,4.0
1812.7107581484652,1814.7124281484653,135.0,1.0
1818.7157781484652,1820.7174581484653,135.0,8.0
1821.7182821410959,1823.719952141096,270.0,15.0
1824.7207881484653,1826.7224581484652,135.0,2.0
1827.723292141096,1829.724932141096,225.0,4.0
1830.7257881484652,1832.7274881484652,90.0,4.0
1833.7283721410959,1835.7299221410958,135.0,1.0
1836.7308081484653,1838.7324981484653,270.0,15.0
1842.7358481484653,1844.7374981484652,315.0,15.0
1845.738332141096,1847.7399821410959,90.0,2.0
1848.7408381484652,1850.7425181484653,225.0,8.0
1851.7433421410958,1853.744992141096,45.0,1.0
1854.7458681484652,1856.7475281484656,45.0,1.0
1857.7483621410959,1859.750032141096,315.0,4.0
1860.7508681484653,1862.7525381484652,225.0,8.0
1863.753382141096,1865.7550521410958,45.0,2.0
1866.7558781484652,1868.7575581484653,225.0,4.0
1869.7583921410958,1871.760032141096,270.0,2.0
1872.7609181484652,1874.7625681484656,270.0,8.0
1875.763442141096,1877.765062141096,180.0,8.0
1878.7659181484653,1880.7675881484652,45.0,4.0
1881.768432141096,1883.7701021410958,135.0,2.0
1884.7709281484656,1886.7726081484652,0.0,1.0
1887.7734321410958,1889.7751221410958,180.0,2.0
1890.7759581484652,1892.7776281484653,225.0,2.0
1893.778432141096,1895.780142141096,45.0,15.0
1896.7809681484653,1898.7826381484656,45.0,1.0
1899.783472141096,1901.785152141096,180.0,15.0
1905.788482141096,1907.790132141096,180.0,15.0
1908.7909981484652,1910.7926681484653,180.0,1.0
1911.793462141096,1913.795162141096,135.0,2.0
1914.7960081484653,1916.7976781484656,135.0,15.0
1917.7985321410958,1919.800192141096,270.0,2.0
1920.8010181484656,1922.8026881484652,45.0,2.0
1923.8035121410958,1925.8051821410959,270.0,4.0
1926.8060381484652,1928.8077181484653,225.0,8.0
1929.808502141096,1931.810192141096,45.0,1.0
1932.8110581484652,1934.8127181484656,90.0,15.0
1935.8135621410959,1937.815172141096,315.0,2.0
1938.8160681484653,1940.8177381484652,225.0,15.0
1941.818582141096,1943.8202521410958,0.0,2.0
1944.8210881484656,1946.8227581484653,315.0,2.0
1947.8235821410958,1949.825242141096,270.0,2.0
1950.8260881484653,1952.8277681484656,225.0,2.0
1953.828582141096,1955.8302321410958,270.0,15.0
1956.8311181484653,1958.8327781484652,45.0,8.0
1959.833602141096,1961.8353021410958,270.0,8.0
1962.8361281484656,1964.8377981484653,270.0,8.0
1965.8386221410958,1967.840302141096,315.0,2.0
1968.8411281484653,1970.8428081484656,0.0,15.0
1971.8436521410958,1973.845312141096,135.0,2.0
1974.8461581484653,1976.8478181484652,90.0,15.0
1977.848642141096,1979.850362141096,225.0,15.0
1980.8511781484656,1982.8528481484652,135.0,15.0
1983.8536421410959,1985.855322141096,135.0,4.0
1986.8561781484652,1988.8578581484653,45.0,8.0
1989.858662141096,1991.860382141096,270.0,2.0
1992.8611981484653,1994.8628581484652,270.0,1.0
1995.863712141096,1997.8653621410958,270.0,1.0
1998.8662181484656,2000.8678881484652,270.0,2.0
2004.8712281484652,2006.8728981484653,45.0,2.0
2007.8737421410958,2009.875412141096,135.0,1.0
2010.8762381484653,2012.8779181484656,90.0,15.0
2013.8787821410958,2015.8804221410958,0.0,8.0
2016.8812681484656,2018.8829281484652,270.0,8.0
2019.883772141096,2021.8854521410958,270.0,8.0
2022.8862781484652,2024.8879481484653,315.0,4.0
2025.8887921410958,2027.890452141096,225.0,1.0
2028.8912881484653,2030.8929581484656,0.0,15.0
2031.8937521410958,2033.8954621410958,315.0,8.0
2034.8963181484653,2036.8979781484652,90.0,8.0
2037.8987721410958,2039.9004821410958,315.0,2.0
2040.9013181484652,2042.9029881484653,0.0,8.0
2046.9063381484652,2048.9080081484653,90.0,15.0
2049.908842141096,2051.910542141096,135.0,2.0
2052.9113381484653,2054.9130281484654,0.0,2.0
2055.913902141096,2057.915532141096,0.0,1.0
2058.9163581484654,2060.9180381484657,315.0,1.0
2061.918862141096,2063.9205221410957,45.0,4.0
2064.9213681484657,2066.9230481484656,0.0,4.0
2067.923862141096,2069.925552141096,315.0,4.0
2070.926398148465,2072.9280681484656,45.0,1.0
2073.928882141096,2075.9305321410957,45.0,2.0
2076.9314181484656,2078.9330781484655,315.0,15.0
2079.9339321410957,2081.935602141096,180.0,4.0
2085.938892141096,2087.9405921410957,90.0,15.0
2088.9414381484653,2090.9431181484656,315.0,1.0
2091.943932141096,2093.945592141096,180.0,1.0
2094.9464481484656,2096.9481281484655,315.0,8.0
2097.9489121410957,2099.950682141096,45.0,4.0
2100.9514681484657,2102.9531281484656,90.0,1.0
2103.953972141096,2105.955632141096,45.0,2.0
2106.956478148465,2108.9581381484654,180.0,2.0
2109.959012141096,2111.960652141096,270.0,2.0
2112.9614881484654,2114.9631681484657,135.0,4.0
2118.9665081484654,2120.9681881484653,270.0,1.0
2121.9690521410957,2123.9706921410957,315.0,1.0
2124.9715281484655,2126.9731981484656,270.0,2.0
2127.974062141096,2129.975682141096,180.0,2.0
2130.9765181484654,2132.9782081484655,270.0,15.0
2133.9790621410957,2135.980742141096,180.0,1.0
2139.984062141096,2141.9857221410957,315.0,15.0
2142.9865681484653,2144.9882381484654,0.0,8.0
2145.989082141096,2147.990752141096,90.0,4.0
2148.9915881484653,2150.9932581484654,225.0,8.0
2151.994102141096,2153.995782141096,0.0,1.0
2154.9965981484656,2156.9982781484655,0.0,4.0
2157.999092141096,2160.000822141096,0.0,15.0
2161.0016081484655,2163.0032881484653,135.0,15.0
2164.004112141096,2166.005782141096,135.0,4.0
2167.0066381484653,2169.0083081484654,315.0,1.0
2170.009102141096,2172.010802141096,225.0,8.0
2173.0116481484656,2175.0133181484657,270.0,1.0
2176.014142141096,2178.015832141096,135.0,15.0
2179.0166681484657,2181.0183281484656,135.0,8.0
2182.019142141096,2184.020812141096,45.0,2.0
2185.021678148465,2187.0233481484656,45.0,4.0
3178.8515921410963,3180.8532821410963,90.0,15.0
