start,stop,orientation,spatial_frequency,phase
5394.701932141096,5394.952138642939,0.0,0.32,0.75
5394.952138642939,5395.202345144781,30.0,0.02,0.75
5395.202345144781,5395.452551646624,150.0,0.04,0.25
5395.452551646624,5395.702758148465,30.0,0.04,0.0
5395.702758148465,5395.9529616466225,120.0,0.04,0.25
5395.9529616466225,5396.2031651447805,90.0,0.08,0.5
5396.2031651447805,5396.453368642939,150.0,0.04,0.75
5396.453368642939,5396.703572141097,60.0,0.04,0.5
5396.703572141097,5396.953788642938,150.0,0.08,0.5
5396.953788642938,5397.204005144781,30.0,0.32,0.75
5397.204005144781,5397.4542216466225,120.0,0.04,0.75
5397.4542216466225,5397.704438148467,30.0,0.08,0.25
5397.704438148467,5397.954646646623,120.0,0.32,0.0
5398.204855144781,5398.4550636429385,60.0,0.02,0.25
5398.4550636429385,5398.705272141096,0.0,0.02,0.75
5398.705272141096,5398.955483642938,60.0,0.04,0.25
5398.955483642938,5399.205695144779,150.0,0.08,0.0
5399.205695144779,5399.455906646623,90.0,0.16,0.25
5399.455906646623,5399.706118148465,90.0,0.02,0.0
5399.706118148465,5399.956324146623,120.0,0.02,0.25
5399.956324146623,5400.20653014478,60.0,0.08,0.25
5400.20653014478,5400.456736142938,120.0,0.02,0.75
5400.456736142938,5400.706942141096,30.0,0.08,0.5
5400.706942141096,5400.957148642939,0.0,0.16,0.25
5400.957148642939,5401.207355144781,60.0,0.08,0.5
5401.207355144781,5401.4575616466245,30.0,0.08,0.75
5401.4575616466245,5401.707768148465,120.0,0.04,0.5
5401.707768148465,5401.957969146623,150.0,0.08,0.5
5401.957969146623,5402.2081701447805,90.0,0.02,0.5
5402.2081701447805,5402.458371142939,90.0,0.16,0.0
5402.458371142939,5402.708572141096,90.0,0.32,0.0
5402.708572141096,5402.958788642938,150.0,0.08,0.5
5402.958788642938,5403.209005144781,90.0,0.32,0.25
5403.209005144781,5403.459221646624,90.0,0.16,0.0
5403.459221646624,5403.709438148466,60.0,0.08,0.0
5403.709438148466,5403.959649146623,60.0,0.08,0.75
5403.959649146623,5404.209860144781,60.0,0.32,0.0
5404.460071142938,5404.710282141095,150.0,0.08,0.0
5404.710282141095,5404.960493642939,60.0,0.04,0.25
5404.960493642939,5405.210705144781,120.0,0.02,0.0
5405.210705144781,5405.4609166466225,0.0,0.16,0.75
5405.4609166466225,5405.711128148466,60.0,0.04,0.5
5405.711128148466,5405.961336646623,90.0,0.02,0.75
5405.961336646623,5406.211545144781,90.0,0.04,0.0
5406.211545144781,5406.461753642939,150.0,0.16,0.0
5406.461753642939,5406.711962141097,60.0,0.32,0.0
5406.711962141097,5406.962168642938,150.0,0.02,0.75
5406.962168642938,5407.212375144781,120.0,0.08,0.25
5407.212375144781,5407.462581646623,0.0,0.32,0.5
5407.462581646623,5407.712788148466,150.0,0.32,0.75
5407.712788148466,5407.963001646623,120.0,0.04,0.75
5407.963001646623,5408.2132151447795,60.0,0.04,0.5
5408.2132151447795,5408.463428642938,150.0,0.32,0.5
5408.463428642938,5408.713642141096,60.0,0.08,0.25
5408.713642141096,5408.9638486429385,30.0,0.08,0.0
5408.9638486429385,5409.214055144781,30.0,0.02,0.75
5409.214055144781,5409.464261646624,90.0,0.02,0.0
5409.464261646624,5409.714468148465,150.0,0.04,0.0
5409.714468148465,5409.964674146623,0.0,0.04,0.75
5409.964674146623,5410.214880144779,30.0,0.08,0.75
5410.214880144779,5410.465086142938,0.0,0.16,0.25
5410.465086142938,5410.715292141096,90.0,0.16,0.25
5410.715292141096,5410.9655036429385,60.0,0.04,0.75
5410.9655036429385,5411.215715144781,30.0,0.02,0.5
5411.215715144781,5411.465926646623,60.0,0.04,0.5
5411.465926646623,5411.716138148467,120.0,0.08,0.0
5411.716138148467,5411.966349146624,150.0,0.08,0.25
5411.966349146624,5412.2165601447805,90.0,0.04,0.75
5412.2165601447805,5412.466771142938,0.0,0.16,0.0
5412.466771142938,5412.716982141096,60.0,0.16,0.25
5412.716982141096,5412.967191142939,90.0,0.32,0.0
5412.967191142939,5413.217400144781,60.0,0.04,0.75
5413.217400144781,5413.467609146624,150.0,0.02,0.5
5413.467609146624,5413.717818148465,150.0,0.08,0.5
5413.717818148465,5413.968019146623,150.0,0.08,0.75
5413.968019146623,5414.2182201447795,60.0,0.02,0.5
5414.2182201447795,5414.4684211429385,60.0,0.16,0.75
5414.4684211429385,5414.718622141097,150.0,0.32,0.25
