unit_id,structure
950907350,VISam
950907352,VISam
950907354,VISam
950907356,VISam
950907358,VISam
950907360,VISam
950907362,VISam
950907364,VISam
950907366,VISam
950907368,VISam
950907370,VISam
950907372,VISam
950907374,VISam
950907376,VISam
950907378,VISam
950907380,VISam
950907382,VISam
950907384,VISam
950907386,VISam
950907388,VISam
950907390,VISam
950907392,VISam
950907394,VISam
950907396,VISam
950907398,VISam
950907400,VISam
950907402,VISam
950907404,VISam
950907406,VISam
950907408,VISam
950907410,VISam
950907412,VISam
950907414,VISam
950907416,VISam
950907418,VISam
950907420,VISam
950907422,VISam
950907425,VISam
950907428,VISam
950907430,VISam
950907432,VISam
950907434,VISam
950907437,VISam
950907439,VISam
950907443,VISam
950907445,VISam
950907447,VISam
950907449,VISam
950907451,VISam
950907453,VISam
950907455,VISam
950907457,VISam
950907459,VISam
950907461,VISam
950907463,VISam
950907465,VISam
950907467,VISam
950907469,VISam
950907471,VISam
950907473,VISam
950907475,VISam
950907477,VISam
950907479,VISam
950907481,VISam
950907483,VISam
950907485,VISam
950907489,VISam
950907491,VISam
950907493,VISam
950907495,VISam
950907498,VISam
950907500,VISam
950907502,VISam
950907504,VISam
950907506,VISam
950907508,VISam
950907510,VISam
950907555,VISam
950907557,VISam
950907559,VISam
950907561,VISam
950907563,VISam
950907565,VISam
950907567,VISam
950907569,VISam
950907571,VISam
950907573,VISam
950907575,VISam
950907577,VISam
950907579,VISam
950907589,VISam
950907591,VISam
950908404,VISp
950908406,VISp
950908408,VISp
950908410,VISp
950908412,VISp
950908414,VISp
950908416,VISp
950908418,VISp
950908420,VISp
950908422,VISp
950908424,VISp
950908426,VISp
950908428,VISp
950908430,VISp
950908432,VISp
950908434,VISp
950908436,VISp
950908438,VISp
950908440,VISp
950908442,VISp
950908444,VISp
950908446,VISp
950908448,VISp
950908450,VISp
950908452,VISp
950908454,VISp
950908457,VISp
950908460,VISp
950908463,VISp
950908466,VISp
950908469,VISp
950908472,VISp
950908475,VISp
950908479,VISp
950908482,VISp
950908485,VISp
950908489,VISp
950908492,VISp
950908496,VISp
950908501,VISp
950908504,VISp
950908507,VISp
950908511,VISp
950908514,VISp
950908518,VISp
950908522,VISp
950908525,VISp
950908529,VISp
950908533,VISp
950908537,VISp
950908540,VISp
950908544,VISp
950908547,VISp
950908551,VISp
950908555,VISp
950908558,VISp
950908562,VISp
950908565,VISp
950908569,VISp
950908572,VISp
950908576,VISp
950908579,VISp
950908583,VISp
950908589,VISp
950908591,VISp
950908596,VISp
950908600,VISp
950908604,VISp
950908611,VISp
950908614,VISp
950908618,VISp
950908621,VISp
950908625,VISp
950908629,VISp
950908632,VISp
950908635,VISp
950908639,VISp
950908653,VISp
950908657,VISp
950908664,VISp
950908668,VISp
950908683,VISp
950908686,VISp
950908689,VISp
950908696,VISp
950908704,VISp
950908707,VISp
950908795,VISp
950908798,VISp
950908802,VISp
950908806,VISp
950908810,VISp
950908815,VISp
950908819,VISp
950908824,VISp
950908828,VISp
950908831,VISp
950908834,VISp
950908838,VISp
950908842,VISp
950908846,VISp
950908850,VISp
950908854,VISp
950908862,VISp
950908866,VISp
950908870,VISp
950908874,VISp
950908880,VISp
950908898,VISp
950908902,VISp
950909276,VISl
950909278,VISl
950909280,VISl
950909294,VISl
950909297,VISl
950909299,VISl
950909301,VISl
950909305,VISl
950909307,VISl
950909313,VISl
950909315,VISl
950909317,VISl
950909319,VISl
950909321,VISl
950909325,VISl
950909327,VISl
950909329,VISl
950909331,VISl
950909341,VISl
950909343,VISl
950909345,VISl
950909347,VISl
950909349,VISl
950909351,VISl
950909353,VISl
950909355,VISl
950909357,VISl
950909359,VISl
950909367,VISl
950909373,VISl
950909375,VISl
950909379,VISl
950909381,VISl
950909383,VISl
950909385,VISl
950909387,VISl
950909389,VISl
950909394,VISl
950909396,VISl
950909398,VISl
950909401,VISl
950909405,VISl
950909407,VISl
950909409,VISl
950909415,VISl
950909421,VISl
950909423,VISl
950909425,VISl
950909427,VISl
950909429,VISl
950909431,VISl
950909433,VISl
950909435,VISl
950909437,VISl
950909439,VISl
950909441,VISl
950909443,VISl
950909445,VISl
950909447,VISl
950909449,VISl
950909461,VISl
950909465,VISl
950909467,VISl
950909469,VISl
950909471,VISl
950909473,VISl
950909475,VISl
950909477,VISl
950909485,VISl
950909494,VISl
950909496,VISl
950909498,VISl
950909500,VISl
950909504,VISl
950909506,VISl
950909508,VISl
950909512,VISl
950909514,VISl
950909516,VISl
950909518,VISl
950909520,VISl
950909526,VISl
950909528,VISl
950909532,VISl
950909544,VISl
950909546,VISl
950909548,VISl
950909596,VISl
950909600,VISl
950909604,VISl
950909607,VISl
950909610,VISl
950909615,VISl
950909625,VISl
950909650,VISl
950912680,VISrl
950912688,VISrl
950912707,VISrl
950912718,VISrl
950912764,VISrl
950912775,VISrl
950912786,VISrl
950912797,VISrl
950912816,VISrl
950912824,VISrl
950912835,VISrl
950912848,VISrl
950912860,VISrl
950912871,VISrl
950912882,VISrl
950912892,VISrl
950912909,VISrl
950912921,VISrl
950912930,VISrl
950912938,VISrl
950912946,VISrl
950912956,VISrl
950912968,VISrl
950912979,VISrl
950912988,VISrl
950912998,VISrl
950913008,VISrl
950913016,VISrl
950913023,VISrl
950913040,VISrl
950913049,VISrl
950913077,VISrl
950913087,VISrl
950913097,VISrl
950913105,VISrl
950913115,VISrl
950913133,VISrl
950913141,VISrl
950913151,VISrl
950913159,VISrl
950913168,VISrl
950913177,VISrl
950913185,VISrl
950913196,VISrl
950913213,VISrl
950913232,VISrl
950913248,VISrl
950913256,VISrl
950913267,VISrl
950913274,VISrl
950913282,VISrl
950913290,VISrl
950913298,VISrl
950913321,VISrl
950913331,VISrl
950913340,VISrl
950913349,VISrl
950913363,VISrl
950913384,VISrl
950913393,VISrl
950913401,VISrl
950913410,VISrl
950913419,VISrl
950913428,VISrl
950913437,VISrl
950913444,VISrl
950913451,VISrl
950913457,VISrl
950913466,VISrl
950913475,VISrl
950913484,VISrl
950913495,VISrl
950913519,VISrl
950913529,VISrl
950913542,VISrl
950913553,VISrl
950913564,VISrl
950913689,VISrl
950913700,VISrl
950913709,VISrl
950913716,VISrl
950913724,VISrl
950913733,VISrl
950913742,VISrl
950913752,VISrl
950913765,VISrl
950913797,VISrl
950913831,VISrl
950913839,VISrl
