path,url,size,subject,session,experiments,bf,sr,n_tone_freqs,freq_min,freq_max,n_tone_levels,level_max,n_spikes,n_sweeps,seq_kinds,has_noise,has_click,has_ph,has_rlf
sub-G150730/sub-G150730_ses-G150730-2P-780nm_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/263/8ab/2638abe7-1cad-47a4-8996-fe2bf612a82e,5409288,G150730,G150730-2P-780nm,BF,616.0,67.0,12,400.0,1500.0,1,49.95727131321717,1237,65,BF,False,False,False,False
sub-G150730/sub-G150730_ses-G150730-1P-675nm_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/59f/c0f/59fc0f40-6ead-4bc2-b209-5b8f8e79daa9,9914536,G150730,G150730-1P-675nm,BF,891.0,67.0,23,400.0,1500.0,1,39.92202517249679,2193,120,BF,False,False,False,False
sub-G150730/sub-G150730_ses-G150730-6P-1035nm_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/714/d8a/714d8a24-4ab2-4971-b577-c51c37a06e97,9094152,G150730,G150730-6P-1035nm,BF,1684.0,58.0,21,1000.0,3000.0,1,49.76369320466426,1951,110,BF,False,False,False,False
sub-G150730/sub-G150730_ses-G150730-6P-1365nm_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/532/0c0/5320c0a4-216e-4e50-94e5-2a9e4a14ee5b,9913712,G150730,G150730-6P-1365nm,BF,726.0,69.0,23,400.0,1500.0,1,29.941569609993326,2090,120,BF,False,False,False,False
sub-G150730/sub-G150730_ses-G150730-1P-465nm_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/e48/4f3/e484f313-d491-4d50-9bff-700fdaf2263a,36566120,G150730,G150730-1P-465nm,"BF,CLICK,RLF",1372.0,78.0,16,500.0,2000.0,29,80.82785649202734,8522,875,"BF,CLICK,RLF",False,True,False,True
sub-G150730/sub-G150730_ses-G150730-6P-1545nm_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/a68/077/a680779b-0325-4c54-a807-ad7bb69bc026,9090688,G150730,G150730-6P-1545nm,BF,2482.0,61.0,21,1500.0,3500.0,1,34.513848206660974,1518,110,BF,False,False,False,False
sub-G150730/sub-G150730_ses-G150730-2P-975nm_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/376/b88/376b88bc-5afa-43cd-9d4d-ee4b42cf5926,77338640,G150730,G150730-2P-975nm,"BF,CF,CLICK,PH,RLF",723.0,90.0,13,400.0,1000.0,39,69.96616935368812,19068,1372,"BF,CF,CLICK,PH,RLF",False,True,True,True
sub-G150730/sub-G150730_ses-G150730-6P-975nm_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/08b/536/08b536b9-b768-4101-b85d-fc06f0c3f900,9089632,G150730,G150730-6P-975nm,BF,2117.0,65.0,21,1500.0,3500.0,1,39.63787886289228,1386,110,BF,False,False,False,False
sub-G150717/sub-G150717_ses-G150717-1P-588nm_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/07b/6af/07b6afec-d4d1-432b-885e-6cca948f7559,99109200,G150717,G150717-1P-588nm,"BF,CF,CLICK,PH,RLF",1661.0,84.0,19,500.0,2900.0,45,80.78178202534342,21917,1638,"BF,CF,CLICK,PH,RLF",False,True,True,True
sub-G150730/sub-G150730_ses-G150730-6P-1420nm_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/ece/448/ece44839-f849-4f3c-8e79-e0cd6ecc7b04,49244184,G150730,G150730-6P-1420nm,"BF,CLICK,PH,RLF",843.0,52.0,23,400.0,1500.0,29,68.92613701460205,9227,1030,"BF,CLICK,PH,RLF",False,True,True,True
