path,url,size,subject,session,experiments,bf,sr,n_tone_freqs,freq_min,freq_max,n_tone_levels,level_max,n_spikes,n_sweeps,seq_kinds,has_noise,has_click,has_ph,has_rlf,logbf,bin,rich
sub-G160901/sub-G160901_ses-G160901-2P-826_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/c8f/a22/c8fa2222-274b-4304-ae16-a48b0eea533b,77887704,G160901,G160901-2P-826,"BF,NOISE,PH,RLF",350.0,30.0,37,200.0,2000.0,23,80.97983950826621,16106,640,"BF,NOISE,PH,RLF",True,False,True,True,8.451211111832329,1,2
sub-G170512/sub-G170512_ses-G170512-8P-288_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/891/c3d/891c3d35-8fe3-421c-8b5e-87e73f2f2123,268183368,G170512,G170512-8P-288,"BF,PH,RLF,SPS",428.0,2.5,37,200.0,2000.0,31,99.62957783214917,28481,1000,"BF,PH,RLF,SPS",False,False,True,True,8.741466986401146,1,1
sub-G170425/sub-G170425_ses-G170425-246_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/ef9/1f8/ef91f84f-bf9c-4a61-97ef-84d7d3f512ee,22998472,G170425,G170425-246,"BF,PH,RLF",445.0,40.0,16,250.0,1000.0,30,82.21482159755799,5364,655,"BF,PH,RLF",False,False,True,True,8.79766152585376,1,1
sub-G160504/sub-G160504_ses-G160504-662_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/acb/e95/acbe95e9-4271-4e02-8da6-496ccbedcb83,20391824,G160504,G160504-662,"BF,PH,RLF",468.0,65.0,17,200.0,1000.0,29,79.96616935368812,6670,580,"BF,PH,RLF",False,False,True,True,8.870364719583405,1,1
sub-G160518/sub-G160518_ses-G160518-1178_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/a01/ba5/a01ba51d-d615-4dac-bb49-9b3b5fc2b871,78197592,G160518,G160518-1178,"BF,NOISE,PH,RLF",508.0,35.0,27,200.0,1500.0,28,79.96616935368812,11282,650,"BF,NOISE,PH,RLF",True,False,True,True,8.988684686772165,2,2
sub-G160901/sub-G160901_ses-G160901-3P-785_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/2af/1cc/2af1cc0a-88d6-4416-85a6-dafc6a416ee7,98509608,G160901,G160901-3P-785,"BF,CF,NOISE,PH,RLF",517.0,20.0,37,200.0,2500.0,36,79.96616935368812,18176,1229,"BF,CF,NOISE,PH,RLF",True,False,True,True,9.014020470314934,2,2
sub-G220908/sub-G220908_ses-G220908-1p-667_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/aae/9f2/aae9f250-80fe-4703-b6c8-f2278e9aeaf6,30122760,G220908,G220908-1p-667,"BF,CLICK,PH,RLF,SR",568.0,70.0,15,200.0,1250.0,28,79.0,8333,800,"BF,CLICK,PH,RLF,SR",False,True,True,True,9.149747119504681,2,2
sub-G170512/sub-G170512_ses-G170512-6P-192_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/ddb/b7f/ddbb7fe8-cb5f-433c-964b-b62fb0046819,460268432,G170512,G170512-6P-192,"BF,CF,NOISE,PH,SPS",622.0,100.0,22,200.0,1500.0,24,100.18918765481608,146935,1555,"BF,CF,NOISE,PH,SPS",True,False,True,False,9.280770770130603,2,2
sub-G200616/sub-G200616_ses-G200616-2p-505_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/d76/02d/d7602da4-83a6-4620-af07-6812de34cdec,69202832,G200616,G200616-2p-505,"BF,CLICK,CVC,RLF",657.0,5.0,21,600.0,1100.0,18,81.0,17442,720,"BF,CLICK,CVC,RLF",False,True,False,True,9.35974956032233,2,1
sub-G190806/sub-G190806_ses-G190806-1p-317_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/dfc/d9e/dfcd9ea2-df37-4080-94ab-d88a66c0705e,150855248,G190806,G190806-1p-317,"BF,CF,CLICK,NOISE,PH,RLF",732.0,22.5,18,250.0,1950.0,24,81.0,41872,1340,"BF,CF,CLICK,NOISE,PH,RLF",True,True,True,True,9.515699838284043,3,3
sub-G190806/sub-G190806_ses-G190806-2p-75_icephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/380/c46/380c464a-bdaa-4bd0-9abd-32254c38c907,94867464,G190806,G190806-2p-75,"BF,CF,CLICK,NOISE,PH,RLF",744.0,40.0,16,250.0,1750.0,26,81.0,19212,1326,"BF,CF,CLICK,NOISE,PH,RLF",True,True,True,True,9.539158811108031,3,3
