cf,peak_net_rate,latency_s,bandwidth_oct,sr,tuning,ci,session,level,n_freqs,n_reps,age,bf_reported,sr_reported,age_days
500.0,201.99807987711262,0.006249999999999991,1.4594316186372973,30.001920122887864,"[125.99807988 153.99807988 193.99807988 201.99807988 189.99807988
 189.99807988 201.99807988 161.99807988  73.99807988  81.99807988
  49.99807988  57.99807988  45.99807988  29.99807988   9.99807988
   5.99807988  -2.00192012  -6.00192012 -10.00192012 -18.00192012
 -14.00192012   1.99807988 -14.00192012 -14.00192012 -14.00192012
 -14.00192012  -2.00192012 -22.00192012  -2.00192012 -10.00192012
 -14.00192012 -22.00192012   1.99807988  -6.00192012 -14.00192012
   9.99807988 -22.00192012]",6,G160901-2P-826,64.98548498589278,37,5,P728D,350.0,30.0,728.0
450.0,157.49983998975947,0.00674999999999999,1.584962500721156,2.5001600102406556,"[ 69.49983999 117.49983999 141.49983999 133.49983999 129.49983999
 157.49983999 121.49983999 105.49983999 121.49983999 105.49983999
 101.49983999  85.49983999  49.49983999  37.49983999  33.49983999
  21.49983999  25.49983999   5.49983999   9.49983999  -2.50016001
   5.49983999  -2.50016001   9.49983999   5.49983999   1.49983999
  17.49983999   1.49983999  -2.50016001   1.49983999   1.49983999
   1.49983999  -2.50016001   5.49983999  -2.50016001  17.49983999
   5.49983999  13.49983999]",5,G170512-8P-288,49.383349510175734,37,5,P264D,428.0,2.5,264.0
450.0,59.9974398361494,0.0032499999999999933,0.8930847960834881,40.00256016385049,"[11.99743984 23.99743984 43.99743984 51.99743984 59.99743984 51.99743984
 31.99743984 31.99743984 35.99743984 27.99743984 39.99743984 19.99743984
 43.99743984 31.99743984 23.99743984 39.99743984]",4,G170425-246,42.062873113332216,16,5,P253D,445.0,40.0,253.0
450.0,194.9958397337431,0.006249999999999991,0.6520766965796931,65.00416026625705,"[ -5.00416027  42.99583973  66.99583973 122.99583973 170.99583973
 194.99583973 174.99583973 126.99583973  54.99583973  46.99583973
  22.99583973  50.99583973  34.99583973  58.99583973  46.99583973
  10.99583973   6.99583973]",5,G160504-662,34.97038923943023,17,5,P213D,468.0,65.0,213.0
550.0,172.9977598566307,0.005249999999999992,1.6629650127224291,35.00224014336917,"[ 48.99775986  68.99775986 108.99775986 120.99775986 128.99775986
 164.99775986 160.99775986 172.99775986 112.99775986 108.99775986
 148.99775986 120.99775986 112.99775986 116.99775986 116.99775986
 100.99775986  76.99775986  80.99775986  88.99775986  56.99775986
  72.99775986  44.99775986  48.99775986  16.99775986  24.99775986
   4.99775986   4.99775986]",7,G160518-1178,64.96508233154864,27,5,P805D,508.0,35.0,805.0
500.0,115.99871991807458,0.005749999999999991,0.8930847960834881,20.001280081925245,"[ 1.59987199e+01  2.79987199e+01  5.59987199e+01  5.99987199e+01
  5.99987199e+01  1.07998720e+02  1.15998720e+02  1.11998720e+02
  7.99987199e+01  6.39987199e+01  5.59987199e+01  5.59987199e+01
  5.59987199e+01  2.39987199e+01  4.39987199e+01  4.39987199e+01
  7.99871992e+00 -1.28008193e-03  1.19987199e+01 -4.00128008e+00
  3.99871992e+00  3.99871992e+00  3.99871992e+00  1.59987199e+01
  3.99871992e+00  2.39987199e+01 -1.28008193e-03]",6,G160901-3P-785,59.96387008788766,27,5,P728D,517.0,20.0,728.0
575.0,153.9955197132619,0.006249999999999991,1.0418201756946268,70.00448028673834,"[ 13.99551971   9.99551971  41.99551971 109.99551971 129.99551971
 153.99551971 121.99551971 133.99551971 137.99551971  85.99551971
  73.99551971  57.99551971  33.99551971  17.99551971   1.99551971]",5,G220908-1p-667,35.0,15,5,P112D,568.0,70.0,112.0
650.0,147.9935995903741,0.004749999999999992,1.584962500721156,100.00640040962621,"[ 39.99359959  67.99359959 107.99359959  95.99359959 115.99359959
 139.99359959 119.99359959 131.99359959 131.99359959 147.99359959
 131.99359959 103.99359959 131.99359959  99.99359959  87.99359959
  51.99359959  83.99359959]",9,G170512-6P-192,50.86570101292793,17,5,P264D,622.0,100.0,264.0
725.0,122.99967997951894,0.005749999999999991,0.5443205162238102,5.000320020481311,"[118.99967998  94.99967998 114.99967998 110.99967998 114.99967998
 122.99967998  82.99967998  90.99967998 102.99967998  70.99967998
  74.99967998  74.99967998  58.99967998  34.99967998  54.99967998
  14.99967998  38.99967998  30.99967998  26.99967998  10.99967998
   2.99967998]",5,G200616-2p-505,60.0,21,5,P135D,657.0,5.0,135.0
550.0,161.49855990783396,0.005749999999999991,1.2801079191927351,22.501440092165897,"[ 41.49855991  93.49855991 133.49855991 161.49855991 149.49855991
 149.49855991 129.49855991  73.49855991  53.49855991  25.49855991
   5.49855991  21.49855991   5.49855991   5.49855991  17.49855991
   5.49855991   1.49855991 -10.50144009]",3,G190806-1p-317,50.0,18,5,P1132D,732.0,22.5,1132.0
650.0,159.99743983614982,0.006249999999999991,1.4405725913859815,40.00256016385049,"[ 39.99743984  91.99743984 131.99743984 123.99743984 159.99743984
 123.99743984 143.99743984 103.99743984  51.99743984  59.99743984
  15.99743984  -4.00256016  11.99743984  -4.00256016   7.99743984
 -12.00256016]",4,G190806-2p-75,45.0,16,5,P1132D,744.0,40.0,1132.0
800.0,162.99583973374317,0.005249999999999992,0.6918777046376682,65.00416026625705,"[  6.99583973  22.99583973  50.99583973  86.99583973 106.99583973
 158.99583973 162.99583973 138.99583973 158.99583973 130.99583973
 138.99583973 118.99583973  74.99583973  70.99583973  26.99583973]",6,G200616-2p-456,35.0,15,5,P135D,800.0,65.0,135.0
800.0,116.997759856631,0.005749999999999991,0.5849625007211562,35.00224014336917,"[  4.99775986  24.99775986  68.99775986  88.99775986 116.99775986
  96.99775986  52.99775986  84.99775986  76.99775986  52.99775986
  96.99775986  68.99775986  60.99775986  56.99775986  56.99775986
  24.99775986   4.99775986]",4,G200225-2p-498,52.0,17,5,P1260D,812.0,35.0,1260.0
1000.0,107.99743983614962,0.00724999999999999,1.7004397181410922,40.00256016385049,"[ 6.39974398e+01  6.39974398e+01  6.39974398e+01  8.39974398e+01
  9.59974398e+01  9.99974398e+01  1.07997440e+02  8.39974398e+01
  8.39974398e+01  5.99974398e+01  4.79974398e+01  3.59974398e+01
  5.19974398e+01  2.39974398e+01  1.59974398e+01 -8.00256016e+00
 -2.56016385e-03]",6,G200225-3p-427,50.0,17,5,P1260D,830.0,40.0,1260.0
900.0,137.49983998975947,0.004749999999999992,1.4150374992788437,2.5001600102406556,"[ 53.49983999  97.49983999 109.49983999 121.49983999 137.49983999
 137.49983999 133.49983999 121.49983999  93.49983999  89.49983999
  89.49983999  69.49983999  57.49983999  61.49983999  33.49983999
  21.49983999]",4,G190108-437,47.8924447998576,16,5,P1009D,967.0,2.5,1009.0
