path,asset_id,size,subject,is_optical
sub-G150730/sub-G150730_ses-G150730-2P-780nm_icephys.nwb,0874747b-cdfb-4ef6-b111-7770f9de7d10,5409288,sub-G150730,True
sub-G150730/sub-G150730_ses-G150730-1P-675nm_icephys.nwb,a2d416d1-2ad6-42af-9e30-e4342910cf15,9914536,sub-G150730,True
sub-G150730/sub-G150730_ses-G150730-6P-1035nm_icephys.nwb,5dc08ac5-bffd-4199-9366-d922bb947aa5,9094152,sub-G150730,True
sub-G150730/sub-G150730_ses-G150730-6P-1365nm_icephys.nwb,cfd56bcb-32bd-495d-9cbc-55d607af1de1,9913712,sub-G150730,True
sub-G150730/sub-G150730_ses-G150730-1P-465nm_icephys.nwb,e3503a72-e0f1-42b8-af68-abc3f8567268,36566120,sub-G150730,True
sub-G150730/sub-G150730_ses-G150730-6P-1545nm_icephys.nwb,36976929-0de9-456f-99e7-5ecc4b02a0cc,9090688,sub-G150730,True
sub-G150730/sub-G150730_ses-G150730-2P-975nm_icephys.nwb,3013c511-21ce-453c-b35e-6bf3cd6a45ef,77338640,sub-G150730,True
sub-G150730/sub-G150730_ses-G150730-6P-975nm_icephys.nwb,9d7b8c83-76b7-4d3c-a313-f0e721eb7cd0,9089632,sub-G150730,True
sub-G150717/sub-G150717_ses-G150717-1P-588nm_icephys.nwb,9bc5349e-1062-46bd-9ee9-9f646cb51ac6,99109200,sub-G150717,True
sub-G150730/sub-G150730_ses-G150730-6P-1420nm_icephys.nwb,12d2113c-e354-4f2a-83ac-ec95c6aa852f,49244184,sub-G150730,True
sub-G150730/sub-G150730_ses-G150730-6P-930nm_icephys.nwb,dd5e8240-555f-40a2-b4fc-a1bcb4e0a493,28123808,sub-G150730,True
sub-G150730/sub-G150730_ses-G150730-7P-930nm_icephys.nwb,241c5e55-31c2-45ad-b656-ed26b655e61d,34482640,sub-G150730,True
sub-G150805/sub-G150805_ses-G150805-unit1_icephys.nwb,e4c25580-b7f7-4858-a25c-8de5c8e43e5d,41875512,sub-G150805,False
sub-G150805/sub-G150805_ses-G150805-unit3_icephys.nwb,abe68e69-7f62-4958-86a7-922b54dbff5b,7462048,sub-G150805,False
sub-G150805/sub-G150805_ses-G150805-unit5_icephys.nwb,722b5fb8-eeb8-4dc8-990c-b4be0d1c201d,11549416,sub-G150805,False
sub-G150921/sub-G150921_ses-G150921-1P-371nm_icephys.nwb,ecfebeec-d1df-461e-ac09-2ceef5241b00,13181888,sub-G150921,True
sub-G150730/sub-G150730_ses-G150730-6P-1425nm_icephys.nwb,43c67811-6cab-4dbc-bc7d-126b49fb1b0e,124464224,sub-G150730,True
sub-G150921/sub-G150921_ses-G150921-1P-861nm_icephys.nwb,8067be05-a8d1-410a-aa2d-d9a2a1950446,9082472,sub-G150921,True
sub-G150921/sub-G150921_ses-G150921-1P-839nm_icephys.nwb,4632ed94-89ec-4cc2-b0eb-a6aa7814f502,13187656,sub-G150921,True
sub-G150921/sub-G150921_ses-G150921-1P-230nm_icephys.nwb,88b9ca1a-bf10-4735-aa63-13d6a27f4c3c,86804464,sub-G150921,True
sub-G150805/sub-G150805_ses-G150805-unit2_icephys.nwb,cd28d107-1918-46bc-9d1f-ac79d942fe58,132439536,sub-G150805,False
sub-G150922/sub-G150922_ses-G150922-1P-421nm_icephys.nwb,56b14c12-a3a6-45e1-b9e8-491b3494dd0f,90088200,sub-G150922,True
sub-G150730/sub-G150730_ses-G150730-7P-960nm_icephys.nwb,94f29ea8-70b5-4136-9564-b2f8a966b355,232479544,sub-G150730,True
sub-G150922/sub-G150922_ses-G150922-1P-463nm_icephys.nwb,89abeae7-97b4-431f-9031-b35c1d4214c8,67124096,sub-G150922,True
sub-G150921/sub-G150921_ses-G150921-2P-545nm_icephys.nwb,7dab5756-7213-42f9-950b-b02ab7c7afad,121965376,sub-G150921,True
sub-G150922/sub-G150922_ses-G150922-1P-510nm_icephys.nwb,869ae6e1-1171-4c46-99f0-98dd31d53325,7460192,sub-G150922,True
sub-G150922/sub-G150922_ses-G150922-1P-480nm_icephys.nwb,1c80e60c-ca1d-49c0-81f6-ba0aaef05dd4,51570736,sub-G150922,True
