subject,session,unit,histology,n_spikes,mean_rate_Hz,peak_rate_Hz,spatial_info_bits,gridness,spacing_cm,orientation_deg,is_grid_cell
sub-11265,sub-11265_ses-06020601,t3c3,MEC LIII,1280,2.133,14.43,1.075,1.360,71.1,42.1,1
sub-11265,sub-11265_ses-06020601,t7c3,MEC LIII,1053,1.755,19.33,1.508,1.292,51.5,50.9,1
sub-11265,sub-11265_ses-06020601,t2c2,MEC LIII,998,1.663,17.64,1.026,1.184,49.3,59.5,1
sub-11207,sub-11207_ses-11060501,t6c3,MEC LV,590,0.983,13.33,1.023,1.165,59.6,57.0,1
sub-11265,sub-11265_ses-06020601,t1c1,MEC LIII,546,0.910,8.47,0.906,1.165,42.8,109.4,1
sub-11207,sub-11207_ses-27060501,t3c2,MEC LVI,2837,4.728,37.49,0.987,1.159,74.6,50.4,1
sub-11207,sub-11207_ses-21060503,t8c1,MEC LV,1756,2.927,33.90,1.384,1.142,61.5,63.4,1
sub-11265,sub-11265_ses-06020601,t5c1,MEC LIII,879,1.465,14.71,1.449,1.121,70.4,48.0,1
sub-11265,sub-11265_ses-06020601,t7c1,MEC LIII,517,0.862,8.73,1.714,1.109,71.1,52.0,1
sub-11265,sub-11265_ses-06020601,t4c5,MEC LIII,673,1.122,10.27,0.785,1.104,48.0,51.3,1
sub-11265,sub-11265_ses-16030601,t1c3,MEC LII,2577,2.148,37.58,1.168,1.040,67.5,27.6,1
sub-11265,sub-11265_ses-16030604,t3c1,MEC LII,1547,1.289,18.33,1.361,1.038,65.0,25.6,1
sub-11265,sub-11265_ses-06020601,t3c1,MEC LIII,447,0.745,6.24,1.029,0.994,42.6,108.4,1
sub-11207,sub-11207_ses-21060503,t3c4,MEC LVI,1501,2.502,28.09,1.101,0.951,61.0,72.3,1
sub-11265,sub-11265_ses-16030601,t3c2,MEC LII,3405,2.838,28.11,1.009,0.753,67.3,31.3,1
sub-11207,sub-11207_ses-21060503,t4c2,MEC LVI,686,1.143,10.97,0.911,0.639,45.6,5.2,1
sub-11265,sub-11265_ses-16030601,t1c4,MEC LII,5264,4.387,28.61,0.470,0.634,72.7,32.0,1
sub-11265,sub-11265_ses-16030604,t1c5,MEC LII,4393,3.661,24.82,0.321,0.601,52.6,24.0,1
sub-11207,sub-11207_ses-21060503,t3c2,MEC LVI,1426,2.377,18.95,0.775,0.588,27.0,12.5,1
sub-11265,sub-11265_ses-09020601,t5c5,MEC LIII,634,1.057,9.59,0.435,0.583,44.3,0.0,1
sub-11207,sub-11207_ses-11060501,t1c11,MEC LVI,3955,6.592,21.83,0.299,0.557,77.2,5.5,1
sub-11265,sub-11265_ses-09020601,t5c1,MEC LIII,1211,2.018,35.99,0.952,0.492,40.4,6.3,1
sub-11265,sub-11265_ses-16030604,t1c1,MEC LII,2043,1.703,21.33,1.125,0.436,68.6,21.0,0
sub-11265,sub-11265_ses-16030604,t3c2,MEC LII,1607,1.339,24.51,1.968,0.431,75.0,26.6,0
sub-11265,sub-11265_ses-16030604,t4c2,MEC LII,1433,1.194,13.26,0.882,0.405,50.1,86.8,0
sub-11207,sub-11207_ses-27060501,t3c1,MEC LVI,361,0.602,7.14,0.603,0.361,30.5,14.0,0
sub-11265,sub-11265_ses-09020601,t4c3,MEC LIII,1754,2.923,22.39,0.404,0.357,35.0,14.0,0
sub-11207,sub-11207_ses-18060501,t5c2,MEC LVI,1818,1.515,25.61,1.025,0.355,64.5,15.9,0
sub-11265,sub-11265_ses-16030601,t4c2,MEC LII,1592,1.327,18.84,1.376,0.335,61.7,71.6,0
sub-11265,sub-11265_ses-09020601,t4c2,MEC LIII,629,1.048,10.28,0.356,0.332,33.4,21.0,0
sub-11265,sub-11265_ses-16030601,t2c3,MEC LII,1946,1.622,19.99,1.007,0.298,62.5,35.0,0
sub-11207,sub-11207_ses-18060501,t5c7,MEC LVI,1051,0.876,7.65,0.527,0.297,30.1,48.4,0
sub-11207,sub-11207_ses-27060501,t1c5,MEC LVI,241,0.402,3.58,1.227,0.267,37.6,11.3,0
sub-11265,sub-11265_ses-16030601,t2c1,MEC LII,783,0.653,5.23,1.158,0.251,72.5,45.0,0
sub-11265,sub-11265_ses-06020601,t4c1,MEC LIII,515,0.858,17.83,1.515,0.222,53.0,37.9,0
sub-11265,sub-11265_ses-09020601,t8c1,MEC LIII,756,1.260,22.85,0.753,0.216,18.2,8.1,0
sub-11207,sub-11207_ses-18060501,t7c5,MEC LVI,2108,1.757,11.29,0.411,0.213,35.0,0.0,0
sub-11265,sub-11265_ses-16030604,t4c4,MEC LII,5309,4.424,24.41,1.076,0.210,65.2,23.2,0
sub-11207,sub-11207_ses-11060501,t8c1,MEC LV,773,1.288,8.57,0.278,0.206,25.7,0.0,0
sub-11265,sub-11265_ses-09020601,t4c1,MEC LIII,1569,2.615,13.80,0.289,0.187,25.0,29.7,0
sub-11207,sub-11207_ses-18060501,t7c3,MEC LVI,1503,1.253,6.08,0.316,0.186,25.0,0.0,0
sub-11265,sub-11265_ses-06020601,t3c5,MEC LIII,914,1.523,7.16,0.202,0.163,32.6,69.0,0
sub-11207,sub-11207_ses-11060501,t1c4,MEC LVI,1653,2.755,25.67,0.598,0.153,46.5,71.6,0
sub-11207,sub-11207_ses-18060501,t3c1,MEC LV,2058,1.715,18.13,0.847,0.152,28.0,45.0,0
