path,n_units,n_good,n_spikes,size_gb,VISp,VISl,VISal,VISrl,VISam,VISpm,LGd,LP,has_dg,has_sg,VIS_total
sub-699733573/sub-699733573_ses-715093703.nwb,2779,2110,131242535,2.86,135,126,0,183,74,119,173,272,True,True,637
sub-703279277/sub-703279277_ses-719161530.nwb,3232,1852,137555771,3.07,112,83,30,36,85,50,119,59,True,True,396
sub-707296975/sub-707296975_ses-721123822.nwb,1603,1191,79797082,1.74,110,95,139,89,92,0,1,180,True,True,525
sub-716813540/sub-716813540_ses-739448407.nwb,2370,1704,93968500,2.16,50,108,0,161,115,0,0,0,True,True,434
sub-717038285/sub-717038285_ses-732592105.nwb,3076,2816,130091046,2.91,244,206,185,163,0,154,0,0,True,True,952
sub-718643564/sub-718643564_ses-737581020.nwb,2055,1463,100521464,2.18,119,59,0,145,0,46,0,0,True,True,369
sub-719817799/sub-719817799_ses-744228101.nwb,2695,1784,113521063,2.65,97,120,90,70,0,0,10,167,True,True,377
sub-719828686/sub-719828686_ses-754312389.nwb,1891,1193,77014768,1.86,202,26,73,83,115,63,77,0,True,True,562
sub-722882751/sub-722882751_ses-743475441.nwb,2133,1459,89714774,2.12,113,64,0,193,127,0,92,263,True,True,497
sub-723627600/sub-723627600_ses-742951821.nwb,3008,2175,125563341,2.92,122,107,92,122,0,66,0,0,True,True,509
sub-726141242/sub-726141242_ses-750332458.nwb,3047,2127,145047300,3.24,150,103,147,124,114,62,17,0,True,True,700
sub-726162193/sub-726162193_ses-750749662.nwb,2489,1891,127404535,2.82,143,79,109,125,150,135,164,258,True,True,741
sub-726170927/sub-726170927_ses-746083955.nwb,2098,1553,117652145,2.56,50,87,76,96,0,250,69,0,True,True,559
sub-726298249/sub-726298249_ses-754829445.nwb,2299,1799,122905601,2.7,195,0,0,88,97,53,178,293,True,True,433
sub-730756767/sub-730756767_ses-757970808.nwb,2422,1877,100946911,2.38,193,0,148,131,142,0,90,118,True,True,614
sub-730760263/sub-730760263_ses-755434585.nwb,2127,1546,96756512,2.24,184,110,89,108,172,131,93,43,True,True,794
sub-732548371/sub-732548371_ses-751348571.nwb,2645,2004,141005348,3.07,119,56,0,231,135,87,104,268,True,True,628
sub-733457986/sub-733457986_ses-757216464.nwb,2812,2120,136283470,3.04,205,126,106,70,122,0,14,230,True,True,629
sub-734865729/sub-734865729_ses-756029989.nwb,2169,1663,117559768,2.58,140,98,104,59,133,158,107,85,True,True,692
sub-735109599/sub-735109599_ses-758798717.nwb,1702,1348,101218347,2.2,147,0,164,0,99,56,0,72,True,True,466
sub-738651046/sub-738651046_ses-760693773.nwb,2285,1790,133578493,2.86,181,0,239,119,128,104,0,0,True,True,771
sub-739783158/sub-739783158_ses-760345702.nwb,1784,1339,85078580,1.96,155,112,136,0,109,93,78,46,True,True,605
sub-740268983/sub-740268983_ses-759883607.nwb,1763,1349,79221043,1.86,182,0,144,0,151,146,64,0,True,True,623
sub-742602884/sub-742602884_ses-763673393.nwb,2455,1753,110036766,2.54,145,89,0,137,174,0,128,7,True,True,545
sub-742714472/sub-742714472_ses-761418226.nwb,2371,1726,119902838,2.67,80,0,338,240,0,114,81,102,True,True,772
sub-744915196/sub-744915196_ses-762602078.nwb,2159,1314,82463868,2.02,164,0,0,133,119,0,0,49,True,True,416
sub-745276220/sub-745276220_ses-762120172.nwb,2361,1648,131991181,2.87,189,141,183,0,61,0,0,0,True,True,574
sub-757329617/sub-757329617_ses-773418906.nwb,1880,1394,81467916,1.93,135,0,347,94,38,0,0,0,True,True,614
sub-769360771/sub-769360771_ses-791319847.nwb,2020,1445,103005104,2.32,190,124,97,124,116,83,19,40,True,True,734
sub-772616820/sub-772616820_ses-799864342.nwb,2249,1555,125509706,2.74,155,88,119,74,77,0,121,116,True,True,513
sub-775876808/sub-775876808_ses-798911424.nwb,2525,1878,129199459,2.86,200,145,175,102,264,0,0,123,True,True,886
sub-776061236/sub-776061236_ses-797828357.nwb,2154,1610,115085820,2.55,190,135,121,29,144,142,0,142,True,True,761
