session_id,s3_url,has_dg,has_sg,n_good,n_vis,n_lgd,areas
715093703,https://dandiarchive.s3.amazonaws.com/blobs/f5f/175/f5f1752f-5227-47d5-8f75-cd71937878aa,True,True,918,262,82,"VISam,VISl,VISp,VISpm,VISrl"
719161530,https://dandiarchive.s3.amazonaws.com/blobs/ef6/6a8/ef66a8f3-9121-42b5-bdf7-3f892b8cb27c,True,True,787,175,71,"VISal,VISam,VISl,VISp,VISpm,VISrl"
721123822,https://dandiarchive.s3.amazonaws.com/blobs/9f2/c60/9f2c6063-0bcf-4c5e-9039-c6d7144bcbe1,True,True,447,191,0,"VISal,VISam,VISl,VISp,VISrl"
732592105,https://dandiarchive.s3.amazonaws.com/blobs/de8/180/de8180b3-bc47-488a-9c9b-7a20c7b4b4fa,True,True,788,352,0,"VISal,VISl,VISp,VISpm,VISrl"
737581020,https://dandiarchive.s3.amazonaws.com/blobs/069/6f9/0696f9e4-d864-4b5d-8c47-850c3ba6a5e8,True,True,560,143,0,"VISl,VISp,VISpm,VISrl"
739448407,https://dandiarchive.s3.amazonaws.com/blobs/85a/287/85a2878a-7c55-49e4-88a9-6f2862fe5d9d,True,True,599,167,0,"VISam,VISl,VISp,VISrl"
742951821,https://dandiarchive.s3.amazonaws.com/blobs/894/985/894985b6-0132-405a-8538-d5e57c2cf195,True,True,904,227,0,"VISal,VISl,VISp,VISpm,VISrl"
743475441,https://dandiarchive.s3.amazonaws.com/blobs/c5c/a1d/c5ca1d69-9be8-4429-bd45-8ca796b4db43,True,True,565,194,42,"VISam,VISl,VISp,VISrl"
744228101,https://dandiarchive.s3.amazonaws.com/blobs/113/f85/113f8540-969a-42e4-891a-9367677f35e2,True,True,656,127,1,"VISal,VISl,VISp,VISrl"
746083955,https://dandiarchive.s3.amazonaws.com/blobs/e34/a45/e34a451b-bf4f-4021-90f5-f1c9e85d70ca,True,True,566,206,34,"VISal,VISl,VISp,VISpm,VISrl"
750332458,https://dandiarchive.s3.amazonaws.com/blobs/74f/17d/74f17d9c-84c5-4323-9ab8-d5254d934804,True,True,897,288,3,"VISal,VISam,VISl,VISp,VISpm,VISrl"
750749662,https://dandiarchive.s3.amazonaws.com/blobs/fee/844/fee844a8-5127-4b86-b736-0e41db94cbbc,True,True,749,291,82,"VISal,VISam,VISl,VISp,VISpm,VISrl"
751348571,https://dandiarchive.s3.amazonaws.com/blobs/8f2/d76/8f2d768e-5e86-43c0-b3e4-cfd8a8e51d06,True,True,849,268,55,"VISam,VISl,VISp,VISpm,VISrl"
754312389,https://dandiarchive.s3.amazonaws.com/blobs/e1d/f42/e1df421c-27b9-496a-a477-5c5654a46f8d,True,True,485,270,27,"VISal,VISam,VISl,VISp,VISpm,VISrl"
754829445,https://dandiarchive.s3.amazonaws.com/blobs/109/7e6/1097e605-6707-4eb3-b85a-7bf44258c0dc,True,True,839,186,95,"VISam,VISp,VISpm,VISrl"
755434585,https://dandiarchive.s3.amazonaws.com/blobs/136/948/13694863-a01d-4714-8258-00074bdf1745,True,True,631,346,43,"VISal,VISam,VISl,VISp,VISpm,VISrl"
756029989,https://dandiarchive.s3.amazonaws.com/blobs/91a/6b0/91a6b07b-2c9e-4644-be91-8dac8b54cc56,True,True,707,325,59,"VISal,VISam,VISl,VISp,VISpm,VISrl"
757216464,https://dandiarchive.s3.amazonaws.com/blobs/856/e83/856e8364-4b3d-4fca-a74a-c2101ec5d6cc,True,True,972,293,6,"VISal,VISam,VISl,VISp,VISrl"
757970808,https://dandiarchive.s3.amazonaws.com/blobs/7c1/c74/7c1c7425-f61d-46f7-83a5-a6a0bc9a1b53,True,True,798,272,46,"VISal,VISam,VISp,VISrl"
758798717,https://dandiarchive.s3.amazonaws.com/blobs/a48/f26/a48f2607-0cce-4ae2-a186-55c01b8f54b3,True,True,594,198,0,"VISal,VISam,VISp,VISpm"
759883607,https://dandiarchive.s3.amazonaws.com/blobs/864/b20/864b200a-6521-45ac-b8a0-f646869e8eb3,True,True,508,221,24,"VISal,VISam,VISp,VISpm"
760345702,https://dandiarchive.s3.amazonaws.com/blobs/3b6/d0b/3b6d0be0-361d-43bb-9564-b4d26aaf16d1,True,True,515,282,37,"VISal,VISam,VISl,VISp,VISpm"
760693773,https://dandiarchive.s3.amazonaws.com/blobs/4dd/fc6/4ddfc61e-7c06-47d0-9057-f53d70943cd3,True,True,841,411,0,"VISal,VISam,VISp,VISpm,VISrl"
761418226,https://dandiarchive.s3.amazonaws.com/blobs/fa1/365/fa136514-c28e-42c4-8a25-76ba22985dda,True,True,719,377,41,"VISal,VISp,VISpm,VISrl"
762120172,https://dandiarchive.s3.amazonaws.com/blobs/d98/3de/d983deea-590b-45df-8e1c-058b9144a20c,True,True,728,287,0,"VISal,VISam,VISl,VISp"
762602078,https://dandiarchive.s3.amazonaws.com/blobs/d7d/a63/d7da6377-b7b1-4f3e-8894-1e8b8cb1924c,True,True,547,196,0,"VISam,VISp,VISrl"
763673393,https://dandiarchive.s3.amazonaws.com/blobs/845/36c/84536cd0-2cad-4683-9403-0db40176d03c,True,True,642,230,78,"VISam,VISl,VISp,VISrl"
773418906,https://dandiarchive.s3.amazonaws.com/blobs/f33/b7e/f33b7e90-8665-40a9-8619-31f0e70554f2,True,True,564,273,0,"VISal,VISam,VISp,VISrl"
791319847,https://dandiarchive.s3.amazonaws.com/blobs/52c/946/52c946d2-3ebb-422c-9430-664b432f261b,True,True,572,326,8,"VISal,VISam,VISl,VISp,VISpm,VISrl"
797828357,https://dandiarchive.s3.amazonaws.com/blobs/284/363/28436318-e2e9-43a8-a768-2c0c26483fe3,True,True,617,303,0,"VISal,VISam,VISl,VISp,VISpm,VISrl"
798911424,https://dandiarchive.s3.amazonaws.com/blobs/82d/ac9/82dac917-7a13-4952-91df-a2991c0ca6da,True,True,831,447,0,"VISal,VISam,VISl,VISp,VISrl"
799864342,https://dandiarchive.s3.amazonaws.com/blobs/881/862/88186297-d239-41c5-9935-b669a769dd23,True,True,602,224,70,"VISal,VISam,VISl,VISp,VISrl"
