event,start,end,n_active,n_bins,wc,p,abs_wc,significant
0,20203.0968,20203.212,22,6,-0.5663451426435892,0.05788423153692615,0.5663451426435892,False
8,20321.6952,20321.8424,40,8,-0.3874284260434442,0.21157684630738524,0.3874284260434442,False
9,20335.3592,20335.4584,29,5,-0.7996851065762286,0.03992015968063872,0.7996851065762286,True
10,20335.52,20335.6848,35,9,-0.5002769092721278,0.07584830339321358,0.5002769092721278,False
12,20361.4856,20361.6248,43,7,0.4006615710004618,0.2754491017964072,0.4006615710004618,False
14,20369.3264,20369.4264,27,6,0.06495185956309094,0.846307385229541,0.06495185956309094,False
17,20382.04,20382.148,30,6,0.807445965582711,0.001996007984031936,0.807445965582711,True
19,20413.9704,20414.0856,24,6,0.7240624306587039,0.01996007984031936,0.7240624306587039,True
34,20434.3392,20434.4464,28,6,-0.8668865323997714,0.005988023952095809,0.8668865323997714,True
39,20435.828,20435.9536,35,7,-0.8327921667685555,0.001996007984031936,0.8327921667685555,True
47,20447.5352,20447.724,42,10,0.3914460621629116,0.07784431137724551,0.3914460621629116,False
48,20447.7832,20447.9008,36,6,-0.11866459077905536,0.7564870259481038,0.11866459077905536,False
49,20449.8016,20449.892,27,5,-0.09076514000772423,0.8063872255489022,0.09076514000772423,False
53,20452.776,20452.8848,31,6,0.290258329016684,0.46706586826347307,0.290258329016684,False
77,20614.2296,20614.3464,24,6,0.28839132265697986,0.3532934131736527,0.28839132265697986,False
87,20633.7344,20633.8392,34,6,0.7987696164457022,0.00998003992015968,0.7987696164457022,True
95,20645.7496,20645.8608,29,6,0.39342189501121777,0.10379241516966067,0.39342189501121777,False
96,20653.1024,20653.2056,24,6,0.29446973402871185,0.38922155688622756,0.29446973402871185,False
98,20653.3672,20653.5336,39,9,-0.6364396459229745,0.005988023952095809,0.6364396459229745,True
101,20658.8832,20658.996,21,6,-0.09991407468552246,0.7664670658682635,0.09991407468552246,False
103,20660.1152,20660.2232,32,6,0.7024447404134017,0.043912175648702596,0.7024447404134017,True
109,20667.8216,20667.9528,37,7,0.6475248768019994,0.06986027944111776,0.6475248768019994,False
113,20680.548,20680.6552,22,6,0.035584048599082665,0.8522954091816367,0.035584048599082665,False
115,20692.8024,20692.9488,34,8,0.4327235914151242,0.03592814371257485,0.4327235914151242,True
116,20696.1136,20696.1984,18,5,0.2691671237801259,0.44510978043912175,0.2691671237801259,False
121,20708.5064,20708.6336,25,7,0.21520103420296405,0.5289421157684631,0.21520103420296405,False
124,20714.6592,20714.836,31,9,0.14007344452242737,0.6427145708582834,0.14007344452242737,False
127,20719.4672,20719.5664,23,5,-0.19981327438740365,0.6766467065868264,0.19981327438740365,False
131,20731.6272,20731.7416,33,6,0.1913905598589296,0.5788423153692615,0.1913905598589296,False
134,20733.2432,20733.3344,22,5,0.6415111458494664,0.0718562874251497,0.6415111458494664,False
139,20740.0464,20740.1264,18,5,0.179112500047139,0.6007984031936128,0.179112500047139,False
146,20745.748,20745.8832,37,7,0.8912937039880933,0.001996007984031936,0.8912937039880933,True
147,20746.7176,20746.8264,23,6,0.38866025835456086,0.2954091816367265,0.38866025835456086,False
160,20772.5464,20772.7056,43,8,-0.39378168547675285,0.18363273453093812,0.39378168547675285,False
161,20774.9696,20775.1272,35,8,0.2632593972277136,0.36327345309381237,0.2632593972277136,False
163,20777.2936,20777.4296,31,7,0.7387452019650352,0.007984031936127744,0.7387452019650352,True
164,20785.2656,20785.3608,23,5,0.08658992090371734,0.8642714570858283,0.08658992090371734,False
165,20788.2696,20788.3768,32,6,-0.07734897401172579,0.8223552894211577,0.07734897401172579,False
167,20789.9632,20790.0464,25,5,0.6443598166360227,0.00998003992015968,0.6443598166360227,True
171,20795.7528,20795.888,28,7,-0.5854364410140064,0.08383233532934131,0.5854364410140064,False
173,20798.6648,20798.808,32,8,0.16872130661111795,0.5349301397205589,0.16872130661111795,False
180,20816.4624,20816.592,27,7,-0.22350183563783818,0.48502994011976047,0.22350183563783818,False
186,20825.156,20825.2432,17,5,-0.41075016698692174,0.19560878243512975,0.41075016698692174,False
191,20834.1592,20834.268,33,6,-0.3123463779499995,0.42115768463073855,0.3123463779499995,False
196,20846.148,20846.3528,42,11,-0.056795543341966154,0.7744510978043913,0.056795543341966154,False
218,20892.204,20892.3144,28,6,-0.6572051444339039,0.07584830339321358,0.6572051444339039,False
226,20912.4784,20912.6368,34,8,-0.9783728915810821,0.001996007984031936,0.9783728915810821,True
231,20937.3136,20937.3992,25,5,-0.010214300122940716,0.9860279441117764,0.010214300122940716,False
235,20942.0544,20942.2024,36,8,-0.34986148399928524,0.24750499001996007,0.34986148399928524,False
245,20958.0632,20958.1712,16,6,0.17655892304114063,0.5768463073852296,0.17655892304114063,False
249,20967.988,20968.0752,34,5,0.7481302642599855,0.10379241516966067,0.7481302642599855,False
252,20971.888,20971.9744,28,5,-0.05266835249081281,0.9001996007984032,0.05266835249081281,False
254,20978.1096,20978.2264,33,6,0.38623469945269373,0.31736526946107785,0.38623469945269373,False
259,20985.5192,20985.6352,25,6,-0.1521473918971681,0.718562874251497,0.1521473918971681,False
269,21002.6376,21002.7304,26,5,-0.02089554132240436,0.9580838323353293,0.02089554132240436,False
271,21003.564,21003.6528,25,5,-0.7413862327720021,0.017964071856287425,0.7413862327720021,True
278,21010.9152,21011.0592,33,8,-0.2994751471576574,0.3073852295409182,0.2994751471576574,False
285,21014.8528,21014.9344,11,5,-0.17294106268608264,0.5808383233532934,0.17294106268608264,False
301,21034.2528,21034.3424,27,5,0.8244700351884896,0.015968063872255488,0.8244700351884896,True
306,21042.4088,21042.5232,30,6,-0.5554626929876827,0.0718562874251497,0.5554626929876827,False
310,21047.8736,21047.9696,29,5,0.6453296460265878,0.18363273453093812,0.6453296460265878,False
325,21075.0232,21075.124,28,6,-0.4871110285752649,0.10578842315369262,0.4871110285752649,False
329,21078.9648,21079.0592,18,5,0.5482189346010549,0.16966067864271456,0.5482189346010549,False
330,21079.324,21079.4168,29,5,-0.38569750328662733,0.41916167664670656,0.38569750328662733,False
333,21090.908,21091.08,34,9,0.18425967460553958,0.500998003992016,0.18425967460553958,False
339,21101.792,21101.8928,19,6,0.0485004520789094,0.8203592814371258,0.0485004520789094,False
353,21138.8464,21139.0088,36,9,-0.3054134033905863,0.19560878243512975,0.3054134033905863,False
363,21163.9168,21164.0968,38,10,0.05493330626439996,0.812375249500998,0.05493330626439996,False
377,21184.4952,21184.5864,21,5,0.551603902666516,0.11377245508982035,0.551603902666516,False
379,21188.3984,21188.5152,32,6,0.9130952990719137,0.001996007984031936,0.9130952990719137,True
382,21198.0472,21198.14,26,5,-0.6421781767820515,0.07784431137724551,0.6421781767820515,False
