session,maze,unit,direction,location,peak_rate,spatial_info,field_start,field_stop,field_peak,field_width,n_spikes_field,pref_phase,mrl,mrl_jitter,p_rayleigh,slope,phi0,rho,p_circlin,p_shuffle
Achilles-10252013,1.6mLinearMazeLinearizedPosition,9,1,lCA1,9.413596724241707,0.9643263118889621,138.0,158.0,158.0,20.0,69,249.36156312258248,0.7737066145993665,0.12167645089455847,1.927060770048856e-22,-0.18999999999999995,-1.20955821097101,-0.45585755823193075,0.0004900573079809067,0.000999000999000999
Achilles-10252013,1.6mLinearMazeLinearizedPosition,11,1,lCA1,7.352831865649579,0.6150593427835991,2.0,42.0,22.0,40.0,184,213.2078964694193,0.41552248436067196,0.05777268198989603,3.913298087123357e-15,-0.41999999999999993,-1.4158978121921875,-0.28499975417593404,0.00014059331536997455,0.000999000999000999
Achilles-10252013,1.6mLinearMazeLinearizedPosition,12,1,lCA1,17.745102264550404,0.376633547793083,30.0,130.0,86.0,100.0,792,5.323272164014853,0.16437047839484056,0.031316500880916635,4.4599250169635026e-10,0.40000000000000036,-1.3800384413722615,0.20714500830421634,6.351367209944669e-09,0.000999000999000999
Achilles-10252013,1.6mLinearMazeLinearizedPosition,13,1,lCA1,1.7373797437874396,0.5124287985378283,2.0,74.0,6.0,72.0,60,199.79312505671246,0.17339858960638252,0.09987384125396358,0.1648793604927129,-2.81,-2.558954828339052,0.07595367246753697,0.5666360049949517,0.7822177822177823
Achilles-10252013,1.6mLinearMazeLinearizedPosition,16,1,lCA1,6.162223425568509,0.880636352922133,2.0,34.0,10.0,32.0,161,215.40965206394776,0.1251087298390325,0.07751808715618527,0.08029501538702388,-0.9899999999999998,-1.2275237044415934,-0.059422165228519445,0.4540573358198041,0.6193806193806194
Achilles-10252013,1.6mLinearMazeLinearizedPosition,23,1,lCA1,26.0394798960772,1.5036463730782448,106.0,158.0,138.0,52.0,490,241.31784104951655,0.1910023649716429,0.03658446053197851,1.4876559895420685e-08,-0.6400000000000001,-0.7897615636548305,-0.17935756147411047,5.803362249823252e-05,0.000999000999000999
Achilles-10252013,1.6mLinearMazeLinearizedPosition,27,1,lCA1,14.842189671685269,0.7713075447895164,2.0,54.0,30.0,52.0,505,213.15475925694122,0.16874067467958734,0.036496497854813396,5.205497874766482e-07,-0.69,-0.8832647900524896,-0.18588460849680902,5.068586104295392e-05,0.000999000999000999
Achilles-10252013,1.6mLinearMazeLinearizedPosition,33,1,lCA1,12.343639397129586,0.6793244923817593,62.0,138.0,90.0,76.0,350,233.7680587266789,0.29724344523570956,0.04500777578585697,1.905347393490747e-14,-0.75,-0.723085534253412,-0.40826179122939976,3.7836400679225335e-13,0.000999000999000999
Achilles-10252013,1.6mLinearMazeLinearizedPosition,39,1,lCA1,21.739554082030487,0.8781729986608551,10.0,42.0,26.0,32.0,456,150.58021659821893,0.2380955447147518,0.05077581552095448,4.191510275618423e-12,-0.69,-1.5571737385108413,-0.5379116481802589,0.0,0.000999000999000999
Achilles-10252013,1.6mLinearMazeLinearizedPosition,50,1,lCA1,4.768999254922372,0.8103506253110397,26.0,66.0,38.0,40.0,98,138.85881274226693,0.33016510547941463,0.08859969740257231,1.7877389597881895e-05,-1.5899999999999999,-1.2694945135834985,-0.44010202716497,2.435054253480118e-05,0.000999000999000999
