session,maze,unit,direction,location,peak_rate,spatial_info,field_start,field_stop,field_peak,field_width,n_spikes_field,pref_phase,mrl,mrl_jitter,p_rayleigh,slope,phi0,rho,p_circlin,p_shuffle
Cicero-09172014,2mLinearMazeLinearizedPosition,10,1,lCA1,3.3146635218543525,0.40062833786587493,92.5,172.5,142.5,80.0,87,195.13955653320653,0.03325017343627569,0.12296656977651217,0.908771620699274,3.0300000000000002,0.5255342321815809,-0.12580668446369106,0.2417558011533436,0.4875124875124875
Cicero-09172014,2mLinearMazeLinearizedPosition,12,1,lCA1,1.0685071889832642,1.074172778934698,182.5,197.5,197.5,15.0,5,56.68929516571064,0.36556605934441055,0.38899525091779275,0.5351458910473268,,,,,
Cicero-09172014,2mLinearMazeLinearizedPosition,13,1,lCA1,1.3487044089209392,1.3382207741493324,132.5,192.5,157.5,60.0,23,172.00643576659533,0.32489150999102445,0.17770533044257236,0.0872127916964636,,,,,
Cicero-09172014,2mLinearMazeLinearizedPosition,17,1,lCA1,5.0900382915985425,1.0843883940140353,157.5,187.5,172.5,30.0,68,234.1102357012945,0.42163257752682265,0.13255212729853477,3.4478174987054256e-06,0.040000000000000036,-2.3119056324718685,0.019329885578703635,0.8796267554237269,0.8681318681318682
Cicero-09172014,2mLinearMazeLinearizedPosition,18,1,lCA1,9.411932457022067,0.4369515689872207,47.5,132.5,102.5,85.0,822,282.19873684798216,0.09374680533642571,0.028913903354039046,0.0007204470346504765,-1.0499999999999998,-0.03418498023011381,0.07573512099987095,0.03270149902122066,0.03296703296703297
Cicero-09172014,2mLinearMazeLinearizedPosition,23,1,lCA1,9.3204727492817,0.3488704561153523,122.5,182.5,147.5,60.0,144,164.66809780084523,0.22002948752436122,0.08701742266428968,0.0008823514960956937,-0.6400000000000001,-1.688789830595759,-0.6187000104470463,1.6786572132332367e-13,0.000999000999000999
Cicero-09172014,2mLinearMazeLinearizedPosition,25,1,lCA1,4.9911110513565715,0.9640288437674291,62.5,102.5,87.5,40.0,290,133.58502437552357,0.2995320678250626,0.05540886716800847,2.8549969096189215e-12,-0.23999999999999977,-3.0592214589980395,-0.116063556099942,0.04457169769187597,0.06493506493506493
Cicero-09172014,2mLinearMazeLinearizedPosition,26,1,lCA1,2.9868394530374336,0.9684963185168888,162.5,197.5,177.5,35.0,49,26.476501047761072,0.22313454771371857,0.1227069934864703,0.08670734899871775,2.2,0.5155066254758213,0.042370448954186825,0.7617354018801601,0.8821178821178821
Cicero-09172014,2mLinearMazeLinearizedPosition,27,1,rCA1,4.472254085830433,0.5358786217390963,67.5,142.5,122.5,75.0,243,211.68128830860678,0.12512981789425204,0.05994992822885239,0.022106776079750937,-0.71,-0.6409176009358624,-0.33486947517992227,2.1441692155121927e-07,0.000999000999000999
Cicero-09172014,2mLinearMazeLinearizedPosition,30,1,rCA1,2.0025163836277997,0.39836191446316715,52.5,142.5,122.5,90.0,115,245.23937117934668,0.25564606055999767,0.06506432558794303,0.0004961746204799639,-0.54,-0.49238374101886273,-0.27035220117928516,0.006931850841870535,0.012987012987012988
Cicero-09172014,2mLinearMazeLinearizedPosition,31,1,rCA1,12.993723928176331,0.7533882408656254,177.5,197.5,197.5,20.0,122,185.17978417019492,0.5958197663226028,0.0849241812439175,1.748701311060502e-21,-0.040000000000000036,-2.8969240618531193,-0.07618532009624243,0.3614294722848297,0.3876123876123876
Cicero-09172014,2mLinearMazeLinearizedPosition,33,1,rCA1,1.0961426966826096,0.8593281232730074,2.5,32.5,17.5,30.0,40,241.16799269155482,0.42523775541349085,0.13309581861207634,0.0005585903313779052,-1.0099999999999998,1.8230362685644448,-0.08162288174821777,0.5955102427731613,0.6203796203796204
Cicero-09172014,2mLinearMazeLinearizedPosition,41,1,rCA1,28.27020957756374,2.448330864271778,2.5,22.5,2.5,20.0,416,55.78254674010165,0.22924017542204028,0.04547990981855646,2.4520478866219204e-10,-0.10000000000000009,1.3333725642803655,-0.04150415161775359,0.39972800941467157,0.4015984015984016
Cicero-09172014,2mLinearMazeLinearizedPosition,44,1,rCA1,1.705207202249267,0.47410591543412556,52.5,132.5,117.5,80.0,142,330.3727830548086,0.19311666041414705,0.07778161378336998,0.004858837863074894,-2.23,0.852761224192035,-0.046794503736016804,0.568410906379859,0.6353646353646354
