session,maze,unit,direction,location,peak_rate,spatial_info,field_start,field_stop,field_peak,field_width,n_spikes_field,pref_phase,mrl,mrl_jitter,p_rayleigh,slope,phi0,rho,p_circlin,p_shuffle
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,8,1,lCA1,15.387974259508866,0.6314027352658301,2.0,46.0,18.0,44.0,707,206.7858444356266,0.18815983161812158,0.035486393609418396,1.0945423790062838e-11,-0.6799999999999997,-1.4259191150641541,-0.22016544151150536,8.11962541646949e-09,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,11,1,lCA1,7.608231745294808,0.36974039327634767,14.0,114.0,82.0,100.0,493,77.2314669762312,0.17062247925568633,0.0373121262229923,5.337335896768346e-07,1.8100000000000005,-1.5235011504231013,-0.07516571921215694,0.09674394464929192,0.0989010989010989
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,14,1,lCA1,1.3114781310601977,0.47797884028601023,14.0,62.0,50.0,48.0,42,70.38543768913102,0.3090319322370195,0.1208978588696622,0.01723444992754906,-0.5499999999999998,-2.585320852556208,-0.13017184257245462,0.4285157965314472,0.5154845154845155
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,21,1,lCA1,27.167658320018752,0.7444566661202175,2.0,54.0,30.0,52.0,1325,235.2633789443949,0.10665515993063539,0.024950526749957166,2.741261842670075e-07,-0.81,-0.9124828074410273,-0.11767889581968742,2.5736145284671608e-05,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,22,1,lCA1,17.19306693140534,0.9849216243327888,2.0,26.0,2.0,24.0,515,106.90059626953337,0.22025334950385067,0.04671158097695899,1.0613776906782704e-11,-0.33999999999999986,2.727625667292113,-0.17354277799012607,5.7045453695225845e-05,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,27,1,rCA1,3.112088579549196,1.1654884471721936,138.0,158.0,158.0,20.0,23,333.81769591748144,0.7186624359260038,0.15054158301569381,1.2512631170020214e-06,,,,,
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,30,1,rCA1,18.341374900771605,0.7914947876848069,74.0,158.0,114.0,84.0,754,179.1734453041688,0.22734330332059105,0.03766098006870502,7.285844705479856e-18,-0.44999999999999973,-1.7160655347790643,-0.41083392074778935,0.0,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,31,1,rCA1,1.819441121336229,0.9939628313298877,134.0,158.0,150.0,24.0,24,21.208306651724126,0.21846118393631178,0.17021001863518204,0.32136407173198206,,,,,
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,33,1,rCA1,41.92794013508092,0.4700366532698565,78.0,158.0,126.0,80.0,1534,211.52120237478744,0.13925586595305253,0.020187170620882915,1.051460259444088e-13,-0.6600000000000001,-0.9711901670171761,-0.44565793043738827,0.0,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,37,1,rCA1,6.015058968831655,1.7619177613146901,130.0,158.0,154.0,28.0,91,236.76732863810457,0.1711027272459778,0.08372912037397008,0.06931910373258568,-0.45999999999999996,-0.8925741315840613,-0.17448245829093,0.10384871915770288,0.23876123876123875
