path,asset_id,subject,ntrials,nfreq,nint,ints,dur,nled,nunits,area
sub-AK190207A/sub-AK190207A_ses-tones1_ecephys+image.nwb,b651a329-009d-4b85-b08c-ce99de014c18,AK190207A,180,10,1,70,0.3,90,124,A1
sub-AK190207A/sub-AK190207A_ses-tones2_ecephys+image.nwb,178b9acd-870d-4902-9201-f49385c6fdab,AK190207A,180,10,1,70,0.3,90,137,A1
sub-AK190207C/sub-AK190207C_ses-tones1_ecephys+image.nwb,163f4aca-eeaf-4b72-9226-f45c45d1504d,AK190207C,180,10,1,70,0.3,90,110,A1
sub-AK190208/sub-AK190208_ses-tones1_ecephys+image.nwb,6a39d1a4-6226-4a6f-939a-74acc5e1d46e,AK190208,180,10,1,70,0.3,90,167,A1
sub-AK190502A/sub-AK190502A_ses-tones1_ecephys+image.nwb,37fb14d7-b392-47b8-add2-4081111aeb6b,AK190502A,180,10,1,70,0.3,90,131,A1
sub-AK190502A/sub-AK190502A_ses-tones2_ecephys+image.nwb,f3ad28b8-73dd-4901-8322-2a851ed5d9e8,AK190502A,180,10,1,70,0.3,90,159,A1
sub-AK190502B/sub-AK190502B_ses-tones1_ecephys+image.nwb,4f150b2f-ef65-4e0e-9a15-3ce660d84dfb,AK190502B,180,10,1,70,0.3,90,148,A1
sub-AK190506/sub-AK190506_ses-tones1_ecephys+image.nwb,63152e12-669d-47e6-9d8c-68e7a8a15f24,AK190506,180,10,1,70,0.3,90,157,A1
sub-AK190508/sub-AK190508_ses-tones1_ecephys+image.nwb,90b7810c-a577-4dde-8f19-ec58b9380c35,AK190508,180,10,1,70,0.3,90,129,A1
sub-AK210825B/sub-AK210825B_ses-tones1_ecephys+image.nwb,f637f8b9-70b1-437d-8332-1a375d7c3cc5,AK210825B,648,18,4,"10,30,50,70",0.1,0,241,A1
sub-AK210826/sub-AK210826_ses-tones1_ecephys+image.nwb,22e2e691-a6dd-45de-b3ec-81fdc72a9264,AK210826,648,18,4,"10,30,50,70",0.1,0,285,A1
sub-AK211103B/sub-AK211103B_ses-tones1_ecephys+image.nwb,42e0e33d-2194-4264-83e8-fb60139073d6,AK211103B,648,18,4,"10,30,50,70",0.1,0,89,A1
sub-AK211117/sub-AK211117_ses-tones1_ecephys+image.nwb,75471b6f-8ec9-4d21-9139-9a759737e0ed,AK211117,648,18,4,"10,30,50,70",0.1,0,170,A1
sub-AK211222/sub-AK211222_ses-tones1_ecephys+image.nwb,3cfaa0f0-c37d-4635-a6f7-7d28606011d7,AK211222,648,18,4,"10,30,50,70",0.1,0,150,A1
sub-AK220630/sub-AK220630_ses-tones1_ecephys+image.nwb,a939b732-e66d-4b58-bc17-865930bf638a,AK220630,648,18,4,"10,30,50,70",0.1,0,307,A1
sub-AK221130/sub-AK221130_ses-tones1_ecephys+image.nwb,4e7cfd53-095c-4174-8efb-b968fb706d0f,AK221130,648,18,4,"10,30,50,70",0.1,0,343,A1
sub-AK230127/sub-AK230127_ses-tones1_ecephys+image.nwb,591e3076-b66b-41be-9c81-da695dcd49bf,AK230127,648,18,4,"10,30,50,70",0.1,0,183,A2
sub-AK230201/sub-AK230201_ses-tones1_ecephys+image.nwb,0334dd22-cdfa-4ba1-9343-1816b651646e,AK230201,648,18,4,"10,30,50,70",0.1,0,263,A2
sub-HK190220/sub-HK190220_ses-tones1_ecephys+image.nwb,3890acc6-b446-42ce-a36d-158654560703,HK190220,504,18,4,"10,30,50,70",0.1,0,127,A1
sub-HK190525/sub-HK190525_ses-tones1_ecephys+image.nwb,3f1c7fc1-fb5a-4a5f-98b5-92b3dcd01093,HK190525,180,10,1,70,0.2,90,198,A1
sub-HK190624/sub-HK190624_ses-tones1_ecephys+image.nwb,c78f97cd-5eb7-44c1-94f4-771b9159aaa9,HK190624,180,10,1,70,0.2,90,172,A1
sub-HK190625/sub-HK190625_ses-tones1_ecephys+image.nwb,c9f664c1-1db9-4b6e-8c0a-73a70725fde7,HK190625,180,10,1,70,0.2,90,134,A1
sub-HK210212/sub-HK210212_ses-tones1_ecephys+image.nwb,f9b3f985-ae86-4d9f-b848-0b7b4517f256,HK210212,648,18,4,"10,30,50,70",0.1,0,113,A1
sub-HK220729/sub-HK220729_ses-tones1_ecephys+image.nwb,86a275f7-a588-4c48-b12c-e69177c285e8,HK220729,648,18,4,"10,30,50,70",0.1,0,200,A1
sub-HK220729/sub-HK220729_ses-tones2_ecephys+image.nwb,f34da583-c601-440e-b171-68278ba1af32,HK220729,648,18,4,"10,30,50,70",0.1,0,117,A2
sub-HK220816/sub-HK220816_ses-tones1_ecephys+image.nwb,c8cfc3f4-187b-4893-98dc-eec9cec597fa,HK220816,648,18,4,"10,30,50,70",0.1,0,188,A2
sub-HK230224/sub-HK230224_ses-tones1_ecephys+image.nwb,1d1facc3-8235-4d74-aeeb-272ef0e5a960,HK230224,648,18,4,"10,30,50,70",0.1,0,209,A1
sub-HK230225/sub-HK230225_ses-tones1_ecephys+image.nwb,b664ce7e-a036-498e-881f-5ec8fee7a117,HK230225,648,18,4,"10,30,50,70",0.1,0,220,A1
sub-HK230405/sub-HK230405_ses-tones1_ecephys+image.nwb,3f0aa99a-46e5-4e60-99ae-a01e11351889,HK230405,648,18,4,"10,30,50,70",0.1,0,141,A1
sub-HK230724/sub-HK230724_ses-tones1_ecephys+image.nwb,a692f122-abb0-42b1-96b8-8c2868d7b5b4,HK230724,648,18,4,"10,30,50,70",0.1,0,472,A1
sub-HK230902/sub-HK230902_ses-tones1_ecephys+image.nwb,6cf0454b-52ae-4337-bd91-b030428f738b,HK230902,648,18,4,"10,30,50,70",0.1,0,335,A1
sub-HK230904/sub-HK230904_ses-tones1_ecephys+image.nwb,0317b852-b71e-419f-92d5-59aea0d9476f,HK230904,648,18,4,"10,30,50,70",0.1,0,290,A1
sub-HK230916/sub-HK230916_ses-tones1_ecephys+image.nwb,d92d9f57-9030-49ba-90a2-09ee56e3fcd8,HK230916,648,18,4,"10,30,50,70",0.1,0,255,A1
sub-HK231121/sub-HK231121_ses-tones1_ecephys+image.nwb,8ccf8ab4-2b64-4fd9-ad7c-8c36becb7d11,HK231121,648,18,4,"10,30,50,70",0.1,0,403,A1
sub-HK231122/sub-HK231122_ses-tones1_ecephys+image.nwb,dd1262dd-cd41-45ad-ac09-a07e1b08fc84,HK231122,648,18,4,"10,30,50,70",0.1,0,262,A1
sub-HK231207/sub-HK231207_ses-tones1_ecephys+image.nwb,b18aa06e-eb70-4f2e-a79b-61ff016c90fe,HK231207,648,18,4,"10,30,50,70",0.1,0,314,A1
sub-KO220727B/sub-KO220727B_ses-tones1_ecephys+image.nwb,08419b3a-89ff-4309-8dd1-d9fb5315dd29,KO220727B,648,18,4,"10,30,50,70",0.1,0,87,A1
sub-KO220804B/sub-KO220804B_ses-tones1_ecephys+image.nwb,abfcc741-8209-4eb6-9baa-f925a36b929f,KO220804B,648,18,4,"10,30,50,70",0.1,0,93,A1
sub-KO220804B/sub-KO220804B_ses-tones2_ecephys+image.nwb,f7974cd2-340b-4f65-afb1-e62ad9fa3e16,KO220804B,648,18,4,"10,30,50,70",0.1,0,54,A2
sub-KO230215/sub-KO230215_ses-tones1_ecephys+image.nwb,8e1a4ecb-dcc3-4f7a-b518-7ae52880850f,KO230215,648,18,4,"10,30,50,70",0.1,0,64,A2
sub-KO230406/sub-KO230406_ses-tones1_ecephys+image.nwb,23d554c3-4046-4270-8244-cca9fe6420bd,KO230406,648,18,4,"10,30,50,70",0.1,0,59,A1
sub-KO230421B/sub-KO230421B_ses-tones1_ecephys+image.nwb,96c8a1b0-b9a2-417d-8771-3de6677e5418,KO230421B,648,18,4,"10,30,50,70",0.1,0,50,A1
