path,subject,n_trials,n_biased,n_zero,n_blocks,n_units,n_regions,zero_contrast_bias,choice_convention_agreement,n_high_contrast,passes
sub-CSH-ZAD-024/sub-CSH-ZAD-024_ses-8207abc6-6b23-4762-92b4-82e05bed5143_desc-processed_behavior+ecephys.nwb,sub-CSH-ZAD-024,751,655,86,12,866,17,0.6293478260869565,1.0,162,True
sub-CSHL055/sub-CSHL055_ses-0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3_desc-processed_behavior+ecephys.nwb,sub-CSHL055,771,659,81,12,644,25,0.5761670761670762,1.0,167,True
sub-CSH-ZAD-029/sub-CSH-ZAD-029_ses-e349a2e7-50a3-47ca-bc45-20d1899854ec_desc-processed_behavior+ecephys.nwb,sub-CSH-ZAD-029,1022,932,125,19,620,30,0.49922360248447206,1.0,220,True
sub-CSHL058/sub-CSHL058_ses-fb70ebf7-8175-42b0-9b7a-7c6e8612226e_desc-processed_behavior+ecephys.nwb,sub-CSHL058,649,554,64,10,513,14,0.30791788856304986,1.0,142,True
sub-DY-016/sub-DY-016_ses-aa20388b-9ea3-4506-92f1-3c2be84b85db_desc-processed_behavior+ecephys.nwb,sub-DY-016,519,428,49,11,509,13,0.08695652173913043,1.0,120,True
sub-CSH-ZAD-019/sub-CSH-ZAD-019_ses-edd22318-216c-44ff-bc24-49ce8be78374_desc-processed_behavior+ecephys.nwb,sub-CSH-ZAD-019,891,800,112,17,494,22,0.44791666666666663,1.0,184,True
sub-CSHL052/sub-CSHL052_ses-85dc2ebd-8aaf-46b0-9284-a197aee8b16f_desc-processed_behavior+ecephys.nwb,sub-CSHL052,770,679,92,13,486,17,0.4698623635500712,1.0,156,True
sub-CSHL054/sub-CSHL054_ses-a71175be-d1fd-47a3-aa93-b830ea3634a1_desc-processed_behavior+ecephys.nwb,sub-CSHL054,855,765,102,16,485,20,0.25465838509316774,1.0,187,True
sub-CSHL047/sub-CSHL047_ses-b52182e7-39f6-4914-9717-136db589706e_desc-processed_behavior+ecephys.nwb,sub-CSHL047,700,608,74,15,441,23,0.315018315018315,1.0,155,True
sub-CSH-ZAD-026/sub-CSH-ZAD-026_ses-15763234-d21e-491f-a01b-1238eb96d389_desc-processed_behavior+ecephys.nwb,sub-CSH-ZAD-026,894,802,92,14,408,13,0.4371428571428571,1.0,197,True
sub-CSHL051/sub-CSHL051_ses-ecb5520d-1358-434c-95ec-93687ecd1396_desc-processed_behavior+ecephys.nwb,sub-CSHL051,510,412,44,11,407,25,0.26068376068376065,1.0,112,True
sub-CSH-ZAD-011/sub-CSH-ZAD-011_ses-5b44c40f-80f4-44fb-abfb-c7f19e27a6ca_desc-processed_behavior+ecephys.nwb,sub-CSH-ZAD-011,591,501,65,10,406,21,-0.002873563218390829,1.0,131,True
