subject,n_units,n_trials,n_zero,bias_zero_contrast,bias_chi2_p,auc_block,p_block,auc_block_move,p_block_move,auc_block_resid,p_block_resid,auc_block_hist,p_block_hist,auc_block_resid_full,p_block_resid_full,wheel_absvel_p,auc_choice_zero,p_choice_zero,auc_choice_zero_move,p_choice_zero_move,auc_crossdecode_choice,p_crossdecode,auc_crossdecode_block,auc_crossdecode_choice_resid,p_crossdecode_resid,block_coef,block_p,resid_coef,resid_p,frac_units_sig
sub-CSH-ZAD-024,866,655,86,0.6293478260869565,2.053478587669993e-08,0.703974016762175,0.004975124378109453,0.6434771246710097,0.004975124378109453,0.7031900397588337,0.004975124378109453,0.8303529763126949,0.004975124378109453,0.4670822989192317,0.7611940298507462,0.8024426802017508,0.628246753246753,0.05970149253731343,0.6022727272727273,0.1890547263681592,0.6109307359307359,0.06965174129353234,0.5994565217391304,0.5216450216450217,0.39303482587064675,2.920248222501133,2.010779543774596e-07,0.2960489924199406,0.2938757353237611,0.04157043879907621
sub-CSHL055,644,659,81,0.5761670761670762,8.776304108158979e-08,0.6294423257613442,0.04477611940298507,0.6378986348311502,0.009950248756218905,0.5413419554523848,0.2537313432835821,0.8220121962453251,0.004975124378109453,0.3858766742202326,0.9800995024875622,0.0003768867952659664,0.6842857142857143,0.03482587064676617,0.6071428571428571,0.13930348258706468,0.5828571428571429,0.17412935323383086,0.5497542997542997,0.43714285714285706,0.8159203980099502,3.503990851147944,1.2140655156541983e-05,0.2296576862833934,0.45009363755627707,0.07142857142857142
sub-CSH-ZAD-029,620,932,125,0.49922360248447206,7.456690154550313e-08,0.49316669371855215,0.5870646766169154,0.7169244324900874,0.004975124378109453,0.4996359589120505,0.5174129353233831,0.8007280821758991,0.004975124378109453,0.4149558281355068,0.9800995024875622,0.0017178573983031807,0.5272213662044171,0.3383084577114428,0.7948125321006677,0.004975124378109453,0.5097586029789419,0.417910447761194,0.5126811594202899,0.4946070878274268,0.47761194029850745,2.2360340970497674,1.5587302365473642e-07,0.01249803171074264,0.9520870437379019,0.02258064516129032
sub-CSHL058,513,554,64,0.30791788856304986,0.02512179440533734,0.5085110545881433,0.43283582089552236,0.5107415378595186,0.47761194029850745,0.5118763451379378,0.373134328358209,0.8001043500945674,0.004975124378109453,0.3885214895975999,0.9900497512437811,0.41893114729375036,0.6296296296296297,0.01990049751243781,0.5425425425425425,0.417910447761194,0.5335335335335336,0.2885572139303483,0.5738025415444771,0.44144144144144143,0.7910447761194029,1.3132494126953345,0.014159543299353492,-0.07611091813099724,0.7769051086428511,0.01949317738791423
sub-DY-016,509,428,49,0.08695652173913043,0.4168343452882771,0.642631497558928,0.04477611940298507,0.6418583073762343,0.009950248756218905,0.5822342987165043,0.0845771144278607,0.8195595025073453,0.004975124378109453,0.5006737800163474,0.5522388059701493,1.9187017293392e-07,0.5212765957446809,0.417910447761194,0.7872340425531914,0.208955223880597,0.8297872340425532,0.06467661691542288,0.6387959866220736,0.9148936170212766,0.03482587064676617,21.576910755675932,0.9996290423853907,1.5891656164033867,0.09539234115351736,0.09233791748526522
sub-CSH-ZAD-019,494,800,112,0.44791666666666663,4.428872030031234e-06,0.6093374849939975,0.024875621890547265,0.5903611444577831,0.05472636815920398,0.5593737494997999,0.11940298507462686,0.8400922869147658,0.004975124378109453,0.40034763905562226,0.9303482587064676,0.6910621651787061,0.5592039800995025,0.2935323383084577,0.5499170812603649,0.20398009950248755,0.5956882255389717,0.04477611940298507,0.5227864583333334,0.4975124378109453,0.4925373134328358,2.1566622604418746,9.002123664561011e-06,0.2756938037579076,0.2198718905193724,0.03441295546558704
sub-CSHL052,486,679,92,0.4698623635500712,1.3333029009209823e-05,0.6245173409399242,0.009950248756218905,0.5887309980171844,0.009950248756218905,0.5888440532925175,0.04975124378109453,0.8575677461996034,0.004975124378109453,0.38917974049466036,1.0,0.011087896990814241,0.5716374269005848,0.08955223880597014,0.5745614035087719,0.1791044776119403,0.5867446393762182,0.0845771144278607,0.6236355007119128,0.452729044834308,0.7910447761194029,2.158872852380532,2.959393341775683e-05,0.05648019167639606,0.8225861959329164,0.03909465020576132
sub-CSHL054,485,765,102,0.25465838509316774,0.010969879463350575,0.5515247324190413,0.15920398009950248,0.5289001122334456,0.2537313432835821,0.5391927404122526,0.208955223880597,0.7825134817004735,0.004975124378109453,0.3942336645588678,0.9800995024875622,0.7756243435170301,0.5558035714285714,0.3681592039800995,0.6263392857142858,0.03482587064676617,0.5598214285714287,0.23383084577114427,0.5555124223602484,0.3758928571428572,1.0,1.2248652465665282,0.010357095760737092,0.1665984147012522,0.4389341145464759,0.018556701030927835
sub-CSHL047,441,608,74,0.315018315018315,0.01178303381918531,0.6601941747572816,0.024875621890547265,0.5581496033163403,0.07960199004975124,0.6408632875496532,0.014925373134328358,0.8052191230747584,0.004975124378109453,0.4501520710891753,0.8756218905472637,0.0007151309000915829,0.5234848484848484,0.3333333333333333,0.5924242424242425,0.0945273631840796,0.5962121212121212,0.06467661691542288,0.6417582417582418,0.5249999999999999,0.31343283582089554,1.2500311759260903,0.014533489438797176,0.25220781746437776,0.34023339613226156,0.12471655328798185
sub-CSH-ZAD-026,408,802,92,0.4371428571428571,4.3832378688848606e-05,0.7551954716511678,0.004975124378109453,0.6313625478182441,0.009950248756218905,0.7491182782322022,0.004975124378109453,0.7969396323826704,0.004975124378109453,0.5820421111560352,0.03980099502487562,1.3518400609000314e-12,0.6090225563909775,0.13432835820895522,0.6621553884711779,0.009950248756218905,0.7288220551378446,0.004975124378109453,0.7666666666666667,0.6526315789473685,0.004975124378109453,1.704281679431327,0.0021577823961863654,0.6188393152769113,0.027615948166269905,0.2769607843137255
sub-CSHL051,407,412,44,0.26068376068376065,0.15946340636114423,0.6156587057010785,0.04975124378109453,0.5097505778120185,0.4527363184079602,0.6179699537750385,0.04477611940298507,0.7986325115562403,0.004975124378109453,0.3953919491525424,0.8955223880597015,0.011637889203442026,0.5452631578947369,0.263681592039801,0.42105263157894746,0.7860696517412935,0.736842105263158,0.004975124378109453,0.6901709401709402,0.5831578947368421,0.22388059701492538,0.6983094941546789,0.3280056549960345,0.8036759745912468,0.03244217743862264,0.022113022113022112
sub-CSH-ZAD-011,406,501,65,-0.002873563218390829,1.0,0.4810606060606061,0.5074626865671642,0.5165100370796574,0.373134328358209,0.4577100115074798,0.6567164179104478,0.784186804756425,0.004975124378109453,0.41594744917529725,0.8407960199004975,0.055466888573311515,0.560428849902534,0.3880597014925373,0.49902534113060426,0.43781094527363185,0.5789473684210527,0.13930348258706468,0.4224137931034483,0.571150097465887,0.15920398009950248,0.1290524930988017,0.8054941282897442,0.3726316446431644,0.15614339041234254,0.009852216748768473
sub-CSH-ZAD-025,347,714,78,0.06052631578947365,0.7415265338508452,0.490087498501738,0.5024875621890548,0.5021055575532383,0.4975124378109453,0.49528147349075075,0.4626865671641791,0.7109832594190738,0.004975124378109453,0.37482120739941666,0.9800995024875622,0.9165851228890227,0.49735849056603776,0.6666666666666666,0.6332075471698114,0.03482587064676617,0.5252830188679245,0.3582089552238806,0.4651315789473684,0.43245283018867925,0.9701492537313433,0.3106314854397601,0.527421816520425,0.1612720368457438,0.5176619240615301,0.09798270893371758
sub-CSHL060,327,539,58,0.21624850657108724,0.07845115925645181,0.5426434693761707,0.2537313432835821,0.4639126979621956,0.7611940298507462,0.5479366520974058,0.18407960199004975,0.7172049724697735,0.004975124378109453,0.5174689220639155,0.35323383084577115,0.34790995444284656,0.23791102514506773,1.0,0.32688588007736946,0.8756218905472637,0.5125725338491296,0.42786069651741293,0.31302270011947436,0.5938104448742747,0.14427860696517414,1.7738859965843266,0.04229453888910057,0.24189897262289192,0.5250126903696468,0.027522935779816515
sub-KS016,326,355,44,0.4145299145299145,0.016408181114151568,0.6819653399352505,0.004975124378109453,0.48838316511140734,0.6218905472636815,0.6585729702278931,0.004975124378109453,0.7749000190439916,0.004975124378109453,0.44683552339236976,0.8507462686567164,0.8551406094401285,0.6169772256728778,0.15920398009950248,0.36438923395445133,0.9253731343283582,0.7184265010351967,0.004975124378109453,0.8824786324786325,0.536231884057971,0.39800995024875624,1.3734495778676956,0.11401982158673236,0.3048028259090398,0.49096176063173846,0.1165644171779141
sub-DY-009,260,310,40,0.47916666666666663,0.0069108027168847145,0.6957826233941853,0.01990049751243781,0.5822346179851252,0.16417910447761194,0.6358181203515889,0.06965174129353234,0.7762001352265043,0.004975124378109453,0.4852518593644354,0.6218905472636815,0.004762869119107819,0.7109375000000001,0.004975124378109453,0.6041666666666666,0.11442786069651742,0.6692708333333334,0.06467661691542288,0.6223958333333333,0.3984375,0.7910447761194029,1.993890776494932,0.008424933773964235,0.5548308714956384,0.1751240300216511,0.18076923076923077
sub-DY-018,259,418,47,0.09523809523809523,0.3780978803439786,0.5689209035596896,0.19402985074626866,0.5303634286779961,0.20398009950248755,0.5558896892556588,0.23880597014925373,0.7938084248315733,0.004975124378109453,0.4142014593095088,0.8905472636815921,0.1739443293750963,0.22222222222222227,0.8274111675126904,0.2222222222222222,0.9035532994923858,0.35555555555555557,0.6915422885572139,0.6025641025641025,0.2777777777777778,0.8507462686567164,31.258407212550964,0.9999929644853492,-0.30580017240628043,0.6258064914696354,0.03474903474903475
sub-KS014,256,567,62,0.16129032258064518,0.3086199310607448,0.637357910105329,0.004975124378109453,0.4980185629366982,0.5373134328358209,0.6372666597142559,0.004975124378109453,0.7443555115236208,0.004975124378109453,0.507847533632287,0.35323383084577115,0.07977231474344466,0.644723092998955,0.1044776119402985,0.39707419017763845,0.736318407960199,0.7210031347962382,0.004975124378109453,0.708636836628512,0.6478578892371996,0.01990049751243781,0.12598095655581046,0.8271727795633276,0.8092628551831409,0.010951944012928712,0.06640625
sub-CSHL045,251,423,40,0.21978021978021972,0.3199842176010086,0.4153276764758982,0.8407960199004975,0.5936089546849612,0.024875621890547265,0.42489619064813144,0.8109452736318408,0.7312917494132515,0.004975124378109453,0.33656797255822357,0.9900497512437811,0.00042507818482474927,0.645,0.1791044776119403,0.35000000000000003,0.835820895522388,0.44999999999999996,0.746268656716418,0.3214285714285714,0.27999999999999997,1.0,0.8533660705533642,0.23342069253427145,-0.0708445792758704,0.834835692671815,0.07171314741035857
sub-CSH-ZAD-001,216,760,91,0.5073529411764706,1.2610637684099455e-06,0.7363763293715572,0.004975124378109453,0.6703575323529616,0.004975124378109453,0.6979904000444571,0.004975124378109453,0.8227411971464098,0.004975124378109453,0.507193020234928,0.4129353233830846,3.086557439026748e-05,0.5951612903225806,0.1044776119402985,0.7672043010752688,0.004975124378109453,0.7026881720430107,0.004975124378109453,0.7495098039215686,0.4903225806451612,0.47761194029850745,2.208063142105428,0.00010836362758663398,0.4763084633832386,0.11240524631927497,0.125
sub-CSHL049,207,550,72,0.3159582999198075,0.012867062100833408,0.5608047255774529,0.14427860696517414,0.554540156812884,0.04975124378109453,0.554354736172918,0.12437810945273632,0.7477617079889807,0.004975124378109453,0.447592180546726,0.8258706467661692,0.00035095046533546124,0.6195652173913044,0.05970149253731343,0.6638795986622075,0.004975124378109453,0.5585284280936456,0.16417910447761194,0.5549318364073778,0.4657190635451505,0.6467661691542289,1.4943842949075483,0.010084466408765322,0.1914078142148414,0.47318665077379585,0.057971014492753624
sub-CSH-ZAD-022,183,983,120,0.4663299663299663,8.098635249568428e-07,0.655116550410046,0.004975124378109453,0.5993175694391981,0.004975124378109453,0.648611216035859,0.004975124378109453,0.850054141169953,0.004975124378109453,0.5012590969756491,0.4079601990049751,1.012749641926795e-05,0.6257392283863701,0.05970149253731343,0.6102506336243312,0.06965174129353234,0.6206702337369755,0.024875621890547265,0.6473063973063973,0.4455083075190087,0.835820895522388,2.042678268613169,4.103301285331501e-06,0.14716145865751626,0.48870076718321287,0.04371584699453552
sub-CSHL053,150,817,96,0.25561154374713696,0.024721354099157086,0.5492902457864279,0.11442786069651742,0.6237352952349596,0.009950248756218905,0.5223563080118018,0.2736318407960199,0.8041179673551051,0.004975124378109453,0.4714135568753086,0.736318407960199,0.8333240701874842,0.3884479717813051,0.835820895522388,0.5573192239858906,0.208955223880597,0.5524691358024691,0.22388059701492538,0.5304626660558864,0.5229276895943562,0.417910447761194,1.0357899383891582,0.017158532144977257,0.1468981919935862,0.4956125485474393,0.013333333333333334
