session,region,window,n_trials,n_units,auc,null_mean,null_sd,z,p
1191f865-b10a-45c8-9c48-24a980fd9402,ALL,pre,875,639,0.6065096067887555,0.504062067604256,0.05036499848807355,2.0341019013186146,0.031936127744510975
1191f865-b10a-45c8-9c48-24a980fd9402,ALL,early,875,639,0.507472507526042,0.5028797698853023,0.04680700129178619,0.0981207407863938,0.46506986027944114
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,pre,875,120,0.5651773181565595,0.5025252482890802,0.04183666558081297,1.4975397536512238,0.06187624750499002
1191f865-b10a-45c8-9c48-24a980fd9402,frontal_ctx,pre,875,120,0.5876103742396083,0.5013639780493877,0.046931013163624705,1.8377271313006391,0.033932135728542916
1191f865-b10a-45c8-9c48-24a980fd9402,hindbrain,pre,875,109,0.47002787880925284,0.4984838518223398,0.050202638761113264,-0.5668222570628859,0.7365269461077845
1191f865-b10a-45c8-9c48-24a980fd9402,motor_ctx,pre,875,27,0.5302548433061208,0.49787219252474824,0.04280702306003191,0.7564798592969116,0.21956087824351297
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,pre,875,115,0.5180797736653372,0.5002415195231197,0.03917821782507101,0.4553105049817355,0.35129740518962077
1191f865-b10a-45c8-9c48-24a980fd9402,striatum,pre,875,28,0.5164548246322489,0.4996696829361538,0.039982257410287575,0.4198147574272832,0.3373253493013972
1f095590-6669-46c9-986b-ccaf0620c5e9,ALL,pre,629,359,0.5353797746826842,0.5007955949782403,0.056928896085686,0.607497810117199,0.2834331337325349
1f095590-6669-46c9-986b-ccaf0620c5e9,ALL,early,629,359,0.48630834304009285,0.5003320490903834,0.055969324033451284,-0.25056057568086765,0.5948103792415169
1f095590-6669-46c9-986b-ccaf0620c5e9,hippocampus,pre,629,120,0.39893205912327606,0.4989168611679578,0.0391245687865369,-2.5555502628079414,0.998003992015968
1f095590-6669-46c9-986b-ccaf0620c5e9,thalamus,pre,629,120,0.5597813537404833,0.49315848919424365,0.06431248960395296,1.0359242031604496,0.1497005988023952
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,ALL,pre,546,240,0.49279612511907317,0.5000587263033767,0.07468342792694185,-0.0972451504423183,0.5449101796407185
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,ALL,early,546,240,0.4605768036287331,0.504303067064644,0.07108487442871668,-0.6151275329290936,0.720558882235529
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,hindbrain,pre,546,120,0.6181982263873674,0.5057413792704332,0.06977446669527447,1.6117191924671563,0.05788423153692615
26aa51ff-968c-42e4-85c8-8ff47d19254d,ALL,pre,444,480,0.45645505371683653,0.5366898410615553,0.08943933730572155,-0.8970861117906114,0.8223552894211577
26aa51ff-968c-42e4-85c8-8ff47d19254d,ALL,early,444,480,0.49143921747917646,0.5254810096495708,0.0739866889561012,-0.46010698208960904,0.6986027944111777
26aa51ff-968c-42e4-85c8-8ff47d19254d,cortex_other,pre,444,120,0.4499331661242522,0.5132465158088166,0.0680452122719514,-0.9304600216621343,0.8203592814371258
26aa51ff-968c-42e4-85c8-8ff47d19254d,hindbrain,pre,444,120,0.5011346523948982,0.5181463997448817,0.06252223702371093,-0.272091149642199,0.6007984031936128
26aa51ff-968c-42e4-85c8-8ff47d19254d,midbrain,pre,444,120,0.5341808958432934,0.5336873660293812,0.08949223613407416,0.005514777987811974,0.5089820359281437
32d27583-56aa-4510-bc03-669036edad20,ALL,pre,695,180,0.4770035352366156,0.4973822495963297,0.05899679050023581,-0.3454207286010356,0.6327345309381237
32d27583-56aa-4510-bc03-669036edad20,ALL,early,695,180,0.5273548651764459,0.49952270733097653,0.0598932826689266,0.4646958157113847,0.34530938123752497
32d27583-56aa-4510-bc03-669036edad20,hindbrain,pre,695,60,0.4693409276889548,0.5013184861268783,0.06166562333238956,-0.5185637752424614,0.720558882235529
5386aba9-9b97-4557-abcd-abc2da66b863,ALL,pre,921,315,0.5578447179314459,0.501875808519155,0.039153025825859396,1.429491290436231,0.05788423153692615
5386aba9-9b97-4557-abcd-abc2da66b863,ALL,early,921,315,0.6265867490339397,0.5032305880193437,0.0362800852594462,3.400106701305999,0.001996007984031936
5386aba9-9b97-4557-abcd-abc2da66b863,hippocampus,pre,921,120,0.505573948177931,0.5005811161172692,0.03244074231743235,0.15390622112795688,0.44510978043912175
5386aba9-9b97-4557-abcd-abc2da66b863,thalamus,pre,921,120,0.5900946010620307,0.49640319143375927,0.03834574456807438,2.4433326483449314,0.015968063872255488
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,ALL,pre,582,545,0.5037070838394564,0.48942487148528574,0.0683595203470732,0.2089279193542812,0.41916167664670656
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,ALL,early,582,545,0.5076113307353243,0.4860276188450574,0.07204244390870083,0.29959716410536874,0.37924151696606784
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,hindbrain,pre,582,12,0.5020548074167853,0.4926647299287981,0.04744750287069175,0.19790456651802932,0.4231536926147705
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,hippocampus,pre,582,120,0.5760046372716732,0.4898249115378812,0.06648310659806868,1.2962650234562814,0.0998003992015968
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,hypothalamus,pre,582,53,0.5854333150989309,0.5034474289167248,0.08605024689598255,0.9527675880036766,0.18762475049900199
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,motor_ctx,pre,582,120,0.5419842232260805,0.49694971656231157,0.04954036528140843,0.9090467219600734,0.19560878243512975
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,thalamus,pre,582,120,0.3908392784052255,0.49511714950586827,0.06181608809571574,-1.686905048717729,0.9580838323353293
5bcafa14-71cb-42fa-8265-ce5cda1b89e0,ALL,pre,346,360,0.8017886313092303,0.577146740157762,0.10881952406955216,2.0643528178627952,0.017964071856287425
5bcafa14-71cb-42fa-8265-ce5cda1b89e0,ALL,early,346,360,0.6652927291438653,0.5463975223007237,0.09530888698715433,1.2474724089388034,0.10379241516966067
5bcafa14-71cb-42fa-8265-ce5cda1b89e0,hindbrain,pre,346,120,0.6528997936303098,0.5220220464102718,0.08540986720704977,1.5323492647841896,0.0658682634730539
5bcafa14-71cb-42fa-8265-ce5cda1b89e0,midbrain,pre,346,120,0.7457477041080247,0.5674679804247202,0.10431346700667922,1.7090767740649362,0.043912175648702596
695a6073-eae0-49e0-bb0f-e9e57a9275b9,ALL,pre,561,480,0.3798491248632247,0.4964524353971472,0.07886399464469687,-1.4785367018149562,0.9261477045908184
695a6073-eae0-49e0-bb0f-e9e57a9275b9,ALL,early,561,480,0.41544556898973833,0.4988363407952222,0.07828047033516283,-1.065281946422153,0.8403193612774451
695a6073-eae0-49e0-bb0f-e9e57a9275b9,amygdala,pre,561,120,0.5259360044513747,0.4970661820525639,0.05191948535245506,0.5560498568664186,0.29141716566866266
695a6073-eae0-49e0-bb0f-e9e57a9275b9,cortex_other,pre,561,120,0.36029894439082916,0.49637187481572737,0.0747039128175469,-1.8214966966621404,0.9660678642714571
695a6073-eae0-49e0-bb0f-e9e57a9275b9,hippocampus,pre,561,120,0.47251148252063535,0.5062861298338242,0.0732031883280339,-0.4613821895549112,0.6806387225548902
746d1902-fa59-4cab-b0aa-013be36060d5,ALL,pre,570,441,0.5161379276854838,0.49465940591673085,0.07837497655006997,0.2740482066368644,0.405189620758483
746d1902-fa59-4cab-b0aa-013be36060d5,ALL,early,570,441,0.4900047471798065,0.4894909606254797,0.07597441396790908,0.006762626093356135,0.48303393213572854
746d1902-fa59-4cab-b0aa-013be36060d5,hindbrain,pre,570,51,0.49743272536527766,0.5084985244210151,0.08504496433402146,-0.13011704034909718,0.5329341317365269
746d1902-fa59-4cab-b0aa-013be36060d5,hippocampus,pre,570,120,0.5020059540527053,0.5119654137763,0.05394796076916664,-0.18461234830004744,0.5868263473053892
746d1902-fa59-4cab-b0aa-013be36060d5,hypothalamus,pre,570,30,0.5443858014308844,0.4995036295878018,0.05709962352702196,0.7860327103880551,0.21157684630738524
746d1902-fa59-4cab-b0aa-013be36060d5,thalamus,pre,570,120,0.4637499049573054,0.49447617873372646,0.05066492115066017,-0.6064605071633611,0.7025948103792415
7939711b-8b4d-4251-b698-b97c1eaa846e,ALL,pre,929,240,0.5040706292737709,0.5020275462793758,0.07205918703750441,0.028352845464821624,0.48502994011976047
7939711b-8b4d-4251-b698-b97c1eaa846e,ALL,early,929,240,0.45605963295718766,0.49680922603521804,0.06716404674554134,-0.6067173592504763,0.7345309381237525
7939711b-8b4d-4251-b698-b97c1eaa846e,hindbrain,pre,929,120,0.5245063066123837,0.49949124200337075,0.07253680032143466,0.3448603260436485,0.3812375249500998
872ce8ff-9fb3-485c-be00-bc5479e0095b,ALL,pre,353,371,0.46301765340894335,0.5079126016637086,0.07101557650333,-0.6321845215557748,0.7445109780439122
872ce8ff-9fb3-485c-be00-bc5479e0095b,ALL,early,353,371,0.5873613151592123,0.52186569893262,0.07287120598839983,0.8987859517107257,0.19161676646706588
872ce8ff-9fb3-485c-be00-bc5479e0095b,cortex_other,pre,353,120,0.4697513366957731,0.5115499023278305,0.07642056026756879,-0.5469544515992741,0.7005988023952096
872ce8ff-9fb3-485c-be00-bc5479e0095b,hippocampus,pre,353,120,0.5427858628430802,0.5054570642741103,0.06332513048741188,0.5894784311007506,0.2894211576846307
872ce8ff-9fb3-485c-be00-bc5479e0095b,visual_ctx,pre,353,104,0.5051841386898723,0.5101170002229214,0.05495574121926727,-0.08976062234093965,0.5429141716566867
88224abb-5746-431f-9c17-17d7ef806e6a,ALL,pre,362,509,0.4893982598834886,0.5126948846499682,0.06470421877843692,-0.36004800314880364,0.654690618762475
88224abb-5746-431f-9c17-17d7ef806e6a,ALL,early,362,509,0.4817913531353511,0.5247583770923688,0.06731962925030031,-0.6382540194519277,0.7604790419161677
88224abb-5746-431f-9c17-17d7ef806e6a,hippocampus,pre,362,120,0.5299443631836172,0.5316385252946816,0.06603814857798468,-0.025654294488038114,0.5189620758483033
88224abb-5746-431f-9c17-17d7ef806e6a,hypothalamus,pre,362,27,0.46292201130434896,0.4938573946865109,0.06211102896686375,-0.4980658652212313,0.6786427145708582
88224abb-5746-431f-9c17-17d7ef806e6a,midbrain,pre,362,120,0.5055527290434975,0.5061475552967357,0.06730280438458087,-0.008838060444544145,0.47904191616766467
88224abb-5746-431f-9c17-17d7ef806e6a,thalamus,pre,362,120,0.4283771888921056,0.4966952337542907,0.057896863146083936,-1.1799956189302816,0.8822355289421158
8c025071-c4f3-426c-9aed-f149e8f75b7b,ALL,pre,441,120,0.5639289556287084,0.5220644363172442,0.09103106385335208,0.4598926733285956,0.3213572854291417
8c025071-c4f3-426c-9aed-f149e8f75b7b,ALL,early,441,120,0.6228579402153553,0.5255889467251711,0.09588899741661756,1.0143915997741733,0.15568862275449102
8db36de1-8f17-4446-b527-b5d91909b45a,ALL,pre,1350,240,0.5038371091096807,0.5000007385252668,0.04111883558008074,0.09329959203106283,0.45109780439121755
8db36de1-8f17-4446-b527-b5d91909b45a,ALL,early,1350,240,0.5423936214377011,0.4992243465067427,0.04266859421267791,1.0117341742215573,0.13972055888223553
8db36de1-8f17-4446-b527-b5d91909b45a,hindbrain,pre,1350,120,0.5102252794778336,0.5000907434952528,0.03921504295392554,0.25843490709644223,0.3932135728542914
aa20388b-9ea3-4506-92f1-3c2be84b85db,ALL,pre,429,471,0.6969494714735673,0.5304593396429023,0.06943570492905769,2.397759654068,0.015968063872255488
aa20388b-9ea3-4506-92f1-3c2be84b85db,ALL,early,429,471,0.706389457132281,0.5229829853038065,0.07447509708965223,2.4626550215529353,0.005988023952095809
aa20388b-9ea3-4506-92f1-3c2be84b85db,midbrain,pre,429,120,0.6312643844672666,0.5214034768267394,0.06718529723169399,1.635192700892026,0.0499001996007984
