session,draw,region,beta
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.03807838
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.02902803
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,-0.027377468
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.029296663
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,-0.029054316
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.03816586
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,-0.022242758
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,-0.001935901
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,-0.05199355
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,-0.011615024
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,-0.06296808
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.0042153513
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,-0.023019275
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.07750007
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,-0.12153617
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.06421404
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.013595687
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.036839217
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.112479016
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.04269201
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,-0.012997784
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,-0.21951878
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.04910696
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,-0.061852105
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.06742556
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,-0.034493312
1191f865-b10a-45c8-9c48-24a980fd9402,0,striatum,0.00023698683
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,0.030486835
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,0.06562985
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,0.04004603
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,0.11124946
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,0.020972617
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,0.07088431
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,0.11579734
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,0.01809984
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,0.029348722
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,-0.045683764
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,0.059249766
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,-0.048867065
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,-0.0059047234
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,0.0801797
1191f865-b10a-45c8-9c48-24a980fd9402,0,olfactory,-0.011896503
