stim_on,signed_contrast,abs_contrast,choice_right,block_right,probability_left,is_mouse_rewarded,gabor_stimulus_side,prev_choice_right,prev_rewarded,prev_stim_right,quiescence_period,wheel_movement_onset_time,feedback_time,block_index,wheel_abs_vel,wheel_range,motion_energy,pupil
365.6442666666667,1.0,1.0,1,1,0.2,True,right,0.0,1.0,0.0,0.6527738987025311,365.69306666709224,365.84583333333336,1,0.010756335142650642,0.00153350830078125,,
368.3273,0.0625,0.0625,1,1,0.2,True,right,1.0,1.0,1.0,0.42293479197411266,368.61106666709577,368.74473333333333,1,0.0013946771972405258,,,
371.3107,0.0625,0.0625,1,1,0.2,True,right,1.0,1.0,1.0,0.48846433458557525,371.3560666670992,371.6788666666667,1,0.008912504406180233,0.001537322998046875,,
374.7607,0.0625,0.0625,1,1,0.2,True,right,1.0,1.0,1.0,0.5789512074491527,374.8080666671034,374.9518,1,0.011238739856053144,0.00153350830078125,,
378.1277,-0.125,0.125,1,1,0.2,False,left,1.0,1.0,1.0,0.44350824230754765,378.1620666671075,378.3164,1,0.029597102095140146,0.010738372802734375,,
382.21053333333333,0.25,0.25,1,1,0.2,True,right,1.0,0.0,0.0,0.5278438063993562,382.1620666671124,382.4216666666667,1,0.04777472685542307,0.013805389404296875,,
385.0437,-1.0,1.0,0,1,0.2,True,left,1.0,1.0,1.0,0.4446353846069788,385.20106666711615,385.32396666666665,1,0.018498165902565235,0.006134033203125,,
387.9941,0.125,0.125,1,1,0.2,True,right,0.0,1.0,0.0,0.5920048797630624,388.1460666671197,388.2673,1,0.0016958077609888279,,,
390.8106333333333,1.0,1.0,1,1,0.2,True,right,1.0,1.0,1.0,0.47923236392270646,390.882066667123,390.9995333333333,1,0.013113173174206167,0.004604339599609375,,
393.5772333333333,1.0,1.0,1,1,0.2,True,right,1.0,1.0,1.0,0.5146078103878482,393.69306666712646,393.7794333333333,1,0.005303723546094261,0.0,,
396.2436333333333,0.0,0.0,1,1,0.2,True,right,1.0,1.0,1.0,0.4046858049176478,396.3020666671297,396.54426666666666,1,0.038133957581740104,0.010738372802734375,,
399.27683333333334,0.125,0.125,1,1,0.2,True,right,1.0,1.0,1.0,0.6648264160693305,399.3620666671334,399.5365,1,0.006068350502173417,0.00153350830078125,,
402.09383333333335,1.0,1.0,1,1,0.2,True,right,1.0,1.0,1.0,0.4895459441234951,402.13806666713685,402.2706,1,0.0037374726228154033,,,
404.7771,1.0,1.0,1,1,0.2,True,right,1.0,1.0,1.0,0.45937805456424446,404.9140666671402,405.0106333333333,1,0.0019158012320986018,,,
407.51006666666666,0.0625,0.0625,0,1,0.2,False,right,1.0,1.0,1.0,0.4333192760797926,407.6790666671436,407.9741666666667,1,0.010203572497484856,0.00153350830078125,,
411.7272,1.0,1.0,1,1,0.2,True,right,0.0,0.0,1.0,0.684000211405883,411.79306666714865,411.8992666666667,1,0.005016742880106903,0.0,,
414.4098666666667,-0.0625,0.0625,1,1,0.2,False,left,1.0,1.0,1.0,0.45396776453134996,414.50806666715187,414.7287666666667,1,0.00218541337584611,,,
418.39343333333335,-0.0625,0.0625,0,1,0.2,True,left,1.0,0.0,0.0,0.48911042047718745,418.6360666671569,418.7364333333333,1,0.007007214006371214,0.00153350830078125,,
421.29316666666665,0.125,0.125,1,1,0.2,True,right,0.0,1.0,0.0,0.5044733345268151,421.37906666716026,421.55156666666664,1,0.007034648102926439,0.001537322998046875,,
425.1267,0.0625,0.0625,0,1,0.2,False,right,1.0,1.0,1.0,0.4021546406111322,426.892066667167,427.28996666666666,1,0.008631526249664602,0.001537322998046875,,
430.7598,1.0,1.0,1,1,0.2,True,right,0.0,0.0,1.0,0.40266063824671505,430.8430666671719,430.94753333333335,1,0.026677660108543933,0.009204864501953125,,
433.6100666666667,0.125,0.125,0,1,0.2,False,right,1.0,1.0,1.0,0.5971344894815944,433.7830666671755,434.1106,1,0.00356386879197089,0.0,,
437.6595,0.0625,0.0625,0,1,0.2,False,right,0.0,0.0,1.0,0.4759796400758648,437.8200666671804,437.99553333333336,1,0.0010441624417580897,,,
441.5928666666667,0.25,0.25,1,1,0.2,True,right,0.0,0.0,1.0,0.5282230072606326,441.7270666671852,441.8348,1,0.0023883431882131844,,,
444.39326666666665,0.0625,0.0625,0,1,0.2,False,right,1.0,1.0,1.0,0.4916644330569388,448.92606666719394,449.08976666666666,1,0.0010299438642687165,,,
452.7264,-0.25,0.25,0,1,0.2,True,left,0.0,0.0,1.0,0.5607161571961427,452.9220666671989,453.1083,1,0.002075384322888567,,,
455.6927,0.25,0.25,1,1,0.2,True,right,0.0,1.0,0.0,0.5056129378612002,455.84006666720245,455.94443333333334,1,0.0013133530685445294,,,
458.4927,0.25,0.25,1,1,0.2,True,right,1.0,1.0,1.0,0.47876508729658596,458.59606666720583,458.71483333333333,1,0.0024115605803672223,,,
461.29293333333334,0.0625,0.0625,1,1,0.2,True,right,1.0,1.0,1.0,0.5224942735159492,461.43306666720923,461.54336666666666,1,0.001303273534431355,,,
465.5429,0.0625,0.0625,0,1,0.2,False,right,1.0,1.0,1.0,0.6884894838114964,465.68806666721446,465.9279666666667,1,0.0037745883243042043,0.0,,
469.4263,-0.125,0.125,0,1,0.2,True,left,0.0,0.0,1.0,0.42313212005795264,469.5490666672192,469.80743333333334,1,0.007570237790860119,0.00153350830078125,,
472.47606666666667,-0.125,0.125,0,1,0.2,True,left,0.0,1.0,0.0,0.6108767610668107,473.6790666672242,473.87356666666665,1,0.006391019681104808,0.001537322998046875,,
476.4762666666667,0.0,0.0,0,1,0.2,False,right,0.0,1.0,0.0,0.541859694771345,476.66506666722785,476.8208666666667,1,0.00956339117954485,0.00153350830078125,,
