stim_on,signed_contrast,abs_contrast,choice_right,block_right,probability_left,is_mouse_rewarded,gabor_stimulus_side,prev_choice_right,prev_rewarded,prev_stim_right,quiescence_period,wheel_movement_onset_time,feedback_time,block_index,wheel_abs_vel,wheel_range,motion_energy,pupil
357.86854290035785,1.0,1.0,1,0,0.8,True,right,1.0,0.0,0.0,0.4549863557879827,358.05127138982476,358.23717270035826,1,0.001929384225368267,0.0,1.4637663488586743,15.78668176183211
360.76868619036077,-0.0625,0.0625,1,0,0.8,False,left,1.0,1.0,1.0,0.4651442235496877,360.9612713898232,361.16141358036117,1,0.01187014762312174,0.0030689239501953125,1.4922782282034557,19.493112712919054
366.32586375036635,-0.25,0.25,1,0,0.8,False,left,1.0,0.0,0.0,0.6652012638672258,366.48727138982014,366.84664500036683,1,0.005072179739436251,0.00153350830078125,1.4631208380063374,20.993410509659345
370.5928703403706,0.0,0.0,1,0,0.8,False,left,1.0,0.0,0.0,0.6711556864106456,370.76427138981774,370.93490280037093,1,0.007266179304788238,0.00153350830078125,1.4274987652897835,
374.64243201037465,-0.0625,0.0625,1,0,0.8,False,left,1.0,0.0,0.0,0.6351035087270187,374.8162713898155,375.017861130375,1,0.005247536038586987,0.0,1.5802137305339177,18.772415133389586
378.45915030037844,-0.25,0.25,1,0,0.8,False,left,1.0,0.0,0.0,0.41851304316640203,378.66427138981334,379.04445843037905,1,0.02372441998006252,0.00766754150390625,1.4620181669791539,18.79826087060307
383.15868030038314,0.0625,0.0625,1,0,0.8,True,right,1.0,0.0,0.0,0.6639986535571899,383.3952713898107,383.54240859038356,1,0.011945707940030843,0.0046024322509765625,1.308969606955846,14.776389350183308
386.1256835703861,-0.25,0.25,1,0,0.8,False,left,1.0,1.0,1.0,0.5560808039403312,386.508271389809,386.87964150038687,1,0.01731957198586315,0.00460052490234375,1.3363170127073924,22.237778639779815
391.10871855039113,-1.0,1.0,0,0,0.8,True,left,1.0,0.0,0.0,0.5187648655708105,391.2372713898064,391.33442931039133,1,0.01716731773718493,0.006137847900390625,1.4551118090748787,20.067487906703416
393.85127760039387,-0.0625,0.0625,1,0,0.8,False,left,0.0,1.0,0.0,0.47912416404092273,394.0662713898048,394.34252847039437,1,0.005182161720149452,0.0,1.3809673910339673,21.767929265763087
397.9254701403979,-1.0,1.0,0,0,0.8,True,left,1.0,0.0,0.0,0.5189175916669901,398.0572713898026,398.15344734039815,1,0.0016309284619637765,,1.348854087293148,17.69457829149663
400.81774755040084,-1.0,1.0,0,0,0.8,True,left,0.0,1.0,0.0,0.6143920301229235,400.91927138980105,401.1964430104012,1,0.007556193692653324,0.00153350830078125,1.9096645663181941,15.453783827356043
403.7418884404037,-0.25,0.25,1,0,0.8,False,left,0.0,1.0,0.0,0.48255347238371105,403.94327138979935,404.1080184904041,1,0.00921998687495943,0.00153350830078125,1.4424789970119793,16.176167451745034
408.1252500604081,-0.125,0.125,0,0,0.8,True,left,1.0,0.0,0.0,0.526107689256966,408.31727138979693,408.56897235040856,1,0.01472922298766207,0.00153350830078125,1.2758710235357285,14.99271908421118
411.06768912041105,-0.125,0.125,0,0,0.8,True,left,0.0,1.0,0.0,0.42711892423307907,411.2372713897953,411.37459176041136,1,0.023661222500231817,0.0092010498046875,1.2939554105202358,22.39267119388872
414.041858340414,0.0625,0.0625,1,0,0.8,True,right,0.0,1.0,0.0,0.607712863906301,417.0622713897921,417.3973894204174,1,0.00345173891808372,0.0,1.4702155912915866,16.318026269383456
420.04195827042,-0.0625,0.0625,1,0,0.8,False,left,1.0,1.0,1.0,0.562011508510144,420.3042713897903,420.4890802204205,1,0.007178737559224828,0.00153350830078125,1.1624289751052856,16.880770155677357
423.991429950424,-0.0625,0.0625,1,0,0.8,False,left,1.0,0.0,0.0,0.4229698052665254,424.1852713897881,424.3643259904244,1,0.0007830356586782727,,1.3285798132419586,16.547490022079728
428.000662320428,-0.25,0.25,0,0,0.8,True,left,1.0,0.0,0.0,0.4362696375309968,428.1702713897859,428.2629027604283,1,0.007302668655756861,0.00153350830078125,1.5897701978683472,17.87768051360278
430.75072062043074,-0.25,0.25,0,0,0.8,True,left,0.0,1.0,0.0,0.4308725264428792,430.9292713897844,431.00932809043104,1,0.005884115550288698,0.00153350830078125,1.4312299191951752,19.08595131686161
433.55057394043354,-0.125,0.125,0,0,0.8,True,left,0.0,1.0,0.0,0.4759558087195137,433.6752713897829,433.77261840043377,1,0.002493232755223289,,1.3748084952433903,19.450956103896413
436.4079881704364,-0.25,0.25,0,0,0.8,True,left,0.0,1.0,0.0,0.5506624962855895,436.40427138978134,436.63173246043664,1,0.015403775052473066,0.0046024322509765625,1.305346558491389,18.413131287498498
439.3078314904393,-0.25,0.25,0,0,0.8,True,left,0.0,1.0,0.0,0.6079390792448836,439.5652713897796,439.66962864043967,1,0.0017043389510945418,,1.3743112335602443,17.68633624616147
442.2412047904422,1.0,1.0,1,0,0.8,True,right,0.0,1.0,0.0,0.5079472484449543,442.35427138977803,442.53714186044255,1,0.00688927696144674,0.00153350830078125,1.2392945388952892,17.647070014808076
448.05768975044805,-0.0625,0.0625,1,0,0.8,False,left,1.0,1.0,1.0,0.457861911337878,448.29127138977475,448.47958089044846,1,0.049096600318225686,0.010738372802734375,1.2956016858418782,18.063717792632815
452.000128800452,-0.25,0.25,0,0,0.8,True,left,1.0,0.0,0.0,0.45260643622855257,452.1722713897726,452.2675687204523,1,0.000617140926187858,,1.4874227692683537,16.30195836846542
455.24080470045527,-0.125,0.125,1,0,0.8,False,left,0.0,1.0,0.0,0.5812394846428324,455.3612713897709,455.6787942304557,1,0.01845674247466377,0.0046024322509765625,1.4363139147559802,18.119818995687336
459.1914429304592,-0.125,0.125,1,0,0.8,False,left,1.0,0.0,0.0,0.435750341038521,459.3892713897686,459.53970810045956,1,0.008058772304502781,0.00153350830078125,1.3572430238127708,
463.0906863004631,0.25,0.25,1,0,0.8,True,right,1.0,0.0,0.0,0.45857460816000783,463.30027138976646,463.51807689046353,1,0.008072591601085151,0.00153350830078125,1.4184457585215569,
466.15751292046616,-0.0625,0.0625,1,0,0.8,False,left,1.0,1.0,1.0,0.5693180961727544,466.25627138976483,466.6149338404666,1,0.00617353453009855,0.0,1.4575920353333156,17.98993133903423
472.4243195104724,0.0625,0.0625,1,0,0.8,True,right,1.0,0.0,0.0,0.4542172228163966,472.6272713897613,472.7881164604728,1,0.017665314264668268,0.006137847900390625,1.11673770348231,20.420703919686883
475.4332519204754,0.0625,0.0625,1,0,0.8,True,right,1.0,1.0,1.0,0.551795307702327,475.60027138975965,475.7911161304758,1,0.0029857910864666336,0.0,1.3779620627562206,20.452499728096882
478.37362452047836,0.0,0.0,1,0,0.8,False,left,1.0,1.0,1.0,0.5137856769097118,478.6492713897579,478.978064070479,1,0.002634321703808382,0.0,1.431313306093216,18.282691652670717
483.1996752004832,0.25,0.25,1,1,0.2,True,right,1.0,0.0,0.0,0.573375214493211,483.2412713897554,483.5049113404835,2,0.039301602034829554,0.015338897705078125,1.2507721856236458,17.32626207620342
486.0742877104861,-0.125,0.125,1,1,0.2,False,left,1.0,1.0,1.0,0.48836563125768856,486.2532713897537,486.4622489104865,2,0.011008103346757708,0.00153350830078125,1.3595935304959614,16.783371355176012
490.6828934704907,0.125,0.125,1,1,0.2,True,right,1.0,0.0,0.0,0.46366484653865936,490.89027138975115,491.0882529304911,2,0.018390094486094313,0.0030670166015625,1.3282245993614197,18.982323275190236
493.8162801004938,0.0,0.0,1,1,0.2,True,right,1.0,1.0,1.0,0.6456937320739562,494.0312713897494,494.15274645049413,2,0.007504843448332394,0.00153350830078125,1.2744131485621135,19.11280886582972
496.63979772049663,-1.0,1.0,0,1,0.2,True,left,1.0,1.0,1.0,0.41857054385123016,496.7802713897479,496.88453991049687,2,0.011610178782575531,0.00153350830078125,1.2855510314305623,20.19425461503124
500.8068476405008,0.25,0.25,1,1,0.2,True,right,0.0,1.0,0.0,0.6077070090471297,500.9862713897456,501.1237492805011,2,0.009337441304232925,0.003070831298828125,1.3378644734621048,17.31595281854
503.64939669050364,0.0,0.0,1,1,0.2,True,right,1.0,1.0,1.0,0.44150092272807234,503.831271389744,503.964265200504,2,0.007757067521306453,0.00153350830078125,1.406656155983607,17.652393190148967
506.45694924050645,0.0625,0.0625,1,1,0.2,True,right,1.0,1.0,1.0,0.42175380755313807,506.65227138974245,506.8011814805068,2,0.004597612615907565,0.0,1.335739441215992,16.005406713872315
509.5064775905095,0.0625,0.0625,1,1,0.2,True,right,1.0,1.0,1.0,0.6499130792715822,509.4612713897409,509.5882694105096,2,0.12875848202587803,0.052154541015625,3.0246478865544,16.529812003233626
512.1069175205121,-0.0625,0.0625,1,1,0.2,False,left,1.0,1.0,1.0,0.4402884941895424,512.2242713897393,512.5384743605125,2,0.0016082295660453383,,1.4599827031294506,16.368720545239437
518.5065108305186,0.25,0.25,1,1,0.2,True,right,1.0,0.0,0.0,0.5707574111834313,518.6372713897358,518.7810833705188,2,0.015010737497359514,0.004604339599609375,1.3281628290812175,16.922934216808546
521.3993215205214,0.0,0.0,1,1,0.2,True,right,1.0,1.0,1.0,0.4451630343864127,521.6032713897341,521.7897158105218,2,0.02373904769847286,0.006137847900390625,1.3653941204150517,21.59244157936094
524.3992548305245,0.0625,0.0625,1,1,0.2,True,right,1.0,1.0,1.0,0.5264693920380942,524.6822713897325,524.8778069705248,2,0.00692758422344923,0.00153350830078125,1.5932140946388245,16.734039227875957
527.4824798105275,0.125,0.125,1,1,0.2,True,right,1.0,1.0,1.0,0.5155867409780548,527.7172713897309,527.8666080605278,2,0.029632314281479923,0.004604339599609375,5.080865393082301,18.07840750043397
530.7897157205308,-1.0,1.0,0,1,0.2,True,left,1.0,1.0,1.0,0.4709887604557603,530.910271389729,531.001227900531,2,0.012074037590064108,0.0030670166015625,1.1098653251926105,18.071278039652196
533.5897023605336,-1.0,1.0,0,1,0.2,True,left,0.0,1.0,0.0,0.5206364069977583,533.7142713897275,533.8111135505338,2,0.0026276782719651236,,1.3399555161595345,15.692445251804505
536.2817664605362,0.0,0.0,1,1,0.2,False,left,0.0,1.0,0.0,0.40060400264967366,536.4302713897259,536.5494063605365,2,0.008529272925516125,0.001537322998046875,1.4763682906826336,14.565657924167075
541.039523970541,0.125,0.125,1,1,0.2,True,right,1.0,0.0,0.0,0.5044444870452927,541.2152713897233,541.3852560605413,2,0.021242550298338755,0.00766754150390625,1.2678342039386432,18.623231218759127
543.8730072605439,0.0,0.0,1,1,0.2,True,right,1.0,1.0,1.0,0.400445155039618,544.1202713897217,544.3182627305443,2,0.009404983124695718,0.00153350830078125,1.4140443578362465,18.001560267565463
547.015492980547,0.25,0.25,1,1,0.2,True,right,1.0,1.0,1.0,0.6328282246877996,547.17927138972,547.3898555405474,2,0.007110645079374081,0.00153350830078125,1.4527705684304237,14.812891715982309
549.9389006105499,0.125,0.125,1,1,0.2,True,right,1.0,1.0,1.0,0.4628644210595191,550.1392713897184,550.2491695805503,2,0.014152474840084323,0.00153350830078125,1.312076839307944,17.181226430271636
552.981896280553,0.25,0.25,1,1,0.2,True,right,1.0,1.0,1.0,0.6443703777642431,553.1462713897167,553.3236621005533,2,0.00767747652484104,0.00153350830078125,1.3449901193380356,15.750337583289365
555.8487429005559,1.0,1.0,1,1,0.2,True,right,1.0,1.0,1.0,0.44662698156181097,556.0702713897151,556.2291715205562,2,0.00814913855661871,0.00153350830078125,1.5872590740521748,20.809257259010337
560.4819795305605,0.0625,0.0625,1,1,0.2,True,right,1.0,1.0,1.0,0.5254268693810975,560.6582713897126,560.8340776505609,2,0.007396472603140865,0.00153350830078125,1.4814121673504512,16.69955456914128
563.5225754405635,0.25,0.25,1,1,0.2,True,right,1.0,1.0,1.0,0.6044023967839576,563.7982713897109,563.923901970564,2,0.01860970803114469,0.004604339599609375,1.3287342513600986,
566.5725704105665,0.0,0.0,1,1,0.2,False,left,1.0,1.0,1.0,0.5498624976986426,566.7492713897092,566.8608749105668,2,0.004529452980787028,0.0,1.561539426445961,18.596815786038253
570.4390170605704,0.25,0.25,1,1,0.2,True,right,1.0,0.0,0.0,0.45798569170994596,570.566271389707,570.7256883905708,2,0.0022022893658140675,,1.3273721386988957,17.42980203011636
573.2483027705732,0.125,0.125,1,1,0.2,True,right,1.0,1.0,1.0,0.4390492909264446,573.4202713897055,573.5520057305736,2,0.012190212436107685,0.00153350830078125,1.2843742296099663,17.85939451996819
576.0481560905761,0.25,0.25,1,1,0.2,True,right,1.0,1.0,1.0,0.4044872279739849,576.1872713897039,576.3384270605764,2,0.009799110142921563,0.00153350830078125,1.5022114937504132,18.07105304871705
578.8552420205789,1.0,1.0,1,1,0.2,True,right,1.0,1.0,1.0,0.44475079663292216,583.7172713896998,583.9445330405839,2,0.01585108413695707,0.00153350830078125,1.388071412841479,18.066687303464278
586.8051136205868,1.0,1.0,1,1,0.2,True,right,1.0,1.0,1.0,0.6816729678585624,586.986271389698,587.1660441905872,2,0.013653919251664775,0.00153350830078125,1.4895694429675739,17.824859648918693
589.9051369205899,0.125,0.125,1,1,0.2,True,right,1.0,1.0,1.0,0.5906480382035362,589.9012713896964,590.1678439805902,2,0.00979975585010834,0.00153350830078125,1.571176178753376,17.16630657349985
592.7884152305928,-0.25,0.25,0,1,0.2,True,left,1.0,1.0,1.0,0.44916883588387635,592.9402713896947,593.6906583305937,2,0.011005469943920616,0.00153350830078125,1.478555105626583,17.354114891485853
596.5477392605966,1.0,1.0,1,1,0.2,True,right,0.0,1.0,0.0,0.686846920310597,596.7352713896926,597.3330607205974,2,0.006047737946937559,0.00153350830078125,1.407968873778979,15.900194099609507
599.9051034905999,0.0625,0.0625,1,1,0.2,True,right,1.0,1.0,1.0,0.4024985263990132,600.1082713896907,600.3277612206003,2,0.01078010253040702,0.00153350830078125,1.3983351836601894,19.88370236045739
602.947399230603,0.0625,0.0625,1,1,0.2,True,right,1.0,1.0,1.0,0.4580556436250461,603.0952713896891,603.2593680306032,2,0.015402251264022197,0.00460052490234375,1.3210340961813927,19.890776265228244
605.997594180606,-0.25,0.25,0,1,0.2,True,left,1.0,1.0,1.0,0.5607746113828818,606.1152713896873,606.6870918906067,2,0.021292489368206588,0.006137847900390625,1.260381152232488,17.98148065714243
609.5640375006095,0.125,0.125,1,1,0.2,True,right,0.0,1.0,0.0,0.5435099504043523,609.7782713896853,610.0024936506101,2,0.003273872623103671,0.0,1.405618357161681,18.29037197032206
612.6142324506126,-0.25,0.25,0,1,0.2,True,left,1.0,1.0,1.0,0.45110128372961456,612.7732713896837,612.8698735506129,2,0.004657057213917142,0.00153350830078125,1.410337895154953,
