subject,eid,trials,units,blocks,w,C,accuracy,null,p,choice acc
ZM-1897,dd4da095-4a99-4bf3-9727-f735077dba66,296,931,6,81,0.01,0.706,0.494,0.002,0.526
CSHL059,37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0,400,489,12,81,0.01,0.664,0.505,0.004,0.526
ZM-2241,ff4187b5-4176-4e39-8894-53a24b7cf36b,652,696,14,81,0.01,0.662,0.509,0.002,0.516
SWC-043,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,417,480,9,81,0.01,0.661,0.491,0.002,0.519
CSH-ZAD-019,5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,474,716,12,81,0.01,0.65,0.478,0.002,0.556
CSH-ZAD-026,81a78eac-9d36-4f90-a73a-7eb3ad7f770b,990,509,19,81,0.01,0.634,0.494,0.002,0.534
NR-0020,eacc49a9-f3a1-49f1-b87f-0972f90ee837,685,349,14,81,0.01,0.631,0.473,0.002,0.527
NR-0031,642c97ea-fe89-4ec9-8629-5e492ea4019d,363,373,9,81,0.01,0.626,0.517,0.02,0.515
ZFM-01935,1a507308-c63a-4e02-8f32-3239a07dc578,465,912,13,81,0.01,0.618,0.478,0.004,0.547
DY-014,b39752db-abdb-47ab-ae78-e8608bbf50ed,532,263,12,81,0.01,0.611,0.484,0.002,0.616
KS014,16693458-0801-4d35-a3f1-9115c7e5acfd,414,634,11,81,0.01,0.607,0.529,0.0659,0.563
UCLA037,bda2faf5-9563-4940-a80f-ce444259e47b,373,388,9,81,0.01,0.573,0.479,0.022,0.488
SWC-038,4d8c7767-981c-4347-8e5e-5d5fffe38534,609,364,17,81,0.01,0.568,0.518,0.0739,0.517
