session,unit,cell_type,location,state,n_spikes,rate,mrl,pref_phase,rayleigh_p,theta_channel,null_mrl_mean,null_mrl_p95,shuffle_p,n_matched,mrl_matched,pref_matched
Achilles_ses-Achilles-10252013,0,excitatory,lCA1,run,863,0.6333093161334749,0.029510383328848894,1.2764706757822353,0.4717610064100387,34,0.03542543286590703,0.06770751361857576,0.5870646766169154,863,0.02951038,1.2764707
Achilles_ses-Achilles-10252013,1,inhibitory,lCA1,run,30717,22.541555346085683,0.1317082260019515,3.154010526318193,3.78280185752692e-233,34,0.004716249414470472,0.009694390902090472,0.004975124378109453,16025,0.13822836,3.1640399
Achilles_ses-Achilles-10252013,2,excitatory,lCA1,run,185,0.13576155676094187,0.4878055665163567,0.477518755117056,4.444629919748615e-21,34,0.06634443108576342,0.12804843262316973,0.004975124378109453,185,0.48780555,0.47751877
Achilles_ses-Achilles-10252013,3,excitatory,lCA1,run,4049,2.9713434774327223,0.05387426100174126,4.028041506216811,7.818257291406295e-06,34,0.015606998319547698,0.03192744472235203,0.004975124378109453,2090,0.05769475,3.8602052
Achilles_ses-Achilles-10252013,4,excitatory,lCA1,run,1272,0.9334524335130706,0.09558273615076089,4.133513112725573,8.779118923727938e-06,34,0.029176211951337145,0.05515646732831473,0.004975124378109453,323,0.09997503,4.1607676
Achilles_ses-Achilles-10252013,5,excitatory,lCA1,run,1028,0.7543939478391797,0.14865004308105095,4.019162670946738,1.21487640708185e-10,34,0.02687039926777463,0.05724665362283391,0.004975124378109453,642,0.15317668,4.2750115
Achilles_ses-Achilles-10252013,6,excitatory,lCA1,run,2801,2.0555033539859364,0.06361951097019068,1.4960092750550216,1.1812519262962708e-05,34,0.019119447402630652,0.03623737625453604,0.004975124378109453,2801,0.06361951,1.4960092
Achilles_ses-Achilles-10252013,7,excitatory,lCA1,run,1339,0.9826201324481144,0.18544542159756722,4.0423050943951395,6.826819522893135e-21,34,0.027009899167509885,0.05044687680182099,0.004975124378109453,1339,0.18544543,4.042305
Achilles_ses-Achilles-10252013,8,excitatory,lCA1,run,2307,1.6929833051215832,0.1384055961536676,4.1806558418818565,5.230883329862594e-20,34,0.021114791225578567,0.04144742797430377,0.004975124378109453,2307,0.13840558,4.180656
Achilles_ses-Achilles-10252013,9,inhibitory,lCA1,run,37376,27.42823754322683,0.3253224662675294,2.120423196023841,0.0,34,0.006916559068073123,0.013617951814540074,0.004975124378109453,8758,0.32442853,2.1164813
Achilles_ses-Achilles-10252013,10,inhibitory,lCA1,run,16699,12.2544985748701,0.06563488217300152,0.621379216911383,5.306792132856938e-32,34,0.0070757068355824645,0.01378040743873778,0.004975124378109453,16699,0.065634884,0.62137926
Achilles_ses-Achilles-10252013,11,excitatory,lCA1,run,4929,3.617128179863149,0.06309362039690214,1.9739766046212923,2.9573934287664566e-09,34,0.01650905221481731,0.03154357340618174,0.004975124378109453,2711,0.06678829,1.8870679
Achilles_ses-Achilles-10252013,12,excitatory,lCA1,run,244,0.1790584856738909,0.10158435543894151,5.845939681520642,0.08051841381631891,34,0.07998676168503037,0.14568666845371414,0.29850746268656714,244,0.10158436,5.84594
Achilles_ses-Achilles-10252013,13,excitatory,lCA1,run,1470,1.0787539915599165,0.08328577500252007,3.7564548292049285,3.676575845801095e-05,34,0.02845271471513462,0.05566731794637305,0.004975124378109453,747,0.096322715,3.8249397
Achilles_ses-Achilles-10252013,14,excitatory,lCA1,run,2658,1.950563339840992,0.14277833841261395,3.9645623160758223,2.244141091165565e-24,34,0.020120392209620936,0.03775227713630709,0.004975124378109453,1765,0.14632578,4.004599
Achilles_ses-Achilles-10252013,15,excitatory,lCA1,run,1208,0.8864862733363124,0.036962073199095696,3.861183806213603,0.19200306664668018,34,0.03057154969833483,0.06245086770739229,0.3383084577114428,1208,0.036962073,3.861184
Achilles_ses-Achilles-10252013,16,excitatory,lCA1,run,1988,1.4588863504905538,0.07879084207856653,0.483309543689535,4.2969994916562155e-06,34,0.024500825908345833,0.048479709620039106,0.004975124378109453,936,0.053818267,0.47795644
Achilles_ses-Achilles-10252013,17,excitatory,lCA1,run,3357,2.463521870521524,0.15032481846164833,4.040615171702841,7.43302085933894e-34,34,0.018701138721438467,0.0398761032309916,0.004975124378109453,1924,0.14903739,3.9968026
Achilles_ses-Achilles-10252013,18,excitatory,lCA1,run,3541,2.5985495810297037,0.13242392477814302,2.975576953417595,8.25905565070473e-28,34,0.019268624075828786,0.039482315371187626,0.004975124378109453,1665,0.12837431,2.9435146
Achilles_ses-Achilles-10252013,19,excitatory,lCA1,run,760,0.5577231520990045,0.06718564158485983,3.5922804420768104,0.03231612699488485,34,0.03259055106334692,0.06287684740667558,0.04477611940298507,569,0.073204815,4.050785
Achilles_ses-Achilles-10252013,20,excitatory,lCA1,run,381,0.2795954223022641,0.2555887049197955,4.536526246885149,1.0548285662507686e-11,34,0.05386434721451556,0.10477100809750967,0.004975124378109453,381,0.2555887,4.5365267
Achilles_ses-Achilles-10252013,21,inhibitory,lCA1,run,23271,17.077336148020965,0.27658045502160994,1.9543689919286549,0.0,34,0.008208530643407905,0.016039897740164316,0.004975124378109453,23271,0.27658045,1.954369
Achilles_ses-Achilles-10252013,22,inhibitory,lCA1,run,14546,10.67452759267384,0.16893498692621303,2.017800388751855,2.589500838695969e-182,34,0.007661112321551488,0.014901151455503503,0.004975124378109453,14546,0.16893502,2.0178003
Achilles_ses-Achilles-10252013,23,excitatory,lCA1,run,2859,2.0980664366461235,0.16608255988131262,3.8718891416622747,3.294074680278881e-35,34,0.02189822295595919,0.04534343378333241,0.004975124378109453,1214,0.20200574,3.9327152
Achilles_ses-Achilles-10252013,24,excitatory,lCA1,run,1723,1.264417093508664,0.08606935564181178,3.9420177498267712,2.8056562141344723e-06,34,0.028416771762597392,0.052531523144133396,0.004975124378109453,294,0.13766891,4.041044
Achilles_ses-Achilles-10252013,25,excitatory,lCA1,run,3111,2.282995692342109,0.03134806709589091,2.38778745867801,0.047007712861237526,34,0.019461547583086686,0.03783140462111606,0.14925373134328357,1853,0.039733797,2.6948974
Achilles_ses-Achilles-10252013,26,excitatory,lCA1,run,571,0.4190262103270152,0.13915949209835723,3.745166221482037,1.5084172887378052e-05,34,0.04066997223125008,0.0874909365960578,0.004975124378109453,571,0.13915949,3.7451663
Achilles_ses-Achilles-10252013,27,excitatory,lCA1,run,2385,1.7502233128370075,0.1017283417738863,3.524889696816563,1.8002374732048092e-11,34,0.02123280234554215,0.039263905334774994,0.004975124378109453,2385,0.10172835,3.52489
