session,file,duration_s,n_units,n_hd,frac_hd,n_author_hd,agree_exc,n_exc,n_fs,n_fs_hd,median_mvl_hd,decode_err_deg,n_decode_cells,rot_coherence,rot_resid_deg,n_cross_env,rot_offset_deg
A1808,sub-A1808_ses-190807_behavior+ecephys+ogen.nwb,912.492,101,37,0.36633663366336633,29,0.9375,32,11,4,0.7630209931844751,9.31563594789987,51,,,0,
A1813,sub-A1813_ses-190408_behavior+ecephys+ogen.nwb,1042.092,70,38,0.5428571428571428,30,0.9354838709677419,31,17,1,0.7006263012040672,11.24725093464826,48,,,0,
A1815,sub-A1815_ses-190523_behavior+ecephys+ogen.nwb,907.416,65,43,0.6615384615384615,33,0.9142857142857143,35,14,8,0.4873267706944698,10.231159812526078,41,,,0,
A1821,sub-A1821_ses-190910_behavior+ecephys+ogen.nwb,2706.984,74,53,0.7162162162162162,37,0.9473684210526315,38,16,8,0.5746930868513267,9.416057493673897,59,,,0,
A1824,sub-A1824_ses-190827_behavior+ecephys+ogen.nwb,1207.764,70,53,0.7571428571428571,39,0.95,40,16,10,0.5758494044106741,8.541499764960678,58,,,0,
A3701,sub-A3701_ses-191119_behavior+ecephys.nwb,2541.132,102,92,0.9019607843137255,71,0.9859154929577465,71,11,8,0.7268164781745641,11.47823584458864,96,0.9792152718127638,4.129908270314646,66,37.900083068774414
A3702,sub-A3702_ses-191126_behavior+ecephys.nwb,2552.292,90,83,0.9222222222222223,61,0.9365079365079365,63,16,13,0.6835323792639286,7.618338717129463,84,0.9723433764671597,5.556054313210382,58,2.5408696948094214
A3703,sub-A3703_ses-191215_behavior+ecephys.nwb,2416.608,103,89,0.8640776699029126,65,0.9558823529411765,68,20,14,0.6410563236287276,9.28761432767844,98,0.9892947180713977,5.020876998498397,59,335.1667316455854
A3705,sub-A3705_ses-200306_behavior+ecephys.nwb,2638.692,117,98,0.8376068376068376,66,0.9436619718309859,71,25,18,0.5010654377694213,9.168528037505325,108,0.9928983103728879,3.927493845946767,58,10.006080261913738
A3706,sub-A3706_ses-200313_behavior+ecephys.nwb,2406.744,126,110,0.873015873015873,86,0.9666666666666667,90,20,14,0.7095264765666911,6.79020035493489,117,0.9617410048495791,4.5981674976298885,81,167.86430686959693
A3707,sub-A3707_ses-200317_behavior+ecephys.nwb,1807.74,185,126,0.6810810810810811,117,0.944,125,30,6,0.793719951070982,11.725117367824852,132,0.9615730681896754,9.469677925219633,106,37.57534693274953
A3708,sub-A3708_ses-200317b_behavior+ecephys.nwb,1904.0,78,59,0.7564102564102564,44,0.9148936170212766,47,11,5,0.6749013851679917,8.302891683440642,60,0.9608616339905428,5.962093065104636,38,19.394426078724432
