path,n_units,n_hd,loc,wake_tags
sub-A1808_ses-190807_behavior+ecephys+ogen.nwb,101,29,Postsubiculum,wake_square:912s;wake_opto:2709s
sub-A1813_ses-190408_behavior+ecephys+ogen.nwb,70,30,Postsubiculum,wake_square:1042s;wake_opto:2759s
sub-A1815_ses-190523_behavior+ecephys+ogen.nwb,65,33,Postsubiculum,wake_square:907s;wake_opto:2708s
sub-A1821_ses-190910_behavior+ecephys+ogen.nwb,74,37,Postsubiculum,wake_square:2707s;wake_opto:2720s
sub-A1824_ses-190827_behavior+ecephys+ogen.nwb,70,39,Postsubiculum,wake_square:1208s;wake_opto:2712s
sub-A3701_ses-191119_behavior+ecephys.nwb,102,71,Postsubiculum,wake_square:2541s;wake_triangle:2415s
sub-A3702_ses-191126_behavior+ecephys.nwb,90,61,Postsubiculum,wake_square:2552s;wake_triangle:2408s
sub-A3703_ses-191215_behavior+ecephys.nwb,103,65,Postsubiculum,wake_square:2417s;wake_triangle:2138s
sub-A3705_ses-200306_behavior+ecephys.nwb,117,66,Postsubiculum,wake_square:2639s;wake_triangle:2488s
sub-A3706_ses-200313_behavior+ecephys.nwb,126,86,Postsubiculum,wake_square:2407s;wake_triangle:2407s
sub-A3707_ses-200317_behavior+ecephys.nwb,185,117,Postsubiculum,wake_square:1808s;wake_triangle:1240s
sub-A3708_ses-200317b_behavior+ecephys.nwb,78,44,Postsubiculum,wake_square:1904s;wake_triangle:1743s
sub-A3709_ses-200601_behavior+ecephys.nwb,64,21,Postsubiculum,wake_square:1886s
sub-A3710_ses-200609_behavior+ecephys.nwb,107,80,Postsubiculum,wake_square:2415s;wake_triangle:2406s
sub-A3711_ses-200810b_behavior+ecephys.nwb,142,90,Postsubiculum,wake_square:2409s;wake_triangle:2462s
sub-A3712_ses-200903a_behavior+ecephys.nwb,126,73,Postsubiculum,wake_square:1807s;wake_triangle:1806s
sub-A3713_ses-200909a_behavior+ecephys.nwb,88,25,Postsubiculum,wake_square:1822s;wake_triangle:1806s
sub-A3716_ses-201015b_behavior+ecephys.nwb,147,93,Postsubiculum,wake_square:1826s;wake_triangle:1809s
sub-A3717_ses-201021_behavior+ecephys.nwb,98,59,Postsubiculum,wake_square:1808s;wake_triangle:1806s
sub-A3723_ses-201115_behavior+ecephys.nwb,68,37,Postsubiculum,wake_square:2407s;wake_triangle:2431s
sub-A3728_ses-210309b_behavior+ecephys.nwb,42,27,Postsubiculum,wake_square:1809s;wake_triangle:1806s
sub-A3730_ses-210323b_behavior+ecephys.nwb,77,47,Postsubiculum,wake_square:2408s;wake_triangle:1811s
sub-A5505_ses-200831_behavior+ecephys.nwb,55,30,Postsubiculum,wake_square:1809s;wake_triangle:1807s
sub-A5506_ses-200914a_behavior+ecephys.nwb,49,24,Postsubiculum,wake_square:1809s;wake_triangle:1807s
sub-A5507_ses-200920_behavior+ecephys.nwb,96,43,Postsubiculum,wake_square:1824s;wake_triangle:1811s
sub-A5508_ses-200930_behavior+ecephys.nwb,52,33,Postsubiculum,wake_square:1816s;wake_triangle:1814s
sub-A5801_ses-200924_behavior+ecephys.nwb,46,26,Postsubiculum,wake_square:2425s
sub-A6211_ses-210407_behavior+ecephys+ogen.nwb,61,36,Postsubiculum,wake_square:1212s;wake_opto:2705s
sub-A6215_ses-210610_behavior+ecephys+ogen.nwb,56,29,Postsubiculum,wake_square:973s;wake_opto:2715s
sub-A6216_ses-210623_behavior+ecephys+ogen.nwb,75,44,Postsubiculum,wake_square:1208s;wake_opto:2720s
sub-A9701_ses-210805_behavior+ecephys+ogen.nwb,61,38,Postsubiculum,wake_square:1222s;wake_opto:2711s
