unit,mvl,mvl_tc,pref_dir,peak_rate,mean_rate,hd_info,p_shift,stability,author_hd,is_fs,is_exc,hd_cell
0,0.024542275379545217,0.02631509692460545,5.681111259970649,61.74008834462291,41.99774303826878,0.015438061261034487,0.231,0.197836438392243,False,True,False,False
1,0.9539900718338341,0.9539910838792972,0.894637879949506,25.745908128128896,3.118258156593315,2.0867400810957686,0.0,0.9712964590342762,True,False,True,True
2,0.7616616305454849,0.7616616305454832,1.6698637861194132,2.960961218536097,0.5166672198435616,1.3584415980409696,0.0,0.84182253798561,True,False,True,True
3,0.4617759266564522,0.4618000293452672,0.8117471715122633,14.22087856790851,2.7581399980085632,1.0728711669343525,0.0,0.6755545315522011,True,False,True,True
4,0.4291496429756719,0.43032366657364535,4.6476360298909505,2.345014303272241,0.3993937181231814,0.9539016873478368,0.012,0.0790115737097718,False,False,False,False
5,0.2443185545421829,0.24684594890931524,5.730407812728634,5.330079569319964,1.879695088895527,0.185780665698233,0.0,0.1849549593682388,False,False,True,False
6,0.15750432368336595,0.1592595086042051,5.69564572191547,10.548122582397513,4.6046444732096425,0.11104349572572111,0.0,0.16392514552734333,False,False,True,False
7,0.753629802541006,0.7548021949487674,4.438403621767155,6.7591588741376345,0.9901866418843418,1.409896456865843,0.0,0.8775103443021997,True,False,True,True
8,0.4688911534231199,0.4688911534231195,4.482845200719515,0.5887422204698045,0.07799794218195094,1.1850233591216914,0.023,0.013293229561011383,False,False,False,False
9,0.3731272556879816,0.3731272556879816,6.223091995601424,2.5804205870312105,0.2738225629791895,1.3588730984605542,0.298,0.2093619472659371,False,False,False,False
10,0.4036038094065097,0.40342953623101035,1.367231245329276,15.528981822153353,4.241760430150354,0.7385182697946884,0.0,0.6996236283050428,True,False,True,True
11,0.8899288533700228,0.8898734780535019,1.0387847086562656,11.235279752546504,1.2889021651343666,1.5682863375411595,0.0,0.8481350139261602,True,False,True,True
12,0.06143865651198222,0.06510645282674991,4.506039547526099,70.32743876186063,41.23269939261177,0.0619154311238618,0.211,0.2982286318868209,False,True,False,False
13,0.25757895908053313,0.25756367606161457,3.6169465472683613,5.633101585651565,1.690508590837178,0.35555943475796065,0.0,0.3425729387013527,True,False,True,False
14,0.8998194844278778,0.8998194844278768,0.4298378364404899,19.5929026721773,1.9886709371922953,1.9793912439302404,0.0,0.8431343679542513,True,False,True,True
15,0.29032918322018325,0.29014313786951795,0.8136931946833853,20.653553970822532,3.127662163806742,0.8341218020787261,0.0,0.8716805158335172,True,False,True,True
16,0.5372518867642017,0.5385890714021565,5.1685847539698235,13.659481595251206,1.9156515870645114,0.8206319593326268,0.0,0.8141586936128168,True,False,True,True
17,0.14305739982316773,0.1433933662275309,6.07820101393577,6.049857485549435,1.5721287353269828,0.1478919962869953,0.099,0.3031120829204694,False,False,True,False
18,0.6414607422074934,0.6414297287235736,3.8701436446600908,25.20013373964584,3.1204708641729453,1.6887571802702461,0.0,0.8956775295632976,True,False,True,True
19,0.835544655614543,0.8349523336678422,4.022752050633726,15.57169783493621,1.642935377875137,2.0652027750403503,0.0,0.9419124995094262,True,False,True,True
20,0.9529179481687018,0.9527587548436458,5.433017811725205,18.004972319396117,1.254052020755197,2.8010062104710656,0.0,0.9559669069168611,True,False,True,True
21,0.4561521454588367,0.4582952176082186,5.066938027543417,5.858957073755519,0.8054255589852523,1.1556392993039504,0.0,0.7526873356671606,True,False,True,True
22,0.10717361696592624,0.10625855804202017,0.5662466056872745,8.505446121255261,4.70310996050317,0.031997343748644866,0.0,0.3163363354088072,False,False,True,False
23,0.9585563170900835,0.9584956559450531,0.48915735458138415,10.90568605976692,0.844147941628774,2.5552244958923014,0.0,0.8457106400500933,True,False,True,True
24,0.7996174886559859,0.7996414825763234,6.0441698359572245,16.037507150086462,1.0134200714704549,1.8366663982933695,0.0,0.948807955120281,True,False,True,True
25,0.06281309047293458,0.06442838488514306,0.11904610237739158,1.8225955974118415,0.7274276168033014,0.08648747762708939,0.193,-0.1508587140969597,False,False,True,False
26,0.10356651107694645,0.10326739674616213,0.32843760675614014,79.84015021543861,49.90872581234027,0.04636592822987148,0.0,0.30395526986020516,False,True,False,False
27,0.9155297653830232,0.9127389111707713,3.215445879916988,24.908806497961837,3.2277871817849912,2.1006796222910307,0.0,0.910811151924861,True,False,True,True
28,0.642682110586869,0.6420783337330138,1.838638582051293,11.83771261133068,2.166793897352495,1.0422755348305606,0.0,0.6900574416309093,True,False,True,True
