session,area,task,n_units,acc,sd,chance,kind
721123822,VISp,direction,5,0.3698021708683473,0.11110148375348067,0.125,observed
721123822,VISp,direction,10,0.5077450980392156,0.08759943035987083,0.125,observed
721123822,VISp,direction,20,0.7265721288515407,0.0498767192326961,0.125,observed
721123822,VISp,direction,40,0.8398792016806722,0.007381377378616219,0.125,observed
721123822,VISp,direction,5,0.12163340336134454,0.009013434614042125,0.125,shuffled
721123822,VISp,direction,10,0.12688375350140058,0.013668319738720987,0.125,shuffled
721123822,VISp,direction,20,0.1237394957983193,0.008072064181534078,0.125,shuffled
721123822,VISp,direction,40,0.12688550420168065,0.0089107031000471,0.125,shuffled
721123822,VISp,orientation,5,0.6059401260504202,0.15786989498243897,0.25,observed
721123822,VISp,orientation,10,0.7439653361344538,0.09475595189317858,0.25,observed
721123822,VISp,orientation,20,0.9529569327731092,0.03999103918535109,0.25,observed
721123822,VISp,orientation,40,0.9914268207282914,0.0010014112724936988,0.25,observed
721123822,VISp,orientation,5,0.2587710084033613,0.01933653174935572,0.25,shuffled
721123822,VISp,orientation,10,0.2518732492997199,0.01670784955866979,0.25,shuffled
721123822,VISp,orientation,20,0.2559086134453782,0.0131831993850826,0.25,shuffled
721123822,VISp,orientation,40,0.24687675070028015,0.013675868183474067,0.25,shuffled
721123822,VISl,direction,5,0.5633175770308123,0.07648898807399875,0.125,observed
721123822,VISl,direction,10,0.6534576330532212,0.04361069580235273,0.125,observed
721123822,VISl,direction,20,0.7873984593837535,0.016031187223696397,0.125,observed
721123822,VISl,direction,5,0.12352065826330531,0.024598879690472482,0.125,shuffled
721123822,VISl,direction,10,0.12793242296918766,0.009791731460830606,0.125,shuffled
721123822,VISl,direction,20,0.122296918767507,0.014497323970107414,0.125,shuffled
721123822,VISl,orientation,5,0.8204341736694678,0.07981563301091273,0.25,observed
721123822,VISl,orientation,10,0.9262062324929972,0.03134848128736629,0.25,observed
721123822,VISl,orientation,20,0.9818154761904763,0.0172867687270565,0.25,observed
721123822,VISl,orientation,5,0.24416666666666667,0.02849851670555963,0.25,shuffled
721123822,VISl,orientation,10,0.2502240896358543,0.015860481917664,0.25,shuffled
721123822,VISl,orientation,20,0.24934873949579833,0.016600853097498328,0.25,shuffled
721123822,VISal,direction,5,0.4251383053221288,0.08468971127367507,0.125,observed
721123822,VISal,direction,10,0.5953151260504201,0.08871349591393814,0.125,observed
721123822,VISal,direction,20,0.7966071428571428,0.04324560526134832,0.125,observed
721123822,VISal,direction,5,0.11955532212885153,0.012485385123486212,0.125,shuffled
721123822,VISal,direction,10,0.12919817927170868,0.01991152850709749,0.125,shuffled
721123822,VISal,direction,20,0.11809173669467787,0.012090203297502381,0.125,shuffled
721123822,VISal,orientation,5,0.6155812324929972,0.05496425260913547,0.25,observed
721123822,VISal,orientation,10,0.7608771008403361,0.07389870413581626,0.25,observed
721123822,VISal,orientation,20,0.9107457983193277,0.02224921145735266,0.25,observed
721123822,VISal,orientation,5,0.25525035014005604,0.016531823997159092,0.25,shuffled
721123822,VISal,orientation,10,0.2470325630252101,0.02289520866974206,0.25,shuffled
721123822,VISal,orientation,20,0.24163340336134453,0.020744763755243707,0.25,shuffled
721123822,VISrl,direction,5,0.3388252801120448,0.056563463294191124,0.125,observed
721123822,VISrl,direction,10,0.5067156862745097,0.06913047830574398,0.125,observed
721123822,VISrl,direction,20,0.6947916666666667,0.030025203287595163,0.125,observed
721123822,VISrl,direction,40,0.8248144257703082,0.013425781101608018,0.125,observed
721123822,VISrl,direction,5,0.1364810924369748,0.020981852678573387,0.125,shuffled
721123822,VISrl,direction,10,0.12099789915966386,0.01423944102318111,0.125,shuffled
721123822,VISrl,direction,20,0.11848739495798319,0.01754124242798965,0.125,shuffled
721123822,VISrl,direction,40,0.12604691876750698,0.014413526782626453,0.125,shuffled
721123822,VISrl,orientation,5,0.5238182773109245,0.10440941184563306,0.25,observed
721123822,VISrl,orientation,10,0.7443294817927171,0.060934028596814405,0.25,observed
721123822,VISrl,orientation,20,0.8864985994397758,0.04881374037865577,0.25,observed
721123822,VISrl,orientation,40,0.9776418067226891,0.008192280510780917,0.25,observed
721123822,VISrl,orientation,5,0.2514408263305322,0.025221576159713332,0.25,shuffled
721123822,VISrl,orientation,10,0.24391106442577032,0.018194119285282757,0.25,shuffled
721123822,VISrl,orientation,20,0.26105042016806723,0.023628355889349462,0.25,shuffled
721123822,VISrl,orientation,40,0.259390756302521,0.020981413568611513,0.25,shuffled
721123822,VISam,direction,5,0.3338357843137255,0.047705559924021014,0.125,observed
721123822,VISam,direction,10,0.44694152661064424,0.030378992244839895,0.125,observed
721123822,VISam,direction,20,0.5909873949579831,0.037351008594933434,0.125,observed
721123822,VISam,direction,40,0.6824877450980392,0.01062474008893628,0.125,observed
721123822,VISam,direction,5,0.12791316526610647,0.012050583679596789,0.125,shuffled
721123822,VISam,direction,10,0.12040091036414566,0.008771175259934663,0.125,shuffled
721123822,VISam,direction,20,0.12103116246498599,0.014007597787632137,0.125,shuffled
721123822,VISam,direction,40,0.12600665266106442,0.011614542950122273,0.125,shuffled
721123822,VISam,orientation,5,0.6051295518207283,0.08850897702237097,0.25,observed
721123822,VISam,orientation,10,0.7794887955182073,0.052041569890476334,0.25,observed
721123822,VISam,orientation,20,0.9197216386554621,0.0465585999595041,0.25,observed
721123822,VISam,orientation,40,0.9839005602240896,0.001860321499940097,0.25,observed
721123822,VISam,orientation,5,0.2427013305322129,0.016734167966598983,0.25,shuffled
721123822,VISam,orientation,10,0.24123074229691877,0.016840454649194817,0.25,shuffled
721123822,VISam,orientation,20,0.25937149859943975,0.02106862684289629,0.25,shuffled
721123822,VISam,orientation,40,0.24771008403361344,0.019665593725681784,0.25,shuffled
721123822,LP,direction,5,0.2334716386554622,0.02205376919274771,0.125,observed
721123822,LP,direction,10,0.2811362044817928,0.038308614352079745,0.125,observed
721123822,LP,direction,20,0.41844537815126054,0.06811003750204861,0.125,observed
721123822,LP,direction,40,0.5846586134453782,0.021039435457914615,0.125,observed
721123822,LP,direction,5,0.13628676470588236,0.016298129283797518,0.125,shuffled
721123822,LP,direction,10,0.128109243697479,0.0186831859783285,0.125,shuffled
721123822,LP,direction,20,0.113328081232493,0.005118290463016685,0.125,shuffled
721123822,LP,direction,40,0.12542892156862745,0.011477398634016102,0.125,shuffled
721123822,LP,orientation,5,0.41765756302521007,0.02644163652268852,0.25,observed
721123822,LP,orientation,10,0.44773634453781513,0.060137908557940316,0.25,observed
721123822,LP,orientation,20,0.6235276610644258,0.07107568623443569,0.25,observed
721123822,LP,orientation,40,0.7692121848739496,0.035573038472027294,0.25,observed
721123822,LP,orientation,5,0.2499807422969188,0.015124406516483654,0.25,shuffled
