session,subject,unit,direction,n,rho,p,slope_cycles,width,x0,x1,peak_rate,si
Achilles_10252013,Achilles,33,right,358,-0.3495462232927176,2.3391577563813826e-10,-0.7419999999999999,0.7200000000000001,0.64,1.36,12.85158241495069,0.7259144643180669
Achilles_10252013,Achilles,39,right,432,-0.5399340978784879,0.0,-0.604,0.28,0.12,0.4,23.711901606919227,1.122667733028836
Achilles_10252013,Achilles,52,right,263,-0.0848292188246708,0.16722065895932658,-0.9359999999999998,0.5199999999999999,0.64,1.16,11.808580227227793,0.9491751575235468
Achilles_10252013,Achilles,82,right,235,-0.22837383992266236,0.0005371575314210286,-0.6900000000000001,0.6000000000000001,0.32,0.92,8.033744800016077,0.8990927193558733
Achilles_10252013,Achilles,216,right,137,0.03486508488219407,0.6920940654496988,0.3840000000000002,0.44000000000000006,0.36,0.8,6.451837331587926,1.6340327492591697
Achilles_10252013,Achilles,240,right,233,-0.1531611653101237,0.018770497698084254,-0.45,0.56,0.36,0.92,8.640867310906206,0.7230070955009482
Achilles_10252013,Achilles,12,left,69,-0.025363285593035696,0.8295094099086582,-0.896,0.44000000000000006,0.48,0.92,3.2934135605568358,0.5734536549171116
Achilles_10252013,Achilles,27,left,263,0.15950743350748442,0.009345305403912096,0.28400000000000014,0.56,0.2,0.76,11.545812909891197,0.7186474410850069
Achilles_10252013,Achilles,51,left,216,-0.33359412306554337,1.8808382833412907e-06,-0.39199999999999996,0.31999999999999995,0.56,0.88,16.624918280945487,1.6777263194057221
Achilles_10252013,Achilles,82,left,222,-0.2535662915610449,0.0001318627961919283,-0.3199999999999999,0.52,0.44,0.96,9.191093827382089,1.0946722763343613
Achilles_10252013,Achilles,143,left,68,0.14474164879933288,0.2763363077269805,0.1740000000000002,0.28,0.48,0.76,5.481282907469244,1.724094030211811
Achilles_10252013,Achilles,163,left,129,-0.1125896325463382,0.21178785588500482,-0.6199999999999999,0.6,0.84,1.44,6.050813701457855,0.6917633152350113
Achilles_10252013,Achilles,173,left,405,-0.6347473194827344,0.0,-0.6259999999999998,0.48,0.4,0.88,19.33499351955757,1.5057710129851478
Achilles_10252013,Achilles,229,left,110,-0.28403647966421436,0.0031682089434861282,-0.49799999999999983,0.43999999999999995,0.52,0.96,6.0824404747002605,1.2019216700329391
Achilles_10252013,Achilles,238,left,288,-0.49254488614370284,2.220446049250313e-16,-0.64,0.52,0.52,1.04,14.351576051630587,1.3286811973732615
Achilles_10252013,Achilles,240,left,281,-0.2302705280368923,0.00014619386079761654,-0.7019999999999998,0.52,0.44,0.96,13.486585528380033,0.694197874791532
Achilles_10252013,Achilles,242,left,65,-0.3566826265545429,0.004965310724662331,-0.39799999999999985,0.24,0.36,0.6,5.924319066072151,1.3186696838517535
Achilles_10252013,Achilles,263,left,71,-0.409826855195916,0.000789123088003274,-0.3619999999999998,0.32,0.2,0.52,5.267517548996548,1.9340285992564241
Cicero_09012014,Cicero,29,right,632,-0.5550568914019705,0.0,-0.5879999999999999,0.4,0.52,0.92,21.721592386857512,1.0548024646550243
Cicero_09012014,Cicero,61,right,338,-0.12752054693725273,0.020240939714634143,-0.46999999999999986,0.4800000000000001,0.64,1.12,10.160652430767696,0.4944492813468204
Cicero_09012014,Cicero,16,left,281,-0.31445611361884507,3.052212860232828e-07,-0.6339999999999999,0.3999999999999999,1.08,1.48,11.100488765414399,0.7638285117695385
Cicero_09012014,Cicero,29,left,330,-0.44031556544173295,5.773159728050814e-15,-0.5899999999999997,0.48,0.56,1.04,7.842285463337642,0.830010113452267
Cicero_09012014,Cicero,42,left,353,-0.24737564844743148,3.170020257181605e-06,-0.6979999999999998,0.52,0.76,1.28,8.607387795322849,0.4396823127718349
Cicero_09012014,Cicero,69,left,204,-0.18650329048676773,0.005587513735002103,-0.522,0.3999999999999999,0.8,1.2,7.35970088153916,0.6235701899596142
Cicero_09172014,Cicero,2,right,84,-0.08786698640225533,0.4194570707604801,-0.3059999999999999,0.55,0.8500000000000001,1.4000000000000001,3.0935445838982942,0.6505432020016876
Cicero_09172014,Cicero,18,right,464,0.28045864895299666,1.0522609450447362e-09,-1.0939999999999999,0.8500000000000001,0.45,1.3,12.519484911080715,0.5555563257484416
Cicero_09172014,Cicero,43,right,380,-0.025490224751805898,0.6108203786406374,-0.06999999999999988,0.6500000000000001,0.2,0.8500000000000001,20.60892068860978,0.6172384003230095
Cicero_09172014,Cicero,17,left,129,-0.32881513926344924,0.00017081002895102948,-0.5099999999999999,0.40000000000000013,1.3,1.7000000000000002,24.363097434953414,2.327283343768846
Cicero_09172014,Cicero,18,left,205,0.13213262247704388,0.06075256029587228,-1.034,0.5000000000000001,0.7000000000000001,1.2000000000000002,10.258896355444879,0.7194000627849083
Gatsby_08022013,Gatsby,17,left,162,-0.14610280529120823,0.07835056994053358,-0.30400000000000005,0.31999999999999995,0.52,0.84,9.01787571784195,0.8467338116149227
Gatsby_08022013,Gatsby,53,left,858,-0.2678474213774598,2.4424906541753444e-15,-0.5559999999999999,0.48000000000000004,0.32,0.8,32.45589464445152,0.8774363943675322
