unit,direction,peak_rate,spatial_info,field_lo,field_hi,field_peak,field_width,n_spikes_run,is_place_cell
7,right,12.236219985132898,0.17285941591463302,0.02,1.3,0.38,1.28,697,False
9,right,9.53746049820306,1.029506260764406,1.3800000000000001,1.58,1.54,0.19999999999999996,148,True
11,right,8.057957808547371,0.6687249769454422,0.02,0.42000000000000004,0.22,0.4,254,True
12,right,18.57624373078674,0.40410484750341974,0.30000000000000004,1.3,0.86,1.0,904,False
13,right,1.9406914102273878,0.5637951269127606,0.02,0.78,0.06,0.76,74,True
16,right,6.924043893432266,0.9115136312385131,0.02,0.30000000000000004,0.1,0.28,213,True
21,right,1.3377461579010699,0.2647111290810622,0.02,1.1400000000000001,0.06,1.12,93,False
23,right,27.156751271669535,1.5777305005227782,1.06,1.58,1.3800000000000001,0.52,557,True
27,right,15.622798128697035,0.7684614751318126,0.02,0.54,0.33999999999999997,0.52,581,True
29,right,21.233399243176727,0.1056623042040959,0.02,1.58,0.33999999999999997,1.56,1319,False
33,right,13.345741178228828,0.7404094815151945,0.62,1.3800000000000001,0.9,0.7600000000000001,417,True
39,right,23.802562206771366,0.9536036684120658,0.1,0.42000000000000004,0.26,0.32000000000000006,587,True
41,right,1.4434396756659358,0.1525196428481261,0.02,1.42,1.1400000000000001,1.4,83,False
50,right,5.339982475922636,0.9195397381659685,0.26,0.66,0.38,0.4,131,True
51,right,15.804966181861959,0.967027458507086,0.02,0.45999999999999996,0.22,0.43999999999999995,588,True
52,right,12.46988578498483,0.7937425595170077,0.62,1.22,0.86,0.6,358,True
53,right,1.3805317145051403,0.8788874293553983,0.1,0.45999999999999996,0.30000000000000004,0.36,43,True
54,right,8.912387549593804,0.5053881049999763,0.02,0.26,0.02,0.24000000000000002,332,True
55,right,25.22803938452521,0.2726096977997565,0.02,1.22,0.18,1.2,1274,False
56,right,20.155526327142308,1.4056417591250834,0.02,0.38,0.1,0.36,600,True
57,right,11.066831987312115,0.572467041762237,0.86,1.5,1.26,0.64,320,True
58,right,2.608929048240919,0.9075693073608655,0.98,1.58,1.3,0.6000000000000001,51,True
70,right,2.5317267792831033,1.87466943036134,0.02,0.14,0.02,0.12000000000000001,41,True
76,right,4.548032045844478,0.755788295509507,1.3800000000000001,1.58,1.58,0.19999999999999996,98,True
79,right,1.5477406415854185,0.6605817873860559,0.8200000000000001,1.18,0.94,0.3599999999999999,41,True
82,right,7.935162404915385,0.894189612526627,0.30000000000000004,0.94,0.54,0.6399999999999999,266,True
