slope,phi0,rho,R,n,p,session,unit,direction,peak,si,lo,width,n_runs,n_passes,maze,track_len,circular
-0.7599999999999998,-0.8342461941260557,-0.3460623105532866,0.49303756919246455,364,0.004975124378109453,Achilles-10252013,17,1,12.74427320686397,0.6066429166018458,0.64,0.76,58,42,1.6mLinearMaze,1.6,False
-1.49,-0.8166810563256257,-0.44361848270596604,0.4161383681737564,143,0.004975124378109453,Achilles-10252013,23,1,6.736288899147027,0.8207760823101813,0.24,0.4,58,23,1.6mLinearMaze,1.6,False
-0.9199999999999999,-0.7950941462882735,-0.07879879290765246,0.19575183838647323,273,0.3781094527363184,Achilles-10252013,25,1,11.442173691552057,0.7891934762679328,0.64,0.56,58,39,1.6mLinearMaze,1.6,False
-0.7399999999999998,-0.5839868614270189,-0.21776877869794387,0.4499807952935078,266,0.004975124378109453,Achilles-10252013,39,1,7.816090678295231,0.7713382245461625,0.28,0.64,58,46,1.6mLinearMaze,1.6,False
-0.5299999999999998,-1.1353871727896876,-0.3611868305751777,0.34167995543683377,121,0.004975124378109453,Achilles-10252013,64,1,5.695117368989363,0.5168356948200341,0.2,0.36,58,32,1.6mLinearMaze,1.6,False
-0.5699999999999998,-1.3608117311354926,-0.30754376449844134,0.4469723072230129,278,0.004975124378109453,Achilles-10252013,91,1,11.289946460543103,0.960407272259972,0.6,0.56,58,37,1.6mLinearMaze,1.6,False
-0.6600000000000001,-1.2092548068359519,-0.16418684343004178,0.3321781152210207,220,0.029850746268656716,Achilles-10252013,93,1,10.842955737857011,0.5209489216565267,0.12,0.28,58,41,1.6mLinearMaze,1.6,False
-0.6400000000000001,-1.4653962808005017,-0.17000346845696562,0.2813476129084341,72,0.3482587064676617,Achilles-10252013,98,1,3.2669464348146264,1.0300939994865708,0.88,0.6,58,18,1.6mLinearMaze,1.6,False
-0.6999999999999997,-2.2167494591111465,0.07109987397133906,0.3307729347604028,161,0.35323383084577115,Achilles-10252013,107,1,6.320298639131918,1.381831332302629,0.32,0.48,58,27,1.6mLinearMaze,1.6,False
-0.5099999999999998,-0.9600158163302515,-0.0955473619657933,0.35409544537915527,259,0.11940298507462686,Achilles-10252013,118,1,8.696556503173031,0.6074498785245533,0.36,0.64,58,44,1.6mLinearMaze,1.6,False
-0.3900000000000001,-1.0123927258443124,-0.07552376889115034,0.30440421063604245,139,0.3681592039800995,Achilles-10252013,134,1,4.962249946550772,0.6220075167939659,0.24,0.48,58,41,1.6mLinearMaze,1.6,False
-0.8599999999999999,-0.873425037620543,-0.42801187514188366,0.4179915387628472,85,0.004975124378109453,Achilles-10252013,13,-1,5.9417255507140325,0.9074421816900688,0.4,0.32,48,18,1.6mLinearMaze,1.6,False
0.3799999999999999,2.3656930499395132,0.1847453162345696,0.26385652157249706,291,0.004975124378109453,Achilles-10252013,14,-1,11.57155395093219,0.6294339666543305,0.12,0.68,48,45,1.6mLinearMaze,1.6,False
-0.3999999999999999,3.097807923016889,-0.28586844616605456,0.47710951918845784,225,0.004975124378109453,Achilles-10252013,24,-1,16.62516614365838,1.4912283839065699,0.56,0.36,48,38,1.6mLinearMaze,1.6,False
-0.5899999999999999,-1.5010689234231214,-0.5774610255732978,0.5864657046928574,174,0.004975124378109453,Achilles-10252013,31,-1,8.472290962080892,1.0199334755860163,0.32,0.52,48,36,1.6mLinearMaze,1.6,False
-0.3900000000000001,-1.092227710398534,-0.2862349985698081,0.3679198550956001,235,0.004975124378109453,Achilles-10252013,39,-1,9.19123085839854,1.0527267066517036,0.44,0.6,48,42,1.6mLinearMaze,1.6,False
-0.5899999999999999,-1.7342588936952177,-0.20662207743221062,0.2680028821541858,492,0.004975124378109453,Achilles-10252013,64,-1,18.23086722664538,0.8414659610157983,0.4,0.76,48,43,1.6mLinearMaze,1.6,False
-0.8199999999999998,-0.688547013783142,-0.4316749144283431,0.37103878231776544,630,0.004975124378109453,Achilles-10252013,67,-1,27.782866196924925,0.7215929015645893,0.16,0.56,48,43,1.6mLinearMaze,1.6,False
-0.8999999999999999,-0.6072391645793878,-0.5470401833785099,0.44463928918659446,604,0.004975124378109453,Achilles-10252013,73,-1,23.913750283028477,0.7434408479797765,0.32,0.68,48,43,1.6mLinearMaze,1.6,False
