event,epoch,start,end,dur,n_bins,n_active,n_spikes,direction,dir_mass,wcorr,slope,p_cycle,p_perm,p_max,significant,forward,speed
0,OTHER,4.51195,4.78695,0.27500000000000036,14,52,86,leftward,0.5090943043271816,0.32056146465878077,1.8293365082865565,0.13886113886113885,0.2727272727272727,0.2727272727272727,False,False,1.8293365082865565
1,PRE_wake,7.13195,7.33695,0.20500000000000007,10,28,60,rightward,0.40914789001451624,-0.39179594064187834,-2.8885596013930934,0.19880119880119881,0.2827172827172827,0.2827172827172827,False,False,2.8885596013930934
2,PRE_wake,12.68695,12.80195,0.11500000000000021,6,20,40,leftward,0.9039695363515312,-0.5430039506747852,-8.893329252355331,0.11788211788211789,0.17882117882117882,0.17882117882117882,False,True,8.893329252355331
3,PRE_wake,16.77695,16.97195,0.19500000000000028,10,21,42,rightward,0.2119283217325651,-0.14529438970059874,-1.2523284752930075,0.7152847152847153,0.8121878121878122,0.8121878121878122,False,False,1.2523284752930075
4,PRE_wake,20.05195,20.18695,0.134999999999998,7,23,37,leftward,0.29076299881360296,-0.1705578033600589,-1.619000875291371,0.7272727272727273,0.7562437562437563,0.7562437562437563,False,True,1.619000875291371
5,PRE_wake,26.86195,26.97695,0.11499999999999844,6,19,32,leftward,0.44170672228056534,-0.2927318287675305,-3.083308715983467,0.24675324675324675,0.3806193806193806,0.3806193806193806,False,True,3.083308715983467
6,PRE_wake,33.17195,33.36195,0.18999999999999773,9,25,50,rightward,0.6013119409796582,-0.3134572752038836,-2.5594387712535664,0.35064935064935066,0.4435564435564436,0.4435564435564436,False,False,2.5594387712535664
7,PRE_wake,34.00695,34.14195,0.134999999999998,7,23,43,leftward,0.4260113055567086,0.37422049087371684,3.358410140993225,0.12487512487512488,0.030969030969030968,0.12487512487512488,False,False,3.358410140993225
8,PRE_wake,36.59695,36.72195,0.125,6,18,28,rightward,0.6706632270747802,-0.4003630595607734,-5.606017696600457,0.23776223776223776,0.35064935064935066,0.35064935064935066,False,False,5.606017696600457
9,PRE_wake,43.82195,43.95695,0.134999999999998,7,20,29,leftward,0.6351869775392831,-0.4795971192468979,-7.248320038249443,0.03396603396603397,0.27172827172827174,0.27172827172827174,False,True,7.248320038249443
10,PRE_wake,44.96695,45.07695,0.10999999999999943,5,19,35,rightward,0.6625498563997337,-0.34365252180623146,-4.360521562805089,0.48451548451548454,0.4145854145854146,0.48451548451548454,False,False,4.360521562805089
11,PRE_wake,47.68695,47.85195,0.16499999999999915,8,32,58,rightward,0.46873524641986364,-0.8257165540954173,-7.582183961761459,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,False,7.582183961761459
12,PRE_wake,52.27195,52.47695,0.2050000000000054,10,37,73,rightward,0.5256766474868941,-0.20338783571970243,-1.2383987300835233,0.6313686313686314,0.6993006993006993,0.6993006993006993,False,False,1.2383987300835233
13,PRE_wake,54.90195,55.10695,0.2049999999999983,10,24,45,rightward,0.6061369397216486,-0.3652084333353388,-2.6677590678413377,0.12487512487512488,0.24975024975024976,0.24975024975024976,False,False,2.6677590678413377
14,PRE_wake,55.26695,55.42695,0.1599999999999966,8,29,53,leftward,0.5366126285263129,-0.027876388461364462,-0.26517549524593476,0.993006993006993,0.999000999000999,0.999000999000999,False,True,0.26517549524593476
15,PRE_wake,64.94195,65.08195,0.14000000000000057,7,16,28,leftward,0.575397116168503,-0.36265824494011345,-3.770101846472324,0.2987012987012987,0.2887112887112887,0.2987012987012987,False,True,3.770101846472324
16,PRE_wake,81.03195,81.17195,0.14000000000000057,7,22,27,rightward,0.8954825722688581,0.20025360722952823,2.136050652809466,0.6593406593406593,0.8141858141858141,0.8141858141858141,False,True,2.136050652809466
17,PRE_wake,89.59695,89.79195,0.19499999999999318,10,29,48,leftward,0.3574673667710043,-0.25977845020411944,-2.6757792747947087,0.31868131868131866,0.5774225774225774,0.5774225774225774,False,True,2.6757792747947087
18,PRE_wake,101.72195,101.86195,0.13999999999998636,7,20,30,leftward,0.3153358424980846,-0.3323466740689838,-3.4214222365196942,0.16583416583416583,0.5094905094905094,0.5094905094905094,False,True,3.4214222365196942
19,PRE_wake,105.26695,105.41695,0.15000000000000568,7,25,55,rightward,0.19830849504760611,-0.5392410338990206,-6.164562737823009,0.059940059940059943,0.12187812187812187,0.12187812187812187,False,False,6.164562737823009
