path,n_hd,n_units,rem_home,nrem_home
sub-A3707/sub-A3707_ses-200317_behavior+ecephys.nwb,117,185,38.0,4369.0
sub-A3716/sub-A3716_ses-201015b_behavior+ecephys.nwb,93,147,284.0,6515.2
sub-A3711/sub-A3711_ses-200810b_behavior+ecephys.nwb,90,142,293.0,4873.9
sub-A3706/sub-A3706_ses-200313_behavior+ecephys.nwb,86,126,218.0,3694.3
sub-A3710/sub-A3710_ses-200609_behavior+ecephys.nwb,80,107,288.0,5349.4
sub-A3712/sub-A3712_ses-200903a_behavior+ecephys.nwb,73,126,236.0,4546.0
sub-A3701/sub-A3701_ses-191119_behavior+ecephys.nwb,71,102,307.7,4082.0
sub-A3705/sub-A3705_ses-200306_behavior+ecephys.nwb,66,117,620.0,7256.0
sub-A3703/sub-A3703_ses-191215_behavior+ecephys.nwb,65,103,301.0,4956.0
sub-A3702/sub-A3702_ses-191126_behavior+ecephys.nwb,61,90,124.0,3435.0
sub-A3717/sub-A3717_ses-201021_behavior+ecephys.nwb,59,98,522.0,5038.0
sub-A3730/sub-A3730_ses-210323b_behavior+ecephys.nwb,47,77,228.0,1926.0
sub-A6216/sub-A6216_ses-210623_behavior+ecephys+ogen.nwb,44,75,429.0,5091.0
sub-A3708/sub-A3708_ses-200317b_behavior+ecephys.nwb,44,78,501.0,3702.0
sub-A5507/sub-A5507_ses-200920_behavior+ecephys.nwb,43,96,380.0,4165.0
sub-A1824/sub-A1824_ses-190827_behavior+ecephys+ogen.nwb,39,70,88.0,3087.7
sub-A9701/sub-A9701_ses-210805_behavior+ecephys+ogen.nwb,38,61,313.0,3517.0
sub-A3723/sub-A3723_ses-201115_behavior+ecephys.nwb,37,68,257.0,3526.0
sub-A1821/sub-A1821_ses-190910_behavior+ecephys+ogen.nwb,37,74,267.0,4566.0
sub-A6211/sub-A6211_ses-210407_behavior+ecephys+ogen.nwb,36,61,214.0,3605.6
sub-A5508/sub-A5508_ses-200930_behavior+ecephys.nwb,33,52,122.0,4677.0
sub-A1815/sub-A1815_ses-190523_behavior+ecephys+ogen.nwb,33,65,285.0,3117.6
sub-A1813/sub-A1813_ses-190408_behavior+ecephys+ogen.nwb,30,70,389.0,5091.0
sub-A5505/sub-A5505_ses-200831_behavior+ecephys.nwb,30,55,355.0,5082.0
sub-A6215/sub-A6215_ses-210610_behavior+ecephys+ogen.nwb,29,56,248.0,5028.0
sub-A1808/sub-A1808_ses-190807_behavior+ecephys+ogen.nwb,29,101,39.0,2533.0
sub-A3728/sub-A3728_ses-210309b_behavior+ecephys.nwb,27,42,0.0,1153.0
sub-A5801/sub-A5801_ses-200924_behavior+ecephys.nwb,26,46,139.0,2728.0
sub-A3713/sub-A3713_ses-200909a_behavior+ecephys.nwb,25,88,200.0,4593.0
sub-A5506/sub-A5506_ses-200914a_behavior+ecephys.nwb,24,49,340.0,5344.0
sub-A3709/sub-A3709_ses-200601_behavior+ecephys.nwb,21,64,978.0,7257.4
