session,state,epoch,n,seconds,rate_hz
Achilles_10252013,Non-REM,PRE,3125,10569.0,0.2956760336834138
Achilles_10252013,Non-REM,POST,2183,5321.0,0.4102612290922759
Achilles_10252013,REM,PRE,1,1333.0,0.0007501875468867217
Achilles_10252013,REM,POST,0,738.0,0.0
Achilles_10252013,Awake,PRE,892,6095.5,0.14633746206217702
Achilles_10252013,Awake,Maze,156,2067.5,0.075453446191052
Achilles_10252013,Awake,POST,1965,8584.0,0.22891425908667287
Achilles_11012013,Non-REM,PRE,2838,10756.0,0.2638527333581257
Achilles_11012013,Non-REM,POST,2643,5338.0,0.49512926189584117
Achilles_11012013,REM,PRE,3,1053.0,0.002849002849002849
Achilles_11012013,REM,POST,0,133.0,0.0
Achilles_11012013,Awake,PRE,448,7318.0,0.06121891227111233
Achilles_11012013,Awake,Maze,133,2674.1,0.04973635989678771
Achilles_11012013,Awake,POST,1704,9063.9,0.18799854367325325
Cicero_09012014,Non-REM,PRE,2225,7380.0,0.30149051490514905
Cicero_09012014,Non-REM,POST,2560,6793.0,0.3768585308405712
Cicero_09012014,REM,PRE,1,1797.0,0.0005564830272676684
Cicero_09012014,REM,POST,4,1222.0,0.0032733224222585926
Cicero_09012014,Awake,PRE,588,6225.6,0.09444872783346182
Cicero_09012014,Awake,Maze,934,5549.2,0.16831254955669286
Cicero_09012014,Awake,POST,612,5541.2,0.11044539089005992
Cicero_09102014,Non-REM,PRE,1594,4641.0,0.34346046110751993
Cicero_09102014,Non-REM,POST,3603,8487.0,0.424531636620714
Cicero_09102014,REM,PRE,4,708.0,0.005649717514124294
Cicero_09102014,REM,POST,0,1720.0,0.0
Cicero_09102014,Awake,PRE,803,11791.6,0.06809932494317988
Cicero_09102014,Awake,Maze,432,3030.0,0.14257425742574256
Cicero_09102014,Awake,POST,949,5866.4,0.16176871675985274
Cicero_09172014,Non-REM,PRE,1589,5677.0,0.279901356350185
Cicero_09172014,Non-REM,POST,2651,5785.0,0.4582541054451167
Cicero_09172014,REM,PRE,4,1343.0,0.0029784065524944155
Cicero_09172014,REM,POST,10,764.0,0.013089005235602094
Cicero_09172014,Awake,PRE,846,8816.7,0.09595426860389941
Cicero_09172014,Awake,Maze,286,3066.8,0.09325681492109038
Cicero_09172014,Awake,POST,1124,7801.5,0.1440748573992181
Gatsby_08022013,Non-REM,PRE,2217,7113.0,0.3116828342471531
Gatsby_08022013,Non-REM,POST,1661,4577.0,0.36290146384094385
Gatsby_08022013,REM,PRE,4,876.0,0.0045662100456621
Gatsby_08022013,REM,POST,0,529.0,0.0
Gatsby_08022013,Awake,PRE,1106,8962.2,0.12340719912521478
Gatsby_08022013,Awake,Maze,441,2335.1,0.18885700826517066
Gatsby_08022013,Awake,POST,941,5852.328,0.1607907143960489
Gatsby_08282013,Non-REM,PRE,1728,8681.0,0.1990554083630918
Gatsby_08282013,Non-REM,POST,3364,7488.0,0.44925213675213677
Gatsby_08282013,REM,PRE,1,1340.0,0.0007462686567164179
Gatsby_08282013,REM,POST,0,309.0,0.0
Gatsby_08282013,Awake,PRE,746,6590.1,0.11320010318508064
Gatsby_08282013,Awake,Maze,268,2649.6,0.10114734299516909
Gatsby_08282013,Awake,POST,1657,7973.3,0.2078185945593418
Buddy_06272013,Non-REM,PRE,523,5953.0,0.0878548630942382
Buddy_06272013,Non-REM,POST,101,2012.0,0.05019880715705766
Buddy_06272013,REM,PRE,3,602.0,0.0049833887043189366
Buddy_06272013,REM,POST,5,206.0,0.024271844660194174
Buddy_06272013,Awake,PRE,414,4070.9,0.10169741334839962
Buddy_06272013,Awake,Maze,1611,2328.1,0.6919805850264165
Buddy_06272013,Awake,POST,523,5662.0,0.09237018721299894
