start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch
4.5392,4.7,4.6528,9.13138198852539,0.1608,0.0002614204422570765,184.45668474469716,other,PRE
7.2384,7.2944,7.2648,11.109126091003418,0.056,0.0003027356287930161,182.98894497026453,Awake,PRE
10.5952,10.6744,10.6192,6.568483829498291,0.0792,0.0002115864772349596,158.84854524638365,Awake,PRE
12.7368,12.784,12.7648,7.01554536819458,0.0472,0.00024335588386747986,175.83668370444514,Awake,PRE
14.732,14.7752,14.7544,6.570744037628174,0.0432,0.0002173619723180309,169.90226218939398,Awake,PRE
16.8288,16.8704,16.8464,8.853421211242676,0.0416,0.00033197522861883044,170.88220405822744,Awake,PRE
20.0744,20.1696,20.108,9.02600383758545,0.0952,0.0002819637884385884,185.03153720793097,Awake,PRE
26.8984,26.9704,26.9304,8.639202117919922,0.072,0.00023707393847871572,156.9411617801924,Awake,PRE
33.2872,33.3296,33.308,8.157089233398438,0.0424,0.0002662592742126435,165.56812008606263,Awake,PRE
34.0496,34.1232,34.104,5.90457010269165,0.0736,0.00018661661306396127,174.9389800697166,Awake,PRE
36.6072,36.6432,36.6256,6.040307521820068,0.036,0.00020875493646599352,173.97306463035062,Awake,PRE
36.68,36.7224,36.7016,7.436258316040039,0.0424,0.0002886746369767934,180.0842031543123,Awake,PRE
39.6264,39.6664,39.6472,7.014084339141846,0.04,0.00022599019575864077,162.17573875678212,Awake,PRE
43.88,43.944,43.904,10.958316802978516,0.064,0.0003438327112235129,184.50885960516874,Awake,PRE
45.0152,45.0616,45.036,7.732977867126465,0.0464,0.0002273874415550381,163.6284421026215,Awake,PRE
47.7104,47.808,47.78,9.174283027648926,0.0976,0.00026621235883794725,170.75821690201283,Awake,PRE
52.3312,52.4416,52.4144,12.725231170654297,0.1104,0.0003469121875241399,174.43138516304973,Awake,PRE
54.9488,54.9856,54.9656,6.495149612426758,0.0368,0.00021979640587233007,174.64476548107865,Awake,PRE
63.36,63.3928,63.376,6.6871724128723145,0.0328,0.0002305257075931877,170.6673553240945,Awake,PRE
89.7384,89.776,89.756,5.570059776306152,0.0376,0.00018529818044044077,174.012965286186,Awake,PRE
98.4792,98.5496,98.4952,6.204920768737793,0.0704,0.00021210260456427932,169.69396207527885,Awake,PRE
105.304,105.3392,105.3224,5.623117446899414,0.0352,0.00019328840426169336,162.13075740667006,Awake,PRE
114.7456,114.784,114.764,6.2743239402771,0.0384,0.00020606291946023703,157.50462814260183,Awake,PRE
115.4392,115.4832,115.4624,5.931240081787109,0.044,0.00017032783944159746,181.41501506224057,Awake,PRE
117.5232,117.5568,117.5408,5.433157920837402,0.0336,0.000182579446118325,167.99589048118443,Awake,PRE
118.44,118.4808,118.4592,5.1041693687438965,0.0408,0.00014768050459679216,177.43513982182608,Awake,PRE
128.9072,128.9616,128.9328,10.492344856262207,0.0544,0.00026260767481289804,167.98438710658456,Awake,PRE
150.7552,150.8664,150.7792,9.059578895568848,0.1112,0.0002588711504358798,165.64578937166516,Awake,PRE
150.9128,150.9464,150.9304,6.3044891357421875,0.0336,0.00023512488405685872,170.16070190932433,Awake,PRE
162.9184,162.9696,162.9504,5.905202865600586,0.0512,0.00018554495181888342,170.05636480766367,Awake,PRE
163.3888,163.4216,163.404,5.47491455078125,0.0328,0.00018020821153186262,177.51349522592446,Awake,PRE
164.3216,164.364,164.3416,8.51359748840332,0.0424,0.00026542021078057587,167.9013981213781,Awake,PRE
167.2576,167.3584,167.3392,6.521256923675537,0.1008,0.00020489504095166922,170.02919609084472,Awake,PRE
172.8304,172.9408,172.9184,6.700566291809082,0.1104,0.0001855811569839716,163.79145792254988,Awake,PRE
180.684,180.7232,180.7032,5.289005279541016,0.0392,0.00018685977556742728,183.51073872171946,Awake,PRE
184.6656,184.7016,184.6824,6.308441638946533,0.036,0.00019361072918400168,158.62914200557265,Awake,PRE
203.7672,203.7992,203.784,5.619778633117676,0.032,0.00018365439609624445,166.51528460789024,Awake,PRE
214.1816,214.228,214.204,9.17451286315918,0.0464,0.0003046591591555625,195.63968637283523,Awake,PRE
214.2952,214.3424,214.3232,6.524657249450684,0.0472,0.00020370710990391672,166.66741025570212,Awake,PRE
214.5952,214.7144,214.6496,7.092176914215088,0.1192,0.0002536606334615499,167.20964186642232,Awake,PRE
214.7536,214.7984,214.7784,6.009210586547852,0.0448,0.00021718451171182096,176.86222173153575,Awake,PRE
219.3008,219.3528,219.3296,7.024996757507324,0.052,0.0002029738388955593,177.8712181847792,Awake,PRE
260.98,261.0304,261.0136,6.1912760734558105,0.0504,0.00023764489742461592,182.3162539932493,Awake,PRE
262.584,262.636,262.604,7.186620712280273,0.052,0.00021017264225520194,177.9367454200157,Awake,PRE
264.9952,265.084,265.0144,7.534142017364502,0.0888,0.0002682314661797136,162.51796894015712,Awake,PRE
266.5944,266.632,266.6128,6.795844078063965,0.0376,0.00021206897508818656,164.40921339196802,Awake,PRE
338.4216,338.4744,338.4456,11.044029235839844,0.0528,0.0003631003783084452,189.88731379401125,Awake,PRE
340.2672,340.3008,340.2848,5.300436496734619,0.0336,0.00020792869327124208,176.41139458929482,Awake,PRE
348.352,348.384,348.368,5.143026828765869,0.032,0.0001989570737350732,177.5023101667218,Awake,PRE
374.8712,374.932,374.8992,6.007235527038574,0.0608,0.00017519535322207958,172.4216843216434,Awake,PRE
376.916,376.9568,376.9352,7.208275318145752,0.0408,0.0002406010462436825,172.58724231998735,Awake,PRE
377.5624,377.6544,377.5792,5.428847789764404,0.092,0.00015658682968933135,153.71151474001852,Awake,PRE
382.2256,382.2768,382.2584,6.38746976852417,0.0512,0.00020089172176085413,168.8787965756635,Awake,PRE
385.836,385.9368,385.8552,7.121815204620361,0.1008,0.00021138534066267312,166.69940988276622,Awake,PRE
392.952,392.9808,392.9656,5.383762836456299,0.0288,0.00022665195865556598,164.92334011274824,Awake,PRE
418.0808,418.1632,418.0976,10.461291313171387,0.0824,0.0003798937250394374,188.58412530875586,Awake,PRE
421.2344,421.272,421.2552,5.806690692901611,0.0376,0.00019511514983605593,166.58129131325916,Awake,PRE
422.8936,422.928,422.9096,6.34937047958374,0.0344,0.00025565343094058335,180.815015129629,Awake,PRE
423.9296,423.9664,423.9472,5.097838878631592,0.0368,0.00019797580898739398,186.9866207673051,Awake,PRE
425.4872,425.5368,425.516,5.978649139404297,0.0496,0.0002009197633014992,165.98589006742003,Awake,PRE
425.6352,425.6736,425.6576,7.685642719268799,0.0384,0.000306545989587903,188.60172602133673,Awake,PRE
433.2792,433.3144,433.296,6.09074068069458,0.0352,0.000183802520041354,173.9834587574513,Awake,PRE
436.5232,436.5664,436.5392,6.788653373718262,0.0432,0.00023050582967698574,179.26977180942598,Awake,PRE
481.9104,481.9736,481.9376,5.701674461364746,0.0632,0.00016202869301196188,170.33761066323797,Awake,PRE
487.4976,487.6152,487.564,5.490950107574463,0.1176,0.00021582443150691688,171.55159176941368,Awake,PRE
495.232,495.272,495.248,5.558474540710449,0.04,0.00019892204727511853,165.50652349358205,Awake,PRE
495.3456,495.3984,495.3688,5.5320844650268555,0.0528,0.0001907122932607308,164.80029187857627,Awake,PRE
495.6016,495.636,495.6176,7.375506401062012,0.0344,0.00030929347849451005,166.80959341591017,Awake,PRE
500.0128,500.0584,500.0336,7.539828777313232,0.0456,0.00021519232541322708,185.22478941043948,Awake,PRE
502.6712,502.7112,502.6904,6.290822505950928,0.04,0.0002253260900033638,175.29463851230852,Awake,PRE
502.7568,502.8696,502.7752,7.066378593444824,0.1128,0.0002426253486191854,162.5033211116755,Awake,PRE
506.2488,506.3056,506.2736,11.168034553527832,0.0568,0.00032319847377948463,164.65479087532117,Awake,PRE
506.452,506.492,506.4704,9.021873474121094,0.04,0.00028436927823349833,182.79683834080535,Awake,PRE
521.6152,521.656,521.6344,7.412049293518066,0.0408,0.0002360193175263703,169.6532911966146,Awake,PRE
525.6928,525.7336,525.7144,5.4503655433654785,0.0408,0.00017541491251904517,170.85483457185103,Awake,PRE
545.6024,545.6856,545.6344,6.353312015533447,0.0832,0.00022681854898110032,174.8088315294511,Awake,PRE
546.8328,547.0232,546.86,8.380338668823242,0.1904,0.0002466033911332488,179.2700352804543,Awake,PRE
549.4296,549.4936,549.46,15.63101577758789,0.064,0.0004153999325353652,182.379932892581,Awake,PRE
550.876,550.9216,550.8952,5.02549409866333,0.0456,0.00016070458514150232,157.7518726922854,Awake,PRE
551.7896,551.8384,551.8232,6.177742004394531,0.0488,0.00023287924705073237,180.41595038358685,Awake,PRE
555.1,555.1456,555.1232,9.834541320800781,0.0456,0.00030639750184491277,179.46923695040113,Awake,PRE
556.4136,556.516,556.4984,6.067261219024658,0.1024,0.00019969594723079354,172.64119378471662,Awake,PRE
558.0184,558.0552,558.0368,6.515740871429443,0.0368,0.00022885011276230216,175.34744746436297,Awake,PRE
