start,end,n_active,n_bins,r_rightward,p_cycle_rightward,p_id_rightward,r_leftward,p_cycle_leftward,p_id_leftward,direction,r,p_cycle,p_id,significant,forward,epoch
10.5804,10.6804,16,5,0.027486347792551737,0.938,0.934,-0.042938812956857454,0.91,0.93,leftward,-0.042938812956857454,0.91,0.93,False,True,PRE
16.8216,16.9216,12,5,0.12273721388880621,0.778,0.848,-0.35912260146909786,0.45,0.562,leftward,-0.35912260146909786,0.45,0.562,False,True,PRE
20.0552,20.1552,16,5,0.0953419693670732,0.794,0.812,-0.3982581307264348,0.202,0.328,leftward,-0.3982581307264348,0.202,0.328,False,True,PRE
26.8832,26.9832,16,5,0.058456888724160924,0.816,0.902,-0.006756804355029178,0.984,0.992,rightward,0.058456888724160924,0.816,0.902,False,True,PRE
33.2552,33.3552,16,5,0.4371174649484764,0.164,0.278,0.47322019920666764,0.208,0.23,leftward,0.47322019920666764,0.208,0.23,False,False,PRE
36.5784,36.7512,18,8,-0.013641883718939228,0.948,0.946,0.07989226439348233,0.666,0.648,leftward,0.07989226439348233,0.666,0.648,False,False,PRE
39.5976,39.6976,11,5,0.08626237787411885,0.684,0.786,-0.13988867257132706,0.338,0.644,leftward,-0.13988867257132706,0.338,0.644,False,True,PRE
43.8632,43.9632,15,5,0.3066339912361143,0.308,0.372,-0.3100540141531808,0.344,0.38,leftward,-0.3100540141531808,0.344,0.38,False,True,PRE
47.7064,47.8096,22,5,-0.7459407552123418,0.054,0.054,-0.018367234274595735,0.962,0.978,rightward,-0.7459407552123418,0.054,0.054,False,False,PRE
52.3652,52.4652,26,5,0.43325414823181374,0.244,0.482,-0.4770943640682051,0.368,0.384,leftward,-0.4770943640682051,0.368,0.384,False,True,PRE
54.9192,55.0192,15,5,-0.043181183141470146,0.902,0.92,-0.3371718469438866,0.316,0.432,leftward,-0.3371718469438866,0.316,0.432,False,True,PRE
55.3052,55.4052,20,5,0.17167626818555914,0.78,0.744,0.04214392322643512,0.932,0.946,rightward,0.17167626818555914,0.78,0.744,False,True,PRE
63.3268,63.4268,8,5,-0.005949465421041739,0.972,0.976,0.07490470468808283,0.73,0.662,leftward,0.07490470468808283,0.73,0.662,False,False,PRE
