start,end,n_active,n_bins,r_rightward,p_cycle_rightward,p_id_rightward,r_leftward,p_cycle_leftward,p_id_leftward,direction,r,p_cycle,p_id,significant,forward,epoch
48.9488,49.0552,7,5,-0.2789140133145301,0.392,0.436,-0.1738127701529449,0.598,0.716,rightward,-0.2789140133145301,0.392,0.436,False,False,PRE
51.8688,51.9696,7,5,0.4709959444715012,0.058,0.076,0.16807938623647342,0.62,0.498,rightward,0.4709959444715012,0.058,0.076,False,True,PRE
94.2552,94.3816,5,6,0.18131513244026726,0.356,0.726,0.13793666689363154,0.642,0.674,rightward,0.18131513244026726,0.356,0.726,False,True,PRE
153.2736,153.3784,5,5,-0.19567991911463928,0.644,0.576,-0.5124045065951027,0.112,0.17,leftward,-0.5124045065951027,0.112,0.17,False,True,PRE
273.9256,274.056,7,6,-0.033443358426985,0.924,0.936,0.1670073209937508,0.572,0.624,leftward,0.1670073209937508,0.572,0.624,False,False,PRE
382.894,382.994,6,5,-0.0730054408364332,0.686,0.78,0.12933845336909905,0.534,0.674,leftward,0.12933845336909905,0.534,0.674,False,False,PRE
384.2552,384.3704,5,5,0.1982520116547339,0.678,0.53,0.344590871423761,0.298,0.392,leftward,0.344590871423761,0.298,0.392,False,False,PRE
389.3608,389.4608,5,5,-0.04064298132062756,0.852,0.84,-0.03573123852058593,0.874,0.938,rightward,-0.04064298132062756,0.852,0.84,False,False,PRE
416.9904,417.1808,8,9,0.21787015888036862,0.332,0.382,0.07998411560489699,0.702,0.752,rightward,0.21787015888036862,0.332,0.382,False,True,PRE
539.52,539.6448,5,6,0.10915994136537323,0.65,0.66,-0.004324449243685031,0.984,0.982,rightward,0.10915994136537323,0.65,0.66,False,True,PRE
559.6008,559.7144,5,5,-0.335013946765022,0.294,0.336,0.11360706551328649,0.784,0.69,rightward,-0.335013946765022,0.294,0.336,False,False,PRE
559.7284,559.8284,7,5,0.4735998868764233,0.128,0.162,0.1364166391617381,0.65,0.72,rightward,0.4735998868764233,0.128,0.162,False,True,PRE
559.9968,560.1304,8,6,-0.1592851890899314,0.672,0.604,0.08249115598183579,0.786,0.798,rightward,-0.1592851890899314,0.672,0.604,False,False,PRE
587.4048,587.5048,5,5,-0.14065608785938005,0.534,0.518,-0.23106976511550262,0.132,0.452,leftward,-0.23106976511550262,0.132,0.452,False,True,PRE
599.1432,599.2504,9,5,-0.5534702510051045,0.062,0.09,0.30479193610390093,0.374,0.432,rightward,-0.5534702510051045,0.062,0.09,False,False,PRE
642.7824,642.9344,5,7,-0.19087531250889037,0.392,0.34,0.0005357721075222456,1.0,1.0,rightward,-0.19087531250889037,0.392,0.34,False,False,PRE
644.2288,644.4148,7,9,-0.07074547752664591,0.744,0.748,0.16306865290987776,0.488,0.6,leftward,0.16306865290987776,0.488,0.6,False,False,PRE
651.79,651.89,5,5,-0.0046352443847115544,0.97,0.976,-0.20435878821113473,0.144,0.284,leftward,-0.20435878821113473,0.144,0.284,False,True,PRE
663.8784,664.0504,5,8,-0.25209578098797464,0.242,0.292,0.04161956455869746,0.83,0.892,rightward,-0.25209578098797464,0.242,0.292,False,False,PRE
664.0848,664.2136,6,6,-0.04621248591324504,0.902,0.926,-0.33541098111114787,0.09,0.356,leftward,-0.33541098111114787,0.09,0.356,False,True,PRE
674.5784,674.6784,6,5,0.01842774424558469,0.946,0.974,0.010641379298421821,0.958,0.99,rightward,0.01842774424558469,0.946,0.974,False,True,PRE
675.6296,675.7656,5,6,-0.17735502289267008,0.608,0.498,-0.08254701544182089,0.754,0.84,rightward,-0.17735502289267008,0.608,0.498,False,False,PRE
723.5224,723.64,6,5,0.49069738772847743,0.212,0.26,0.2203141819256106,0.474,0.676,rightward,0.49069738772847743,0.212,0.26,False,True,PRE
723.7744,723.9328,6,7,-0.010596095534344313,0.976,0.972,0.272987463007516,0.192,0.498,leftward,0.272987463007516,0.192,0.498,False,False,PRE
767.4124,767.588,5,8,0.2415571768093579,0.158,0.418,-0.4820113997794354,0.004,0.084,leftward,-0.4820113997794354,0.004,0.084,False,True,PRE
837.772,837.9376,7,8,0.19815580418563658,0.39,0.284,0.12323186776568736,0.538,0.534,rightward,0.19815580418563658,0.39,0.284,False,True,PRE
837.9728,838.1496,8,8,-0.6417359613611731,0.006,0.028,-0.07480862545340158,0.736,0.802,rightward,-0.6417359613611731,0.006,0.028,True,False,PRE
840.034,840.134,5,5,0.13824737315106964,0.268,0.576,0.18346531436652624,0.32,0.564,leftward,0.18346531436652624,0.32,0.564,False,False,PRE
852.7604,852.8604,6,5,0.3941272139401251,0.0,0.058,0.21567169132656147,0.09,0.564,rightward,0.3941272139401251,0.0,0.058,False,True,PRE
854.2776,854.3776,5,5,0.13238305743495568,0.428,0.746,0.05980675744300713,0.734,0.882,rightward,0.13238305743495568,0.428,0.746,False,True,PRE
872.7112,872.812,6,5,0.111789057014044,0.664,0.776,0.2184784573672728,0.328,0.528,leftward,0.2184784573672728,0.328,0.528,False,False,PRE
873.8212,873.9212,5,5,-0.039771891306349234,0.916,0.854,0.3008525381619936,0.194,0.094,leftward,0.3008525381619936,0.194,0.094,False,False,PRE
874.204,874.3216,6,5,-0.13391610537965234,0.474,0.764,0.612573161256961,0.004,0.078,leftward,0.612573161256961,0.004,0.078,False,False,PRE
887.3536,887.5128,6,7,0.26532911856134717,0.296,0.328,0.48153991775219035,0.05,0.098,leftward,0.48153991775219035,0.05,0.098,False,False,PRE
898.8756,898.9756,5,5,-0.4084757083269238,0.156,0.302,0.28798240905852773,0.298,0.534,rightward,-0.4084757083269238,0.156,0.302,False,False,PRE
920.1112,920.2808,7,8,0.07534749817687944,0.736,0.724,-0.26885552936840734,0.156,0.284,leftward,-0.26885552936840734,0.156,0.284,False,True,PRE
978.968,979.068,5,5,0.022552576796192048,0.926,0.946,0.06946011914885189,0.79,0.854,leftward,0.06946011914885189,0.79,0.854,False,False,PRE
985.0864,985.1864,5,5,-0.5018787727032482,0.07,0.09,-0.21717013765572882,0.38,0.558,rightward,-0.5018787727032482,0.07,0.09,False,False,PRE
988.2632,988.3632,5,5,-0.5426382404486081,0.0,0.054,-0.3193910450918797,0.16,0.334,rightward,-0.5426382404486081,0.0,0.054,False,False,PRE
999.7492,999.9952,6,12,0.14293397616692732,0.304,0.466,-0.18732686040641286,0.188,0.458,leftward,-0.18732686040641286,0.188,0.458,False,True,PRE
1004.2784,1004.54,6,13,0.08585150658036587,0.408,0.608,0.11264916456737412,0.314,0.566,leftward,0.11264916456737412,0.314,0.566,False,False,PRE
1032.078,1032.178,6,5,0.5778866673684171,0.004,0.058,0.2362671101456698,0.158,0.604,rightward,0.5778866673684171,0.004,0.058,False,True,PRE
1039.1888,1039.2888,6,5,0.0983980453223912,0.83,0.822,-0.21422066209288113,0.496,0.688,leftward,-0.21422066209288113,0.496,0.688,False,True,PRE
1045.5944,1045.7312,6,6,0.3991726675036236,0.138,0.258,0.1100085811914018,0.764,0.792,rightward,0.3991726675036236,0.138,0.258,False,True,PRE
1066.482,1066.6748,8,9,-0.23829745444214043,0.194,0.368,0.22895556998420097,0.238,0.504,rightward,-0.23829745444214043,0.194,0.368,False,False,PRE
1119.0692,1119.1692,5,5,0.3016788704213418,0.232,0.266,0.4828203823270915,0.028,0.086,leftward,0.4828203823270915,0.028,0.086,False,False,PRE
1127.0056,1127.1056,5,5,-0.09503479634651528,0.786,0.778,-0.4869467455515459,0.06,0.162,leftward,-0.4869467455515459,0.06,0.162,False,True,PRE
1158.2056,1158.3768,5,8,0.29169592206159434,0.036,0.054,0.06846465682828191,0.574,0.742,rightward,0.29169592206159434,0.036,0.054,False,True,PRE
1203.3672,1203.4672,5,5,-0.12644098453449965,0.532,0.784,-0.006933454988508271,0.988,0.994,rightward,-0.12644098453449965,0.532,0.784,False,False,PRE
1210.012,1210.156,5,7,-0.017601012181585884,0.91,0.936,0.45286028468570655,0.038,0.082,leftward,0.45286028468570655,0.038,0.082,False,False,PRE
1227.4136,1227.5552,7,7,0.1507995853994218,0.478,0.374,0.01084293676458071,0.974,0.962,rightward,0.1507995853994218,0.478,0.374,False,True,PRE
1227.7856,1227.8856,5,5,0.25957883674522125,0.466,0.546,-0.03141808880307017,0.944,0.962,rightward,0.25957883674522125,0.466,0.546,False,True,PRE
1239.6728,1239.8472,5,8,-0.16600278630550444,0.518,0.476,-0.1407491454576667,0.54,0.654,rightward,-0.16600278630550444,0.518,0.476,False,False,PRE
1277.44,1277.5488,6,5,0.31598810258498067,0.262,0.278,-0.16261576991437032,0.526,0.7,rightward,0.31598810258498067,0.262,0.278,False,True,PRE
1279.4636,1279.6476,5,9,0.006048901886088763,0.968,0.984,0.3028066318626736,0.072,0.43,leftward,0.3028066318626736,0.072,0.43,False,False,PRE
1309.456,1309.556,5,5,-0.3624561830393987,0.444,0.366,0.21914517436872896,0.484,0.602,rightward,-0.3624561830393987,0.444,0.366,False,False,PRE
1326.706,1326.806,5,5,0.05315966315834886,0.858,0.894,0.021068626965601495,0.976,0.972,rightward,0.05315966315834886,0.858,0.894,False,True,PRE
1368.0448,1368.1728,6,6,0.26063527466059666,0.446,0.47,0.24483517878911615,0.442,0.618,rightward,0.26063527466059666,0.446,0.47,False,True,PRE
1379.2576,1379.3576,5,5,0.2215427348901453,0.436,0.536,-0.13182487381860936,0.606,0.74,rightward,0.2215427348901453,0.436,0.536,False,True,PRE
1393.0024,1393.104,6,5,0.2224031517508081,0.416,0.526,-0.4926316101130532,0.088,0.084,leftward,-0.4926316101130532,0.088,0.084,False,True,PRE
1404.6376,1404.788,5,7,0.11085420076803075,0.56,0.558,-0.2442961413489083,0.17,0.236,leftward,-0.2442961413489083,0.17,0.236,False,True,PRE
1416.4896,1416.5936,5,5,-0.1758411789466807,0.594,0.63,-0.5864990273931145,0.004,0.134,leftward,-0.5864990273931145,0.004,0.134,False,True,PRE
1422.6188,1422.8012,9,9,-0.1291813674626346,0.664,0.736,0.472061185433618,0.026,0.256,leftward,0.472061185433618,0.026,0.256,False,False,PRE
1472.4592,1472.568,5,5,0.03761120116203292,0.922,0.886,-0.5487719814815635,0.03,0.102,leftward,-0.5487719814815635,0.03,0.102,False,True,PRE
1478.0624,1478.1888,6,6,-0.36101582938735516,0.106,0.172,-0.1000239204455992,0.646,0.804,rightward,-0.36101582938735516,0.106,0.172,False,False,PRE
1494.1108,1494.2108,5,5,0.6798826582227799,0.006,0.018,0.5587528499614416,0.078,0.184,rightward,0.6798826582227799,0.006,0.018,True,True,PRE
1499.6816,1499.8512,8,8,0.043232318876223176,0.83,0.842,-0.1784148414293458,0.164,0.472,leftward,-0.1784148414293458,0.164,0.472,False,True,PRE
1542.4248,1542.5648,6,7,0.36647051084471743,0.02,0.124,0.1855487529724393,0.18,0.494,rightward,0.36647051084471743,0.02,0.124,False,True,PRE
1543.3064,1543.4104,5,5,-0.03912104560446116,0.914,0.924,0.24057314136196759,0.498,0.576,leftward,0.24057314136196759,0.498,0.576,False,False,PRE
1561.6532,1561.7532,5,5,-0.4260055370792071,0.068,0.138,-0.3730788190169209,0.234,0.4,rightward,-0.4260055370792071,0.068,0.138,False,False,PRE
1564.8304,1565.0192,5,9,0.3013632551085263,0.166,0.216,0.18797525415013597,0.286,0.518,rightward,0.3013632551085263,0.166,0.216,False,True,PRE
1568.4008,1568.5712,5,8,0.2686934780641483,0.082,0.308,-0.2820815728421401,0.066,0.374,leftward,-0.2820815728421401,0.066,0.374,False,True,PRE
1618.0912,1618.2144,5,6,0.4355304832545339,0.004,0.136,0.26084629535984477,0.152,0.518,rightward,0.4355304832545339,0.004,0.136,False,True,PRE
1625.2672,1625.4576,6,9,-0.18673198825132922,0.264,0.36,-0.03959888907274252,0.776,0.89,rightward,-0.18673198825132922,0.264,0.36,False,False,PRE
1747.0176,1747.1176,5,5,-0.0683761298477742,0.744,0.836,-0.1442778893960982,0.428,0.804,leftward,-0.1442778893960982,0.428,0.804,False,True,PRE
1760.6928,1760.8208,5,6,0.48177827438950743,0.064,0.038,0.17142275676227067,0.664,0.514,rightward,0.48177827438950743,0.064,0.038,False,True,PRE
1803.7076,1803.8076,7,5,0.16674711571365547,0.344,0.586,0.31914901831098474,0.056,0.422,leftward,0.31914901831098474,0.056,0.422,False,False,PRE
1810.6288,1810.8,5,8,-0.1496834256156274,0.238,0.606,0.08951743246584316,0.64,0.768,rightward,-0.1496834256156274,0.238,0.606,False,False,PRE
1820.2476,1820.444,5,9,0.0716555878172575,0.656,0.786,0.09864817157791034,0.566,0.804,leftward,0.09864817157791034,0.566,0.804,False,False,PRE
1823.6368,1823.7448,6,5,0.28048743940966286,0.414,0.44,-0.38701197920068814,0.042,0.41,leftward,-0.38701197920068814,0.042,0.41,False,True,PRE
1831.1832,1831.2832,6,5,-0.3383592687206823,0.248,0.296,-0.29928531737075015,0.354,0.366,rightward,-0.3383592687206823,0.248,0.296,False,False,PRE
1856.1432,1856.268,6,6,-0.3771906134774013,0.216,0.33,-0.08915393206049414,0.734,0.82,rightward,-0.3771906134774013,0.216,0.33,False,False,PRE
1866.0608,1866.24,5,8,0.46087445369837665,0.002,0.066,0.4759671197471085,0.014,0.138,leftward,0.4759671197471085,0.014,0.138,False,False,PRE
1866.5928,1866.6928,5,5,-0.038827882505498644,0.872,0.85,0.01121651283814198,0.944,0.952,rightward,-0.038827882505498644,0.872,0.85,False,False,PRE
1920.9044,1921.0044,8,5,0.34664371334316685,0.12,0.168,0.11417461207405229,0.702,0.842,rightward,0.34664371334316685,0.12,0.168,False,True,PRE
1938.244,1938.344,6,5,-0.33428582160310005,0.282,0.498,0.17874138497538106,0.666,0.704,rightward,-0.33428582160310005,0.282,0.498,False,False,PRE
1960.2264,1960.3592,7,6,-0.2588349579236734,0.326,0.542,-0.19437486930342499,0.346,0.704,rightward,-0.2588349579236734,0.326,0.542,False,False,PRE
1982.2976,1982.4824,8,9,-0.11288967079456866,0.626,0.61,-0.3916148331985163,0.06,0.118,leftward,-0.3916148331985163,0.06,0.118,False,True,PRE
1996.146,1996.246,5,5,-0.23969430032567426,0.308,0.442,-0.1499972022292235,0.508,0.612,rightward,-0.23969430032567426,0.308,0.442,False,False,PRE
2001.1516,2001.2516,8,5,-0.13657401727320587,0.754,0.766,-0.2987524047150254,0.37,0.494,leftward,-0.2987524047150254,0.37,0.494,False,True,PRE
2013.4504,2013.5504,5,5,-0.253492470974823,0.178,0.068,-0.2617725422259126,0.198,0.238,leftward,-0.2617725422259126,0.198,0.238,False,True,PRE
2053.3544,2053.4624,5,5,0.1975274825822401,0.38,0.184,0.1585292771402941,0.444,0.446,rightward,0.1975274825822401,0.38,0.184,False,True,PRE
2054.4496,2054.5632,5,5,0.4884655522474828,0.102,0.244,0.638292968977306,0.0,0.248,leftward,0.638292968977306,0.0,0.248,False,False,PRE
2160.9408,2161.0408,6,5,-0.2170017387205289,0.198,0.192,-0.24223451772280113,0.168,0.256,leftward,-0.24223451772280113,0.168,0.256,False,True,PRE
