start,end,n_active,n_bins,r_rightward,p_cycle_rightward,p_id_rightward,r_leftward,p_cycle_leftward,p_id_leftward,direction,r,p_cycle,p_id,significant,forward,epoch
170.3944,170.4944,7,5,-0.21679733121980535,0.436,0.57,0.39089647951788153,0.18,0.358,leftward,0.39089647951788153,0.18,0.358,False,False,PRE
186.9996,187.0996,5,5,0.11952556939990032,0.37,0.604,0.013895313560196056,0.924,0.974,rightward,0.11952556939990032,0.37,0.604,False,True,PRE
265.6748,265.7748,5,5,0.019198343439900522,0.886,0.916,0.10117692586646408,0.42,0.662,leftward,0.10117692586646408,0.42,0.662,False,False,PRE
282.9432,283.1244,7,9,0.11253362099776858,0.162,0.22,0.027290320462643264,0.646,0.816,rightward,0.11253362099776858,0.162,0.22,False,True,PRE
375.6604,375.7604,8,5,0.12488620184933936,0.778,0.758,-0.7147165004746446,0.028,0.022,leftward,-0.7147165004746446,0.028,0.022,True,True,PRE
391.7016,391.8016,5,5,-0.02474216447656902,0.94,0.904,0.12151591780074272,0.57,0.572,leftward,0.12151591780074272,0.57,0.572,False,False,PRE
391.8716,391.9716,5,5,-0.07734944083755771,0.682,0.712,-0.2373546944368123,0.354,0.394,leftward,-0.2373546944368123,0.354,0.394,False,True,PRE
409.3392,409.4392,5,5,0.21326945594031005,0.284,0.444,-0.33723448955925817,0.134,0.348,leftward,-0.33723448955925817,0.134,0.348,False,True,PRE
409.8768,409.9768,5,5,-0.04992105225306709,0.824,0.892,-0.4632237710995138,0.094,0.25,leftward,-0.4632237710995138,0.094,0.25,False,True,PRE
428.032,428.132,5,5,-0.17672734199127557,0.326,0.5,-0.3877781836070921,0.2,0.194,leftward,-0.3877781836070921,0.2,0.194,False,True,PRE
440.9348,441.106,7,8,-0.31103546656096914,0.096,0.314,-0.3525031215911288,0.118,0.31,leftward,-0.3525031215911288,0.118,0.31,False,True,PRE
500.1844,500.2844,7,5,-0.1577777107135221,0.05,0.254,-0.05447431488837921,0.654,0.75,rightward,-0.1577777107135221,0.05,0.254,False,False,PRE
510.0472,510.1472,7,5,-0.06413777227686533,0.822,0.836,0.1904806057976879,0.118,0.594,leftward,0.1904806057976879,0.118,0.594,False,False,PRE
515.8308,515.9308,8,5,0.13210715351360533,0.274,0.322,0.0769772109963127,0.528,0.648,rightward,0.13210715351360533,0.274,0.322,False,True,PRE
518.6788,518.7788,5,5,-0.15949151609345577,0.114,0.324,-0.2531968711642213,0.08,0.046,leftward,-0.2531968711642213,0.08,0.046,False,True,PRE
537.4096,537.5096,6,5,-0.1611138888706854,0.256,0.23,-0.2873450103086092,0.056,0.01,leftward,-0.2873450103086092,0.056,0.01,False,True,PRE
543.7084,543.8084,7,5,0.0054842902225622735,0.976,0.964,0.002017022900668023,0.996,0.998,rightward,0.0054842902225622735,0.976,0.964,False,True,PRE
