start,end,n_active,n_bins,r_rightward,p_cycle_rightward,p_id_rightward,r_leftward,p_cycle_leftward,p_id_leftward,direction,r,p_cycle,p_id,significant,forward,epoch
9.9416,10.0416,6,5,-0.4961121742440863,0.032,0.1,-0.4652158503487841,0.088,0.124,rightward,-0.4961121742440863,0.032,0.1,False,False,PRE
27.7304,27.8464,5,5,-0.2668404746730139,0.28,0.306,0.030195146614533794,0.946,0.912,rightward,-0.2668404746730139,0.28,0.306,False,False,PRE
59.6744,59.7744,5,5,0.32647784141796765,0.164,0.304,0.4147255643923356,0.102,0.172,leftward,0.4147255643923356,0.102,0.172,False,False,PRE
90.58,90.6912,7,5,-0.1678825036162581,0.49,0.644,0.0924758554386341,0.796,0.802,rightward,-0.1678825036162581,0.49,0.644,False,False,PRE
107.8368,107.9368,6,5,-0.1114127551608832,0.54,0.824,0.2351649367465454,0.526,0.586,leftward,0.2351649367465454,0.526,0.586,False,False,PRE
239.1992,239.2992,5,5,-0.04135964241157562,0.828,0.72,-0.03103103608572184,0.848,0.806,rightward,-0.04135964241157562,0.828,0.72,False,False,PRE
241.0456,241.1544,11,5,0.10573464624173097,0.728,0.752,-0.6983415844392441,0.004,0.01,leftward,-0.6983415844392441,0.004,0.01,True,True,PRE
256.306,256.4956,8,9,0.3856870748478053,0.02,0.07,-0.05634489178220496,0.798,0.832,rightward,0.3856870748478053,0.02,0.07,False,True,PRE
258.7824,258.8824,5,5,-0.17515686577241782,0.224,0.402,0.34148695117718153,0.048,0.164,leftward,0.34148695117718153,0.048,0.164,False,False,PRE
261.998,262.098,7,5,-0.4617214790984426,0.016,0.088,-0.209059846659631,0.346,0.564,rightward,-0.4617214790984426,0.016,0.088,False,False,PRE
267.1808,267.2808,6,5,-0.1071205876538903,0.492,0.634,-0.454658966772882,0.014,0.074,leftward,-0.454658966772882,0.014,0.074,False,True,PRE
292.8044,292.9044,8,5,-0.24089535594550954,0.492,0.208,-0.15305600670330402,0.628,0.422,rightward,-0.24089535594550954,0.492,0.208,False,False,PRE
296.4104,296.5104,10,5,-0.03548134897758651,0.868,0.9,0.49600379628072955,0.04,0.168,leftward,0.49600379628072955,0.04,0.168,False,False,PRE
329.7104,329.8104,5,5,0.06804286835180647,0.714,0.892,-0.7029992235742618,0.002,0.058,leftward,-0.7029992235742618,0.002,0.058,False,True,PRE
340.1156,340.2156,6,5,0.018737701512618794,0.944,0.966,0.21279798179260154,0.452,0.724,leftward,0.21279798179260154,0.452,0.724,False,False,PRE
352.8576,352.9576,9,5,0.05991078855850041,0.802,0.95,-0.10134159106732618,0.796,0.838,leftward,-0.10134159106732618,0.796,0.838,False,True,PRE
376.6568,376.7568,9,5,0.27607138421186833,0.386,0.49,0.3117761931021157,0.364,0.428,leftward,0.3117761931021157,0.364,0.428,False,False,PRE
386.8116,386.9116,5,5,-0.17870380300145666,0.06,0.488,0.2541380759364796,0.154,0.35,leftward,0.2541380759364796,0.154,0.35,False,False,PRE
388.8628,388.9628,5,5,0.16941012239014036,0.476,0.702,0.7442346760856847,0.0,0.042,leftward,0.7442346760856847,0.0,0.042,True,False,PRE
390.3152,390.4152,5,5,-0.19256710553628625,0.29,0.27,-0.1465054901695276,0.402,0.318,rightward,-0.19256710553628625,0.29,0.27,False,False,PRE
392.7476,392.8476,6,5,-0.04332744569314027,0.856,0.852,0.5573272103275495,0.004,0.036,leftward,0.5573272103275495,0.004,0.036,True,False,PRE
425.8568,425.9632,7,5,-0.4962300265940497,0.002,0.092,-0.16654793569349294,0.41,0.622,rightward,-0.4962300265940497,0.002,0.092,False,False,PRE
428.4424,428.5688,8,6,0.12996113798790904,0.548,0.8,0.38246705714014523,0.138,0.346,leftward,0.38246705714014523,0.138,0.346,False,False,PRE
435.228,435.4264,10,9,0.2169568444237185,0.17,0.464,-0.28671799258281583,0.226,0.354,leftward,-0.28671799258281583,0.226,0.354,False,True,PRE
441.0288,441.1288,5,5,0.07339413251199683,0.784,0.834,-0.6448899147239799,0.0,0.03,leftward,-0.6448899147239799,0.0,0.03,True,True,PRE
441.4592,441.5968,5,6,0.16090721887443737,0.346,0.664,-0.031066979963637855,0.918,0.95,rightward,0.16090721887443737,0.346,0.664,False,True,PRE
453.3024,453.4584,14,7,0.3697767181464781,0.116,0.29,0.37930041514412466,0.244,0.202,leftward,0.37930041514412466,0.244,0.202,False,False,PRE
455.8768,455.9768,8,5,-0.04399325343737157,0.794,0.812,-0.02968327710891494,0.89,0.868,rightward,-0.04399325343737157,0.794,0.812,False,False,PRE
457.8348,457.9348,5,5,0.036366485051541525,0.826,0.9,-0.4746146500572042,0.018,0.14,leftward,-0.4746146500572042,0.018,0.14,False,True,PRE
461.7512,461.9016,8,7,-0.18841317034403768,0.328,0.468,-0.18362843609811588,0.246,0.5,rightward,-0.18841317034403768,0.328,0.468,False,False,PRE
464.072,464.2512,12,8,-0.25358171362357584,0.152,0.396,0.1760974216521932,0.364,0.556,rightward,-0.25358171362357584,0.152,0.396,False,False,PRE
471.448,471.548,7,5,-0.10498920178585057,0.666,0.842,0.06781341382834676,0.878,0.87,rightward,-0.10498920178585057,0.666,0.842,False,False,PRE
473.8608,473.9704,5,5,0.0041592788957763105,0.976,0.992,0.1709838954222373,0.376,0.678,leftward,0.1709838954222373,0.376,0.678,False,False,PRE
474.5796,474.7668,5,9,-0.12325271037905627,0.32,0.418,0.07443782573492758,0.646,0.638,rightward,-0.12325271037905627,0.32,0.418,False,False,PRE
509.3488,509.4816,11,6,-0.01807749876189053,0.948,0.958,0.565920835878565,0.068,0.124,leftward,0.565920835878565,0.068,0.124,False,False,PRE
513.8344,513.9344,6,5,-0.06644069099390716,0.75,0.686,0.2672334795295552,0.242,0.294,leftward,0.2672334795295552,0.242,0.294,False,False,PRE
526.014,526.114,7,5,0.573011411241287,0.144,0.068,-0.09506685714933436,0.82,0.832,rightward,0.573011411241287,0.144,0.068,False,True,PRE
537.4592,537.5672,6,5,-0.11419259856654651,0.634,0.736,-0.24819745496809437,0.444,0.442,leftward,-0.24819745496809437,0.444,0.442,False,True,PRE
541.9828,542.1824,11,9,-0.22691984632871054,0.346,0.506,-0.3924660084829241,0.108,0.186,leftward,-0.3924660084829241,0.108,0.186,False,True,PRE
543.1168,543.3136,6,9,0.17992670275498196,0.242,0.368,0.17509749729958887,0.14,0.414,rightward,0.17992670275498196,0.242,0.368,False,True,PRE
545.7048,545.8048,5,5,-0.27346044258400964,0.078,0.466,0.02440998575632744,0.864,0.958,rightward,-0.27346044258400964,0.078,0.466,False,False,PRE
547.2456,547.3456,5,5,-0.11593168063371373,0.652,0.71,0.23402011859268296,0.45,0.52,leftward,0.23402011859268296,0.45,0.52,False,False,PRE
549.664,549.9224,12,12,-0.02478710429505462,0.894,0.924,0.029263502557916217,0.836,0.926,leftward,0.029263502557916217,0.836,0.926,False,False,PRE
554.6788,554.7788,10,5,-0.003188177546277591,0.996,0.99,-0.1361372668821677,0.588,0.734,leftward,-0.1361372668821677,0.588,0.734,False,True,PRE
554.8556,554.9556,7,5,-0.24851602767153488,0.494,0.476,-0.6051271543194849,0.068,0.06,leftward,-0.6051271543194849,0.068,0.06,False,True,PRE
555.0028,555.1028,6,5,0.010237997704167898,0.948,0.92,-0.14192225195538763,0.456,0.522,leftward,-0.14192225195538763,0.456,0.522,False,True,PRE
555.7724,555.8724,5,5,-0.342715303906915,0.062,0.232,0.05643770339262668,0.824,0.848,rightward,-0.342715303906915,0.062,0.232,False,False,PRE
561.5056,561.6056,5,5,-0.2155936582494768,0.456,0.468,-0.25191963942131135,0.44,0.404,leftward,-0.25191963942131135,0.44,0.404,False,True,PRE
561.8076,561.9076,5,5,0.4681289967639259,0.102,0.262,-0.6141187076652007,0.106,0.12,leftward,-0.6141187076652007,0.106,0.12,False,True,PRE
564.5876,564.6876,8,5,0.16913249888085882,0.218,0.58,0.4975113168857885,0.008,0.112,leftward,0.4975113168857885,0.008,0.112,False,False,PRE
564.7224,564.8264,7,5,-0.05337562780068439,0.75,0.712,0.03697527589928047,0.868,0.758,rightward,-0.05337562780068439,0.75,0.712,False,False,PRE
