template,wcorr,slope,p_circ,p_perm,max_p,epoch,event,t0,dur,n_active,significant,session
left,-0.14273255317231784,-99.77207209034991,0.7182044887780549,0.8428927680798005,0.8428927680798005,PRE,0,4.51,0.28000000000000025,59,False,Achilles-10252013
left,0.12521722324476753,85.42641876114371,0.7231920199501247,0.8379052369077307,0.8379052369077307,PRE,31,162.72,0.27000000000001023,23,False,Achilles-10252013
left,-0.37698687696901856,-188.40585418310775,0.032418952618453865,0.09476309226932668,0.09476309226932668,PRE,33,164.59,0.28999999999999204,25,False,Achilles-10252013
left,0.13742197614889862,57.92650742320814,0.4463840399002494,0.6583541147132169,0.6583541147132169,PRE,38,176.21,0.38999999999998636,35,False,Achilles-10252013
left,0.364439654066277,210.45941194090352,0.04488778054862843,0.1970074812967581,0.1970074812967581,PRE,47,214.56,0.3299999999999841,59,False,Achilles-10252013
left,-0.34891133194492524,-202.09211930065194,0.14463840399002495,0.2718204488778055,0.2718204488778055,PRE,50,260.79,0.25,36,False,Achilles-10252013
left,0.2465114679065433,139.0992153703583,0.3566084788029925,0.43640897755610975,0.43640897755610975,PRE,54,338.26,0.29000000000002046,59,False,Achilles-10252013
left,0.2605114726795685,108.42660374716293,0.1745635910224439,0.32917705735660846,0.32917705735660846,PRE,57,348.2,0.35000000000002274,41,False,Achilles-10252013
right,0.23517981296432586,115.53827702928388,0.3740648379052369,0.4089775561097257,0.4089775561097257,PRE,58,374.82,0.37999999999999545,40,False,Achilles-10252013
right,-0.412704194416205,-251.15394893639015,0.04738154613466334,0.1396508728179551,0.1396508728179551,PRE,64,397.62,0.2699999999999818,32,False,Achilles-10252013
right,0.34392735557560444,224.4840070379452,0.08229426433915212,0.24189526184538654,0.24189526184538654,PRE,73,425.99,0.25,31,False,Achilles-10252013
right,0.04491371217821351,19.163150575088753,0.940149625935162,0.9625935162094763,0.9625935162094763,PRE,75,436.21,0.3900000000000432,47,False,Achilles-10252013
left,0.13757612488567236,71.90403623527351,0.6259351620947631,0.770573566084788,0.770573566084788,PRE,77,481.71,0.3300000000000409,51,False,Achilles-10252013
right,0.4114746217753938,241.86674166815766,0.06234413965087282,0.08728179551122195,0.08728179551122195,PRE,81,502.63,0.2699999999999818,40,False,Achilles-10252013
left,-0.29938328097265304,-178.50158114393076,0.07481296758104738,0.2967581047381546,0.2967581047381546,PRE,87,522.48,0.30999999999994543,45,False,Achilles-10252013
right,0.33624896320342995,235.45189409508865,0.18453865336658354,0.2967581047381546,0.2967581047381546,PRE,91,546.8,0.2800000000000864,47,False,Achilles-10252013
