template,wcorr,slope,p_circ,p_perm,max_p,epoch,event,t0,dur,n_active,significant,fwd
left,-0.14273255317231784,-99.77207209034991,0.7281795511221946,0.8229426433915212,0.8229426433915212,PRE,0,4.51,0.28000000000000025,59,False,True
left,0.12521722324476753,85.42641876114371,0.7605985037406484,0.8154613466334164,0.8154613466334164,PRE,31,162.72,0.27000000000001023,23,False,False
left,-0.37698687696901856,-188.40585418310775,0.032418952618453865,0.0798004987531172,0.0798004987531172,PRE,33,164.59,0.28999999999999204,25,False,True
left,0.13742197614889862,57.92650742320814,0.4688279301745636,0.713216957605985,0.713216957605985,PRE,38,176.21,0.38999999999998636,35,False,False
left,0.364439654066277,210.45941194090352,0.04488778054862843,0.1770573566084788,0.1770573566084788,PRE,47,214.56,0.3299999999999841,59,False,False
left,-0.34891133194492524,-202.09211930065194,0.13216957605985039,0.24189526184538654,0.24189526184538654,PRE,50,260.79,0.25,36,False,True
left,0.2465114679065433,139.0992153703583,0.341645885286783,0.5087281795511222,0.5087281795511222,PRE,54,338.26,0.29000000000002046,59,False,False
left,0.2605114726795685,108.42660374716293,0.15211970074812967,0.3541147132169576,0.3541147132169576,PRE,57,348.2,0.35000000000002274,41,False,False
right,0.23517981296432586,115.53827702928388,0.3516209476309227,0.4164588528678304,0.4164588528678304,PRE,58,374.82,0.37999999999999545,40,False,True
right,-0.412704194416205,-251.15394893639015,0.04987531172069826,0.1172069825436409,0.1172069825436409,PRE,64,397.62,0.2699999999999818,32,False,False
right,0.34392735557560444,224.4840070379452,0.1172069825436409,0.22443890274314215,0.22443890274314215,PRE,73,425.99,0.25,31,False,True
right,0.04491371217821351,19.163150575088753,0.9476309226932669,0.970074812967581,0.970074812967581,PRE,75,436.21,0.3900000000000432,47,False,True
left,0.13757612488567236,71.90403623527351,0.6384039900249376,0.8129675810473815,0.8129675810473815,PRE,77,481.71,0.3300000000000409,51,False,False
right,0.4114746217753938,241.86674166815766,0.04987531172069826,0.06483790523690773,0.06483790523690773,PRE,81,502.63,0.2699999999999818,40,False,True
left,-0.29938328097265304,-178.50158114393076,0.10723192019950124,0.2817955112219451,0.2817955112219451,PRE,87,522.48,0.30999999999994543,45,False,True
right,0.33624896320342995,235.45189409508865,0.20947630922693267,0.286783042394015,0.286783042394015,PRE,91,546.8,0.2800000000000864,47,False,True
