lane,run,n_requests,n_priced,real_cost_usd,top_provider,provider_mix
kimi-k3-max,auditory-01,73,73,2.5141,BaseTen,BaseTen:73
kimi-k3-max,auditory-02,87,87,3.5048,BaseTen,BaseTen:87
kimi-k3-max,auditory-03,65,65,2.5077,BaseTen,BaseTen:65
kimi-k3-max,decisionbias-01,95,95,4.5915,BaseTen,BaseTen:95
kimi-k3-max,decisionbias-02,72,72,3.1632,BaseTen,BaseTen:72
kimi-k3-max,decisionbias-03,59,59,2.5764,BaseTen,BaseTen:59
kimi-k3-max,entrainment-01,52,52,1.7268,BaseTen,BaseTen:52
kimi-k3-max,entrainment-02,41,41,1.3848,BaseTen,BaseTen:41
kimi-k3-max,entrainment-03,51,51,1.8251,BaseTen,BaseTen:51
kimi-k3-max,grid-01,78,78,2.4161,BaseTen,BaseTen:78
kimi-k3-max,grid-02,47,47,2.0518,BaseTen,BaseTen:47
kimi-k3-max,grid-03,58,58,1.8962,BaseTen,BaseTen:58
kimi-k3-max,headdirection-01,88,88,3.4534,BaseTen,BaseTen:88
kimi-k3-max,headdirection-02,88,88,3.6641,BaseTen,BaseTen:88
kimi-k3-max,headdirection-03,110,110,4.7747,BaseTen,BaseTen:110
kimi-k3-max,orientation-01,65,65,2.5044,BaseTen,BaseTen:65
kimi-k3-max,orientation-02,63,63,2.4970,BaseTen,BaseTen:63
kimi-k3-max,orientation-03,59,59,1.9857,BaseTen,BaseTen:59
kimi-k3-max,placefields-01,62,62,2.5253,BaseTen,BaseTen:62
kimi-k3-max,placefields-02,52,52,2.0190,BaseTen,BaseTen:52
kimi-k3-max,placefields-03,71,71,2.4011,BaseTen,BaseTen:71
kimi-k3-max,precession-01,65,65,2.2235,BaseTen,BaseTen:65
kimi-k3-max,precession-02,66,66,2.6774,BaseTen,BaseTen:66
kimi-k3-max,precession-03,33,33,1.4882,BaseTen,BaseTen:33
kimi-k3-max,reach-01,167,167,8.1405,BaseTen,BaseTen:167
kimi-k3-max,reach-02,103,103,4.4799,BaseTen,BaseTen:103
kimi-k3-max,reach-03,87,87,3.6012,BaseTen,BaseTen:87
kimi-k3-max,replay-01,48,48,2.2582,BaseTen,BaseTen:48
kimi-k3-max,replay-02,48,48,1.9980,BaseTen,BaseTen:48
kimi-k3-max,replay-03,62,62,2.3420,BaseTen,BaseTen:62
kimi-k3-max,ringattractor-01,117,117,5.5535,BaseTen,BaseTen:117
kimi-k3-max,ringattractor-02,77,77,2.9698,BaseTen,BaseTen:77
kimi-k3-max,ringattractor-03,46,46,2.1833,BaseTen,BaseTen:46
kimi-k3-max,ripples-01,61,61,2.9358,BaseTen,BaseTen:61
kimi-k3-max,ripples-02,60,60,2.5356,BaseTen,BaseTen:60
kimi-k3-max,ripples-03,58,58,2.4178,BaseTen,BaseTen:58
kimi-k3-max,strf-01,117,117,5.4009,BaseTen,BaseTen:117
kimi-k3-max,strf-02,95,95,4.0376,BaseTen,BaseTen:95
kimi-k3-max,strf-03,78,78,3.3738,BaseTen,BaseTen:78
deepseek-v4-flash,decisionbias-03,13,13,0.0214,Baidu,Baidu:11 Io Net:2
deepseek-v4-flash,orientation-02,22,22,0.0213,Baidu,Baidu:22
deepseek-v4-flash,ripples-03,106,106,0.1804,Baidu,Baidu:106
