event,start,end,n_bins,score,shuf_mean,pval,actual_x,actual_y,start_dist
0,6281.632566667,6281.750566667,12,0.02605821139537021,0.16866613936218894,0.968,72.65441486743092,97.19016808495677,83.99846699310096
1,6285.075233333,6285.1319,6,0.4883477861097734,0.25829596018380335,0.106,73.60725965257755,96.95195688867011,106.77356670226303
2,6286.485233333,6286.522566667,4,0.15810749325647597,0.25199350429864753,0.918,73.24994285814756,97.07106248681343,57.70612635434524
3,6312.541233333,6312.689233333,15,0.14428884059453337,0.17738609198148209,0.544,32.754039489415575,96.23732329981013,92.30009653512039
4,6399.588566667,6399.6639,8,0.16522140489775763,0.11656968531487419,0.198,71.10604209156763,95.64179530909348,65.0699914342981
5,6416.6259,6416.696566667,7,0.2610989732994127,0.13466852402385177,0.07,113.5076350305929,95.40358411280683,105.4995006429847
6,6420.777233333,6420.8359,6,0.05166857419899338,0.028486108084797665,0.006,113.26942383430622,94.80805612209018,91.44721159170945
7,6429.1659,6429.284566667,12,0.5074829272366638,0.1773181339243296,0.016,112.43568464730292,95.16537291652017,13.142481922186796
8,6447.006566667,6447.0519,5,0.5315098976840879,0.3398461798057219,0.25,72.1779924748576,95.88000650538014,39.76800219256345
9,6508.3659,6508.5119,15,0.28980506166309067,0.16970268036426484,0.138,71.70157008228428,96.11821770166681,60.60822192190275
10,6531.056566667,6531.127233333,7,0.21425536029546502,0.142527601155007,0.188,113.5076350305929,95.88000650538014,108.28680149230155
11,6581.7099,6581.8099,10,0.5012459565451974,0.2709367645534698,0.054,72.05888687671427,95.88000650538014,42.25496739755167
12,6636.285233333,6636.363233333,8,0.31467643079444935,0.1853535449883974,0.114,72.05888687671427,96.59464009424012,60.547642468857546
13,6680.6319,6680.752566667,12,0.05149144846333069,0.07678839380403878,0.726,32.63493389127225,96.47553449609678,5.97130967396054
14,6711.598566667,6711.665233333,7,0.40329385199146484,0.1552050946791334,0.004,112.55479024544626,95.76090090723682,27.113343704323032
15,6720.872566667,6720.987233333,11,0.27845785606466955,0.11654333113947345,0.02,71.10604209156763,96.35642889795346,58.76396578856826
16,6833.337233333,6833.373233333,4,0.5794784069987982,0.304226163674369,0.188,112.91210703987625,94.68895052394684,16.98457483728626
17,6833.7299,6833.794566667,6,0.6696826147562388,0.3221003239434335,0.014,112.91210703987625,94.68895052394684,3.9965026795208396
18,6876.626566667,6876.696566667,7,0.20455455082354476,0.07348503239333391,0.0,73.72636525072087,95.52268971095016,22.828705945969823
19,6879.242566667,6879.3079,7,0.7056552309886336,0.2804501135977565,0.006,72.53530926928758,95.04626731837683,41.774290703149454
20,6918.947233333,6918.998566667,5,0.2193678889022794,0.33845487908907324,0.75,71.82067568042761,96.47553449609678,14.384371264786898
21,6975.4079,6975.533233333,13,0.03970384990064053,0.056618412812223184,0.73,72.77352046557425,95.76090090723682,89.1270642115076
22,6978.6119,6978.639233333,3,0.313412851007729,0.2084298701623824,0.324,71.70157008228428,95.16537291652017,42.60762505430804
